scenario_id,contract_id,replications,n_paths_per_replication,steps_per_year,total_value_mean,total_value_sd,total_value_se,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,coupon_value_mean,coupon_value_sd,coupon_value_se,early_redemption_principal_mean,early_redemption_principal_sd,early_redemption_principal_se,surviving_notional_mean,surviving_notional_sd,surviving_notional_se,terminal_ki_loss_mean,terminal_ki_loss_sd,terminal_ki_loss_se,no_ki_maturity_redemption_mean,no_ki_maturity_redemption_sd,no_ki_maturity_redemption_se,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,continuous_ki_survival_probability_se,maturity_survival_probability_mean,maturity_survival_probability_sd,maturity_survival_probability_se,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_se,component_identity_max_abs_error,probability_mass_max_abs_error,fair_coupon_max_abs_residual,monitoring_steps_per_year,contract_layer,value_504,fair_coupon_504,value_difference_vs_504,fair_coupon_difference_vs_504
RC-L-monitor-126,RC-L,3,2048,126,101.19211963017949,0.2613948848204504,0.15091640711587828,0.0491102903887067,0.002101987013316644,0.0012135827679714618,6.543763661959525,0.2159170252789912,0.1246597526674488,77.71017753228327,1.4200234935737466,0.8198509462703955,18.623727929029588,1.3270630037578433,0.7661801824511842,-1.685549493092885,0.14873661956319634,0.08587312734316636,15.470189334018187,1.540928142974888,0.8896552781484218,0.9654947916666666,0.002689243431292042,0.0015526354189728934,0.20377604166666666,0.014520382115684207,0.008383346523226505,0.17640033333251873,0.020839534206707346,0.0120317106840289,1.4210854715202004e-14,0.0,0.0,126,RC-L,101.28751735874756,0.048101987719354235,-0.0953977285680736,0.001008302669352465
RC-A-monitor-126,RC-A,3,2048,126,94.37106386344423,0.25450744647980655,0.1469399427358806,0.14609837629606645,0.002903778735611832,0.0016764974346726025,8.406442381649262,0.03803617576875579,0.021960196319035074,60.82645604166246,0.01709112964533123,0.009867568301486778,34.31379089208837,0.025942046802872307,0.014977647704968197,-9.17562545195587,0.21000487602490825,0.12124637170411477,3.11535072263395,0.32505291476105513,0.18766938783816767,0.6181640625,0.004475171577105312,0.0025837415147115144,0.3728841145833333,0.00028190931112774694,0.00016276041666666666,0.11167006666073576,0.012759529129672018,0.007366717577749012,0.0,0.0,0.0,126,RC-A,94.08024101590871,0.14905258641086386,0.290822847535523,-0.0029542101147974065
RC-L-monitor-252,RC-L,3,2048,252,101.0815064384487,0.15593037404166013,0.09002644342779151,0.04995463446617446,0.0014078473870548862,0.0008128210678940499,6.457188016053546,0.0970202741692203,0.05601468140845064,78.07444303866595,0.39642105874540906,0.22887380497909837,18.296473923886893,0.34853665740066514,0.2012277329727264,-1.7465985401576833,0.12335223227842806,0.07121744451109169,15.06855941861579,0.4469986018924138,0.25807476312997146,0.9646809895833334,0.002505664765354924,0.001446646226776626,0.2001953125,0.003813598474563796,0.002201782105870554,0.2883791666633139,0.02035134467367237,0.0117498543257156,0.0,0.0,0.0,252,RC-L,101.28751735874756,0.048101987719354235,-0.20601092029886559,0.0018526467468202232
RC-A-monitor-252,RC-A,3,2048,252,94.07496597376309,0.11848829283331627,0.06840924776313435,0.14865768095150744,0.0026841408968720885,0.0015496894693519839,8.482945930213887,0.2008072311378828,0.11593610895268004,59.48755590005316,1.2461363519949884,0.7194571582712849,35.586890947010886,1.1777232111056506,0.6799588129627179,-9.482426803514846,0.036473805161176764,0.021058161228175366,3.11535072263395,0.23057795556707128,0.13312424471584217,0.6061197916666666,0.013410707718173515,0.007742675711110871,0.38671875,0.012798185959063629,0.007389036108604276,0.21355283332134908,0.021073233033843973,0.012166636764785533,1.4210854715202004e-14,0.0,0.0,252,RC-A,94.08024101590871,0.14905258641086386,-0.005275042145626685,-0.00039490545935641497
RC-L-monitor-504,RC-L,3,2048,504,101.28751735874756,0.23860295928935818,0.13775748277515226,0.048101987719354235,0.001853251879894238,0.0010699754717331184,6.474072073493539,0.18129580145431493,0.10467117977259767,78.77998137852025,0.5890851904336866,0.3401084932725109,17.61221554949763,0.5133554420908991,0.29638590268113996,-1.5787516427638513,0.13674648742641488,0.07895062132637641,14.696679867317277,0.6713636203106691,0.38761196691048655,0.9680989583333334,0.0018486029771485266,0.0010672914264814454,0.19270833333333334,0.0056170032313598295,0.0032429783276645956,0.5747537333324241,0.005771910435166471,0.0033324140434817726,0.0,0.0,0.0,504,RC-L,101.28751735874756,0.048101987719354235,0.0,0.0
RC-A-monitor-504,RC-A,3,2048,504,94.08024101590871,0.28615824585300015,0.16521354027406077,0.14905258641086386,0.00345882862930376,0.0019969556402093104,8.418238465438636,0.13357383900991296,0.07711889190906498,60.173664776595494,1.2246220984049148,0.707035898169642,34.927874447992174,1.1546396747865504,0.6666315270550368,-9.43953667411759,0.2085376123815662,0.12039924664465909,2.860730711649444,0.5777568147517084,0.3335680525230396,0.6092122395833334,0.006911091714050178,0.003990120661501063,0.3795572916666667,0.012547339760552105,0.007244209988368453,0.39283656666520983,0.01956436748774186,0.011295492835572525,0.0,0.0,0.0,504,RC-A,94.08024101590871,0.14905258641086386,0.0,0.0
