replication,linear_fair_coupon,bracketed_fair_coupon,root_difference,bracketed_residual
0,0.1446405817815168,0.14464058178145933,-5.748179709996748e-14,-5.5706550483591855e-12
1,0.15179911397222626,0.15179911397262913,4.028721800608537e-13,3.880984422721667e-11
2,0.14940489812526211,0.14940489812488522,-3.76892961284625e-13,-3.666400516522117e-11
3,0.15076136702079818,0.15076136702100484,2.066680160339729e-13,2.0122570276726037e-11
