scenario_id,contract_id,replications,n_paths_per_replication,steps_per_year,total_value_mean,total_value_sd,total_value_se,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,coupon_value_mean,coupon_value_sd,coupon_value_se,early_redemption_principal_mean,early_redemption_principal_sd,early_redemption_principal_se,surviving_notional_mean,surviving_notional_sd,surviving_notional_se,terminal_ki_loss_mean,terminal_ki_loss_sd,terminal_ki_loss_se,no_ki_maturity_redemption_mean,no_ki_maturity_redemption_sd,no_ki_maturity_redemption_se,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,continuous_ki_survival_probability_se,maturity_survival_probability_mean,maturity_survival_probability_sd,maturity_survival_probability_se,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_se,component_identity_max_abs_error,probability_mass_max_abs_error,fair_coupon_max_abs_residual,risk_free_rate,sigma,rho,baseline_label,sensitivity_dimension,sensitivity_level,fair_coupon_ci95_low,fair_coupon_ci95_high
RC-L-r0.03-s0.2-rho0.4,RC-L,3,4096,252,101.02985407725174,0.29656809675629686,0.171223670495303,0.05038388570416411,0.0027045914986840083,0.0015614966298131857,6.415618944715539,0.06130501890542908,0.03539446916772458,78.39083224442675,0.1961705550334952,0.11325912275566676,17.99897028284808,0.18172700096834324,0.10492013292809636,-1.7755673947386168,0.23600760367554033,0.13625905351287174,14.73386782244713,0.4508799940014596,0.2603156859089596,0.9642740885416666,0.004058417200453021,0.002343128263165359,0.19694010416666666,0.0019884101111443063,0.001148009112928539,0.5128506000231331,0.021027990963228545,0.01214051624313702,0.0,0.0,0.0,0.03,0.2,0.4,RC-L Table 7 baseline,,,,
RC-A-baseline,RC-A,4,4096,252,94.02310591782572,0.30507339517422355,0.15253669758711177,0.14915149022495083,0.0031630220440758325,0.0015815110220379163,8.482950855332982,0.04195748701503926,0.02097874350751963,59.710476291176704,0.5957352586358803,0.29786762931794014,35.362226231436324,0.5645003690563712,0.2822501845281856,-9.532547460120313,0.28082498500902775,0.14041249250451387,3.330654408392907,0.3173927528131326,0.1586963764065663,0.60638427734375,0.009631185203893737,0.004815592601946869,0.38427734375,0.006134362156589438,0.003067181078294719,0.3816333750000922,0.04804667030818674,0.02402333515409337,0.0,0.0,0.0,,,,RC-A market-informed baseline,baseline,baseline,0.14605172862175653,0.15225125182814514
