scenario_id,contract_id,observation_index,observation_time_years,redemption_probability_mean,redemption_probability_sd,is_early_redemption
RC-L-r0.03-s0.2-rho0.4,RC-L,1,0.5,0.557373046875,0.0035463474234213744,True
RC-L-r0.03-s0.2-rho0.4,RC-L,2,1.0,0.09676106770833333,0.002215276300263053,True
RC-L-r0.03-s0.2-rho0.4,RC-L,3,1.5,0.08170572916666667,0.002255274489021976,True
RC-L-r0.03-s0.2-rho0.4,RC-L,4,2.0,0.03271484375,0.003521046167445302,True
RC-L-r0.03-s0.2-rho0.4,RC-L,5,2.5,0.034505208333333336,0.002215276300263053,True
RC-L-r0.03-s0.2-rho0.4,RC-L,6,3.0,0.018391927083333332,0.0007848023080235151,False
RC-L-r0.03-s0.2-rho0.4,RC-L,0,3.0,0.19694010416666666,0.0019884101111443063,False
RC-A-baseline,RC-A,1,0.26301369863013696,0.0,0.0,True
RC-A-baseline,RC-A,2,0.5123287671232877,0.3695068359375,0.007191450719438598,True
RC-A-baseline,RC-A,3,0.7616438356164383,0.09344482421875,0.005685122569431161,True
RC-A-baseline,RC-A,4,1.010958904109589,0.056884765625,0.002497722860225066,True
RC-A-baseline,RC-A,5,1.2602739726027397,0.04180908203125,0.0032103950679645793,True
RC-A-baseline,RC-A,6,1.5095890410958903,0.03021240234375,0.0021411657091345818,True
RC-A-baseline,RC-A,7,1.7589041095890412,0.02386474609375,0.001574344248222095,True
RC-A-baseline,RC-A,8,2.0082191780821916,0.019775390625,0.0020132351687586233,False
RC-A-baseline,RC-A,0,2.0082191780821916,0.38427734375,0.006134362156589438,False
