contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,redemption_probability_7,redemption_probability_8,probability_mass_error,scenario_id,replication,risk_free_rate,volatility_1,volatility_2,volatility_3,correlation_12,correlation_13,correlation_23,ki_barrier_ratio,sensitivity_dimension,sensitivity_level
RC-A,0.0875,96.82755257740128,0.0,8.47241085052261,60.46787031561182,34.64329914159772,3.7294342785377577,-9.116362994485268,85.99480646272427,94.46721731324688,94.46721731324688,0.0,0.61962890625,0.37646484375,0.1446405817815168,0.0,4096,252,514,632174086,0.3394272999721579,1.0,1.0,1.0,0.0,0.373779296875,0.09716796875,0.053466796875,0.04345703125,0.032470703125,0.023193359375,0.02197265625,0.0,RC-A-baseline,0,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,baseline,baseline
RC-A,0.0875,96.32049084873043,0.0,8.428042949263912,59.75390516009619,35.31729328832141,3.0329736602566104,-9.692563616624799,85.3786348317928,93.8066777810567,93.8066777810567,0.0,0.603515625,0.3837890625,0.15179911397222626,0.0,4096,252,514,1034107096,0.4093830999918282,1.0,1.0,1.0,0.0,0.368896484375,0.090576171875,0.05908203125,0.044189453125,0.031494140625,0.02197265625,0.02001953125,0.0,RC-A-baseline,1,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,baseline,baseline
RC-A,0.0875,97.29218724586737,0.0,8.513066384013394,59.60033288181995,35.474558589223605,3.4373701482908245,-9.610820794896306,85.46407067614726,93.97713706016066,93.97713706016066,0.0,0.605712890625,0.385498046875,0.14940489812526211,0.0,4096,252,514,3743933553,0.4350652000284754,1.0,1.0,1.0,0.0,0.375732421875,0.0869140625,0.056640625,0.04248046875,0.02783203125,0.02490234375,0.01708984375,0.0,RC-A-baseline,2,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,baseline,baseline
RC-A,0.0875,97.35180842893729,0.0,8.518283237532012,59.01979680717888,36.01375390660256,3.1228395464864356,-9.710442434474878,85.32310827930655,93.84139151683857,93.84139151683857,0.0,0.5966796875,0.391357421875,0.15076136702079818,0.0,4096,252,514,4003352508,0.3426579000079073,1.0,1.0,1.0,0.0,0.359619140625,0.09912109375,0.058349609375,0.037109375,0.029052734375,0.025390625,0.02001953125,0.0,RC-A-baseline,3,0.041397500000000004,0.183212,0.261977,0.21978899999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,baseline,baseline
RC-A,0.0875,102.55494855210037,0.0,8.973557998308781,63.41438055055165,31.857456668473137,9.952646899953173,-5.5884433821186095,89.68339383690618,98.65695183521495,98.65695183521495,0.0,0.75048828125,0.34619140625,0.10059588843587337,0.0,4096,252,514,632174086,0.40677010000217706,1.0,1.0,1.0,0.0,0.39404296875,0.10205078125,0.057861328125,0.043701171875,0.031982421875,0.024169921875,0.024658203125,0.0,RC-A-vol-75,0,0.041397500000000004,0.137409,0.19648275,0.16484174999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,75%
RC-A,0.0875,102.5804316047739,0.0,8.975787765417715,62.975715337637894,32.26185315650735,9.34605216790185,-5.9936638205339685,89.24390467361128,98.219692439029,98.219692439029,0.0,0.73828125,0.3505859375,0.10485523562457061,0.0,4096,252,514,1034107096,0.38905110000632703,1.0,1.0,1.0,0.0,0.39013671875,0.0966796875,0.060546875,0.0439453125,0.033935546875,0.024169921875,0.021240234375,0.0,RC-A-vol-75,1,0.041397500000000004,0.137409,0.19648275,0.16484174999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,75%
RC-A,0.0875,102.65821258512335,0.0,8.982593601198293,63.03291125261114,32.216920213392434,9.817848070608434,-5.888380612508124,89.36145085349544,98.34404445469373,98.34404445469373,0.0,0.745849609375,0.35009765625,0.10363076541667975,0.0,4096,252,514,3743933553,0.403698300011456,1.0,1.0,1.0,0.0,0.400146484375,0.088134765625,0.06005859375,0.045166015625,0.02880859375,0.027587890625,0.01904296875,0.0,RC-A-vol-75,2,0.041397500000000004,0.137409,0.19648275,0.16484174999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,75%
RC-A,0.0875,103.68730365832639,0.0,9.072639070103557,62.010816944591994,33.182978490363055,10.08744572929791,-5.9293582312653985,89.26443720368965,98.33707627379322,98.33707627379322,0.0,0.737060546875,0.360595703125,0.10353787221323169,0.0,4096,252,514,4003352508,0.41916069999570027,1.0,1.0,1.0,0.0,0.3818359375,0.104248046875,0.056396484375,0.04052734375,0.029541015625,0.02685546875,0.019775390625,0.0,RC-A-vol-75,3,0.041397500000000004,0.137409,0.19648275,0.16484174999999998,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,75%
RC-A,0.0875,90.42255909223502,0.0,7.9119739205705635,57.71759256934993,37.249409842262665,0.7638600329535166,-12.396829808398877,82.57017260321372,90.48214652378428,90.48214652378428,0.0,0.519287109375,0.40478515625,0.19275972248260617,0.0,4096,252,514,632174086,0.41013229999225587,1.0,1.0,1.0,0.0,0.354736328125,0.093505859375,0.05224609375,0.041015625,0.03173828125,0.02197265625,0.01708984375,0.0,RC-A-vol-125,0,0.041397500000000004,0.22901500000000002,0.32747125,0.27473624999999996,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,125%
RC-A,0.0875,89.9644682162521,0.0,7.871890968922059,57.41488185213066,37.51900750095214,0.9435918054131676,-12.883865290658159,82.05002406242464,89.9219150313467,89.9219150313467,0.0,0.509765625,0.40771484375,0.1995229482647316,0.0,4096,252,514,1034107096,0.43921169999521226,1.0,1.0,1.0,0.0,0.3505859375,0.089599609375,0.0517578125,0.043701171875,0.033447265625,0.023193359375,0.018310546875,0.0,RC-A-vol-125,1,0.041397500000000004,0.22901500000000002,0.32747125,0.27473624999999996,0.9310152702233216,0.825460191073343,0.7338047778896319,0.75,volatility,125%
