contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,probability_mass_error,scenario_id,replication,risk_free_rate,volatility_1,volatility_2,volatility_3,correlation_12,correlation_13,correlation_23,ki_barrier_ratio
RC-L,0.06,107.37362096679544,0.0,6.442417258007726,78.49073356793019,17.917156781562408,14.994183508356087,-1.5613374592608003,94.8465528902318,101.28897014823953,101.28897014823953,0.0,0.968017578125,0.196044921875,0.047995467260639954,0.0,4096,252,756,2295277990,0.48899020004319027,1.0,1.0,1.0,0.560791015625,0.09912109375,0.0791015625,0.02880859375,0.0361328125,0.019287109375,0.0,RC-L-r0.03-s0.2-rho0.4,0,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45
RC-L,0.06,105.75795746814134,0.0,6.34547744808848,78.51694316517911,17.872531235406584,14.213236450629209,-2.0285547041038554,94.36091969648184,100.70639714457032,100.70639714457032,0.0,0.9599609375,0.195556640625,0.05332062417352264,0.0,4096,252,756,3067430721,0.5208836999954656,1.0,1.0,1.0,0.5576171875,0.0947265625,0.0830078125,0.03369140625,0.035400390625,0.01806640625,0.0,RC-L-r0.03-s0.2-rho0.4,1,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45
RC-L,0.06,107.64936880084014,0.0,6.458962128050408,78.16482000017093,18.20722283157525,14.994183508356087,-1.7368100208511943,94.63523281089499,101.09419493894539,101.09419493894539,0.0,0.96484375,0.19921875,0.049835565678329745,0.0,4096,252,756,377725437,0.5286779000307433,1.0,1.0,1.0,0.5537109375,0.096435546875,0.0830078125,0.03564453125,0.031982421875,0.017822265625,0.0,RC-L-r0.03-s0.2-rho0.4,2,0.03,0.2,0.2,0.2,0.4,0.4,0.4,0.45
RC-L,0.06,101.49160495567742,0.0,6.089496297340645,81.20652407609722,15.395813423758483,12.562091242863804,-1.5726043643192096,95.0297331355365,101.11922943287715,101.11922943287715,0.0,0.968994140625,0.16845703125,0.04897219692834763,0.0,4096,252,756,1255964342,0.5262892000027932,1.0,1.0,1.0,0.59326171875,0.092529296875,0.075439453125,0.034912109375,0.035400390625,0.016845703125,0.0,RC-L-r0.03-s0.2-rho0.6,0,0.03,0.2,0.2,0.2,0.6,0.6,0.6,0.45
RC-L,0.06,100.02043345613022,0.0,6.001226007367813,81.22876645244452,15.440438969914304,12.829844519798737,-1.4102826207471466,95.25892280161167,101.2601488089795,101.2601488089795,0.0,0.971435546875,0.1689453125,0.04740108630370814,0.0,4096,252,756,1435816616,0.5209794000256807,1.0,1.0,1.0,0.60693359375,0.094970703125,0.071044921875,0.028564453125,0.029541015625,0.018798828125,0.0,RC-L-r0.03-s0.2-rho0.6,1,0.03,0.2,0.2,0.2,0.6,0.6,0.6,0.45
RC-L,0.06,101.16735053189834,0.0,6.0700410319139,80.66410493136569,15.953632750706255,13.186848889045308,-1.545386716675399,95.07235096539655,101.14239199731045,101.14239199731044,1.4210854715202004e-14,0.9697265625,0.174560546875,0.048707898434581884,0.0,4096,252,756,2994620290,0.5178137000184506,1.0,1.0,1.0,0.60888671875,0.083251953125,0.067138671875,0.032958984375,0.033203125,0.0185546875,0.0,RC-L-r0.03-s0.2-rho0.6,2,0.03,0.2,0.2,0.2,0.6,0.6,0.6,0.45
RC-L,0.06,89.30814395531547,0.0,5.358488637318928,63.20249258238992,32.13039323219162,11.379514269734532,-11.567202696767316,83.76568311781423,89.12417175513316,89.12417175513316,0.0,0.771240234375,0.3515625,0.18177868403925695,0.0,4096,252,756,798013540,0.5179332999978215,1.0,1.0,1.0,0.41650390625,0.099365234375,0.065673828125,0.031982421875,0.034912109375,0.022705078125,0.0,RC-L-r0.03-s0.3-rho0.4,0,0.03,0.3,0.3,0.3,0.4,0.4,0.4,0.45
RC-L,0.06,92.16401098903978,0.0,5.529840659342387,64.6248575586963,30.724688528283238,11.312575950500799,-10.89678938765604,84.4527566993235,89.98259735866588,89.98259735866588,0.0,0.78466796875,0.336181640625,0.16869104473464583,0.0,4096,252,756,658159285,0.526534200005699,1.0,1.0,1.0,0.412109375,0.09912109375,0.070556640625,0.03759765625,0.04443359375,0.0185546875,0.0,RC-L-r0.03-s0.3-rho0.4,1,0.03,0.3,0.3,0.3,0.4,0.4,0.4,0.45
RC-L,0.06,94.09663342114752,0.0,5.64579800526885,63.89336691381764,31.416384493698477,12.182774100539321,-10.796831135408734,84.51292027210738,90.15871827737622,90.15871827737622,0.0,0.788818359375,0.34375,0.16458696942511458,0.0,4096,252,756,4226643774,0.49167050002142787,1.0,1.0,1.0,0.408203125,0.088623046875,0.08203125,0.04150390625,0.035888671875,0.026123046875,0.0,RC-L-r0.03-s0.3-rho0.4,2,0.03,0.3,0.3,0.3,0.4,0.4,0.4,0.45
RC-L,0.06,87.83657031758668,0.0,5.270194219055201,70.39527809880377,25.39193576266254,9.23748805425509,-9.124731361712882,86.66248249975342,91.93267671880862,91.93267671880864,-1.4210854715202004e-14,0.820068359375,0.27783203125,0.15184469807988546,0.0,4096,252,756,1361164154,0.4660489999805577,1.0,1.0,1.0,0.4736328125,0.0986328125,0.07275390625,0.03759765625,0.03955078125,0.016845703125,0.0,RC-L-r0.03-s0.3-rho0.6,0,0.03,0.3,0.3,0.3,0.6,0.6,0.6,0.45
RC-L,0.06,88.14947075880829,0.0,5.288968245528498,70.2829302835527,25.52581240113001,9.77299460812495,-8.92580529118187,86.88293739350084,92.17190563902933,92.17190563902933,0.0,0.826171875,0.279296875,0.1488047800353747,0.0,4096,252,756,590866164,0.5810655999812298,1.0,1.0,1.0,0.480224609375,0.093505859375,0.077392578125,0.03369140625,0.035888671875,0.018798828125,0.0,RC-L-r0.03-s0.3-rho0.6,1,0.03,0.3,0.3,0.3,0.6,0.6,0.6,0.45
RC-L,0.06,88.5604488744732,0.0,5.313626932468392,68.64336843004517,27.065393743505858,10.263875615838987,-9.434933729353073,86.27382844419796,91.58745537666636,91.58745537666636,0.0,0.814208984375,0.296142578125,0.15499211815488542,0.0,4096,252,756,146306139,0.5716851999750361,1.0,1.0,1.0,0.463623046875,0.1015625,0.0712890625,0.03466796875,0.03271484375,0.01904296875,0.0,RC-L-r0.03-s0.3-rho0.6,2,0.03,0.3,0.3,0.3,0.6,0.6,0.6,0.45
RC-L,0.06,103.15331876908512,0.0,6.189199126145107,79.50853432682955,15.893544935312345,13.446718535189326,-1.3274929975150576,94.07458626462684,100.26378539077196,100.26378539077196,0.0,0.972412109375,0.17919921875,0.05744278328686204,0.0,4096,252,756,1625266817,0.5733991999877617,1.0,1.0,1.0,0.576904296875,0.095458984375,0.078369140625,0.037353515625,0.03271484375,0.01806640625,0.0,RC-L-r0.04-s0.2-rho0.4,0,0.04,0.2,0.2,0.2,0.4,0.4,0.4,0.45
RC-L,0.06,103.23228017308159,0.0,6.193936810384895,79.71673419863778,15.677011625566944,13.186878563494847,-1.3599008932117425,94.03384493099298,100.22778174137788,100.22778174137788,0.0,0.971923828125,0.1767578125,0.05779350275905971,0.0,4096,252,756,2391841978,0.5712344000348821,1.0,1.0,1.0,0.56787109375,0.10693359375,0.080810546875,0.027587890625,0.0400390625,0.01611328125,0.0,RC-L-r0.04-s0.2-rho0.4,1,0.04,0.2,0.2,0.2,0.4,0.4,0.4,0.45
RC-L,0.06,100.72284411598949,0.0,6.043370646959369,80.86394533743731,14.659305069763567,12.342398655487788,-1.2839062612706191,94.23934414593026,100.28271479288964,100.28271479288964,0.0,0.973876953125,0.165283203125,0.05719314128417518,0.0,4096,252,756,3819937292,0.5268273000256158,1.0,1.0,1.0,0.590087890625,0.0947265625,0.080810546875,0.032958984375,0.0361328125,0.01416015625,0.0,RC-L-r0.04-s0.2-rho0.4,2,0.04,0.2,0.2,0.2,0.4,0.4,0.4,0.45
RC-L,0.06,94.11955298499018,0.0,5.64717317909941,82.29714762338668,13.468371866163867,10.848318818244529,-1.4356812587955514,94.32983823075499,99.9770114098544,99.9770114098544,0.0,0.970458984375,0.15185546875,0.06024424882414463,0.0,4096,252,756,3249873835,0.549629700020887,1.0,1.0,1.0,0.62890625,0.086181640625,0.07568359375,0.02880859375,0.028564453125,0.01416015625,0.0,RC-L-r0.04-s0.2-rho0.6,0,0.04,0.2,0.2,0.2,0.6,0.6,0.6,0.45
RC-L,0.06,93.38109880347656,0.0,5.602865928208593,83.26143129072695,12.558931965233189,10.11210556511017,-1.3563684885522242,94.46399476740791,100.0668606956165,100.0668606956165,0.0,0.972412109375,0.1416015625,0.0592840018325634,0.0,4096,252,756,1915409117,0.5226453000213951,1.0,1.0,1.0,0.62841796875,0.09423828125,0.0751953125,0.027099609375,0.033447265625,0.015869140625,0.0,RC-L-r0.04-s0.2-rho0.6,1,0.04,0.2,0.2,0.2,0.6,0.6,0.6,0.45
RC-L,0.06,96.03671993990395,0.0,5.762203196394236,83.02596748867367,12.775465274978588,11.04319879701539,-0.9472614430954986,94.85417132055676,100.616374516951,100.616374516951,0.0,0.98046875,0.14404296875,0.05358188703928353,0.0,4096,252,756,2510265419,0.5349368000170216,1.0,1.0,1.0,0.625,0.0947265625,0.074951171875,0.0322265625,0.029052734375,0.017333984375,0.0,RC-L-r0.04-s0.2-rho0.6,2,0.04,0.2,0.2,0.2,0.6,0.6,0.6,0.45
RC-L,0.06,91.04449411804026,0.0,5.462669647082415,64.27451613931908,29.643410104145232,11.28138543773533,-10.193064814660016,83.72486142880429,89.18753107588671,89.18753107588671,0.0,0.789794921875,0.334228515625,0.17876027242344608,0.0,4096,252,756,3844656041,0.5397964000003412,1.0,1.0,1.0,0.420654296875,0.094970703125,0.071533203125,0.036865234375,0.041748046875,0.02294921875,0.0,RC-L-r0.04-s0.3-rho0.4,0,0.04,0.3,0.3,0.3,0.4,0.4,0.4,0.45
RC-L,0.06,93.1423231630952,0.0,5.588539389785712,65.11260476777682,28.842236858087254,11.541225409429808,-9.706080644350696,84.24876098151339,89.8373003712991,89.83730037129908,1.4210854715202004e-14,0.80322265625,0.3251953125,0.16910936385928113,0.0,4096,252,756,3235479249,0.5530453000101261,1.0,1.0,1.0,0.416259765625,0.10009765625,0.076171875,0.041259765625,0.041015625,0.026611328125,0.0,RC-L-r0.04-s0.3-rho0.4,1,0.04,0.3,0.3,0.3,0.4,0.4,0.4,0.45
RC-L,0.06,89.9289119657067,0.0,5.395734717942402,63.8631042974604,30.05482339266149,11.584532071378888,-10.446743083702692,83.4711846064192,88.8669193243616,88.86691932436159,1.4210854715202004e-14,0.7890625,0.3388671875,0.18379868089456994,0.0,4096,252,756,2245311168,0.5991274999687448,1.0,1.0,1.0,0.41943359375,0.100341796875,0.0703125,0.032470703125,0.03857421875,0.019775390625,0.0,RC-L-r0.04-s0.3-rho0.4,2,0.04,0.3,0.3,0.3,0.4,0.4,0.4,0.45
RC-L,0.06,85.86185530439758,0.0,5.151711318263855,69.74148709908843,24.684797310975576,8.574719065917831,-9.034555293432323,85.39172911663168,90.54344043489553,90.54344043489554,-1.4210854715202004e-14,0.816162109375,0.2783203125,0.17013691157242125,0.0,4096,252,756,4074536913,0.5029339999891818,1.0,1.0,1.0,0.46826171875,0.09912109375,0.079833984375,0.034423828125,0.0400390625,0.017578125,0.0,RC-L-r0.04-s0.3-rho0.6,0,0.04,0.3,0.3,0.3,0.6,0.6,0.6,0.45
RC-L,0.06,85.02411256124255,0.0,5.101446753674552,69.55976619830894,24.901330620720977,8.834559037612312,-8.96035939964635,85.50073741938355,90.6021841730581,90.60218417305812,-1.4210854715202004e-14,0.81640625,0.28076171875,0.17053118396469802,0.0,4096,252,756,3426293208,0.4788912000367418,1.0,1.0,1.0,0.47509765625,0.103515625,0.071044921875,0.031982421875,0.03759765625,0.0205078125,0.0,RC-L-r0.04-s0.3-rho0.6,1,0.04,0.3,0.3,0.3,0.6,0.6,0.6,0.45
RC-L,0.06,87.35390108805676,0.0,5.241234065283406,70.07588282268426,24.446610670255637,9.527465628797591,-8.097637133534606,86.4248563594053,91.6660904246887,91.6660904246887,0.0,0.82958984375,0.275634765625,0.15540397705776565,0.0,4096,252,756,3428468284,0.5282368999905884,1.0,1.0,1.0,0.48291015625,0.105712890625,0.065185546875,0.033447265625,0.037109375,0.024169921875,0.0,RC-L-r0.04-s0.3-rho0.6,2,0.04,0.3,0.3,0.3,0.6,0.6,0.6,0.45
