scenario_id,contract_id,replications,n_paths_per_replication,steps_per_year,total_value_mean,total_value_sd,total_value_se,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,coupon_value_mean,coupon_value_sd,coupon_value_se,early_redemption_principal_mean,early_redemption_principal_sd,early_redemption_principal_se,surviving_notional_mean,surviving_notional_sd,surviving_notional_se,terminal_ki_loss_mean,terminal_ki_loss_sd,terminal_ki_loss_se,no_ki_maturity_redemption_mean,no_ki_maturity_redemption_sd,no_ki_maturity_redemption_se,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,continuous_ki_survival_probability_se,maturity_survival_probability_mean,maturity_survival_probability_sd,maturity_survival_probability_se,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_se,component_identity_max_abs_error,probability_mass_max_abs_error,fair_coupon_max_abs_residual,type,schedule,paper_fdm_price,paper_bb_price,paper_mc_price,price_error_vs_paper_mc,price_error_vs_fdm,price_pass
RC-L-T8-1,RC-L-T8-1,3,4096,252,90.31026381439283,0.399854994026773,0.2308563884381736,0.28064062410228674,0.009943763828075325,0.005741034722897353,7.511450102334688,0.07113465169894774,0.04106961030709775,61.97239063171693,0.8493787286274729,0.4903890376170136,33.39478370660657,0.7775395822634295,0.4489126871253802,-12.568360626265369,0.362192532701348,0.2091119562535956,9.222612872203149,0.3795358319605964,0.21912511474955892,0.7322591145833334,0.006470110420019843,0.0037355199926850592,0.3653971354166667,0.00850763815475537,0.004911887178815944,0.5725469666649587,0.0264779457002429,0.015287049077623533,1.4210854715202004e-14,0.0,0.0,1,90-90-90-90-90-90,90.291,90.2966,90.2064,0.10386381439282388,0.019263814392829204,True
RC-L-T8-2,RC-L-T8-2,3,4096,252,89.25674560541488,0.5214788638664885,0.30107596243001733,0.27138830794415614,0.011968985300594072,0.006910296885224662,8.495997910840353,0.1411140179693275,0.08147221626102091,58.04037738295444,0.7561418280286996,0.4365586879579054,36.778887623423046,0.7169081605511252,0.41390711947843156,-14.05851731180295,0.38397751013337994,0.22168951883826918,10.018435111981969,0.17850218462328726,0.10305828434319118,0.7013346354166666,0.005701262984419595,0.0032916257187755025,0.4024251302083333,0.00784422473053445,0.004528865259757984,0.5567701666732319,0.015518666882747717,0.008959706502218525,1.4210854715202004e-14,0.0,0.0,2,95-95-90-90-85-85,89.0452,88.7913,89.218,0.03874560541487426,0.21154560541488365,True
RC-L-T8-3,RC-L-T8-3,3,4096,252,91.11123506360944,0.6801036268756893,0.39265801205352,0.215385934113644,0.00961127242062052,0.005549070719300084,8.521605242548427,0.12958007155864418,0.07481308919599419,65.66118424576251,0.5180293029966186,0.299084357533212,29.53467396412799,0.47664456508725705,0.2751908679609,-12.606228388829493,0.5164881216497746,0.2981945560677416,5.265814446386959,0.5428932001014519,0.3134395352197907,0.720947265625,0.011126493032329923,0.006423883747352177,0.3231608072916667,0.005215322255863319,0.0030110677083333335,0.5280664666594627,0.05226123445467894,0.030173037780591033,1.4210854715202004e-14,0.0,0.0,3,95-90-85-80-75-70,90.765,90.4242,90.8118,0.2994350636094367,0.34623506360944134,True
