scenario_id,contract_id,replications,n_paths_per_replication,steps_per_year,total_value_mean,total_value_sd,total_value_se,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,coupon_value_mean,coupon_value_sd,coupon_value_se,early_redemption_principal_mean,early_redemption_principal_sd,early_redemption_principal_se,surviving_notional_mean,surviving_notional_sd,surviving_notional_se,terminal_ki_loss_mean,terminal_ki_loss_sd,terminal_ki_loss_se,no_ki_maturity_redemption_mean,no_ki_maturity_redemption_sd,no_ki_maturity_redemption_se,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,continuous_ki_survival_probability_se,maturity_survival_probability_mean,maturity_survival_probability_sd,maturity_survival_probability_se,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_se,component_identity_max_abs_error,probability_mass_max_abs_error,fair_coupon_max_abs_residual,sensitivity_dimension,sensitivity_level,fair_coupon_ci95_low,fair_coupon_ci95_high
RC-A-baseline,RC-A,4,4096,252,94.02310591782572,0.30507339517422355,0.15253669758711177,0.14915149022495083,0.0031630220440758325,0.0015815110220379163,8.482950855332982,0.04195748701503926,0.02097874350751963,59.710476291176704,0.5957352586358803,0.29786762931794014,35.362226231436324,0.5645003690563712,0.2822501845281856,-9.532547460120313,0.28082498500902775,0.14041249250451387,3.330654408392907,0.3173927528131326,0.1586963764065663,0.60638427734375,0.009631185203893737,0.004815592601946869,0.38427734375,0.006134362156589438,0.003067181078294719,0.3816333750000922,0.04804667030818674,0.02402333515409337,0.0,0.0,0.0,baseline,baseline,0.14605172862175653,0.15225125182814514
RC-A-vol-75,RC-A,4,4096,252,98.38944125068274,0.18724274065619645,0.09362137032809822,0.10315494042258885,0.0018085719067707487,0.0009042859533853743,9.001144608757087,0.04781766920582254,0.02390883460291127,62.85845602134817,0.5976979341846855,0.29884896709234277,32.379802132184,0.5652077866087478,0.2826038933043739,-5.849961511606525,0.17964961457293616,0.08982480728646808,9.800998216940341,0.32265013327118275,0.16132506663559137,0.742919921875,0.006369528622835122,0.003184764311417561,0.35186767578125,0.00614204958373758,0.00307102479186879,0.4046700500039151,0.012373157024443736,0.006186578512221868,0.0,0.0,0.0,volatility,75%,0.10138253995395352,0.10492734089122419
RC-A-vol-125,RC-A,4,4096,252,90.04396909342452,0.31813843583364504,0.15906921791682252,0.19812065472008367,0.0037856386632081893,0.0018928193316040947,7.875634837252994,0.02767686915950547,0.013838434579752736,57.20434602186055,0.6195717775770326,0.3097858887885163,37.73805559863734,0.591107340338044,0.295553670169022,-12.774067364326362,0.27439814347331887,0.13719907173665943,0.8593425370727061,0.15605709887626484,0.07802854943813242,0.51287841796875,0.005376177607030219,0.0026880888035151094,0.41009521484375,0.006423497127403745,0.0032117485637018725,0.44947382499231026,0.03260187662177558,0.01630093831088779,0.0,0.0,0.0,volatility,125%,0.19441072883013963,0.2018305806100277
RC-A-corr-low,RC-A,4,4096,252,90.48382273457983,0.4961963706263787,0.24809818531318936,0.17441476822767796,0.004837651432537137,0.0024188257162685686,9.581818921846331,0.06616722820007742,0.03308361410003871,44.714867101877466,0.8990297238890071,0.4495148619445036,49.48802022318702,0.8524193019860438,0.4262096509930219,-13.300883512330982,0.42184479583320916,0.21092239791660458,5.3301703770065245,0.16135765426679627,0.08067882713339813,0.48388671875,0.008075114945576771,0.0040375574727883855,0.53778076171875,0.009263144887558765,0.004631572443779383,0.4650901999848429,0.05284580064614209,0.026422900323071045,0.0,0.0,0.0,correlation,low,0.16967386982379157,0.17915566663156435
RC-A-corr-high,RC-A,4,4096,252,94.95199902758488,0.24615476210142373,0.12307738105071186,0.14173796769104208,0.0027702347779153106,0.0013851173889576553,8.144532013328158,0.041873835936985314,0.020936917968492657,63.779100350232426,0.5281081900302592,0.2640540950151296,31.54292606666875,0.5040373464355655,0.25201867321778276,-8.514559402644455,0.21826788091673785,0.10913394045836892,2.797075708903318,0.2686599248615345,0.13432996243076725,0.64178466796875,0.007630777869380379,0.0038153889346901897,0.3427734375,0.0054773172755416145,0.0027386586377708072,0.3840137499937555,0.02831925109637116,0.01415962554818558,1.4210854715202004e-14,0.0,0.0,correlation,high,0.13902313760868507,0.1444527977733991
RC-A-KI-65,RC-A-KI-65,4,4096,252,95.81768408421706,0.30896584503114966,0.15448292251557483,0.1306437170024819,0.0032599269625018064,0.0016299634812509032,8.482950855332982,0.04195748701503926,0.02097874350751963,59.710476291176704,0.5957352586358803,0.29786762931794014,35.362226231436324,0.5645003690563712,0.2822501845281856,-7.737969293728945,0.2764614497892308,0.1382307248946154,13.822496625725032,0.4967664888781405,0.24838324443907026,0.76007080078125,0.007815996023607235,0.003907998011803617,0.38427734375,0.006134362156589438,0.003067181078294719,0.3398595749749802,0.006620055865949083,0.0033100279329745415,0.0,0.0,0.0,KI barrier,65%,0.12744898857923012,0.13383844542573367
RC-A-KI-85,RC-A-KI-85,4,4096,252,93.72085573346372,0.2817138746058261,0.14085693730291304,0.15226890175298485,0.002914643267663791,0.0014573216338318955,8.482950855332982,0.04195748701503926,0.02097874350751963,59.710476291176704,0.5957352586358803,0.29786762931794014,35.362226231436324,0.5645003690563712,0.2822501845281856,-9.834797644482302,0.25820364088478354,0.12910182044239177,0.05616617889364093,0.02246647155745637,0.011233235778728186,0.42962646484375,0.006295404810010511,0.0031477024050052555,0.38427734375,0.006134362156589438,0.003067181078294719,0.3663342250074493,0.013780776429010303,0.006890388214505151,0.0,0.0,0.0,KI barrier,85%,0.14941255135067433,0.15512525215529538
RC-A-autocall-early,RC-A-autocall-early,4,4096,252,94.5704279574195,0.3007875127884833,0.15039375639424166,0.15625504446016147,0.0035330786368081,0.00176653931840405,6.909019465158082,0.0763500274747332,0.0381750137373666,65.8760224696976,0.8201225066911326,0.4100612533455663,30.037672472319166,0.7739256522219489,0.38696282611097443,-8.252286449755339,0.300885300760414,0.150442650380207,2.53871128599257,0.23130648172857496,0.11565324086428748,0.6597900390625,0.010041473534548394,0.005020736767274197,0.326416015625,0.008410163204924357,0.0042050816024621785,0.37233297499187756,0.01424364947180437,0.007121824735902185,1.4210854715202004e-14,0.0,0.0,autocall schedule,first date,0.15279262739608954,0.1597174615242334
RC-A-autocall-delayed,RC-A-autocall-delayed,4,4096,252,93.71245104543468,0.2885797953930527,0.14428989769652634,0.13758054335364384,0.0023962828487228372,0.0011981414243614186,10.986538141570888,0.08479693916211681,0.042398469581058404,50.24892052348879,0.8500996809698389,0.42504984048491945,43.55125511412918,0.8212819365817039,0.41064096829085195,-11.074262733754185,0.263806745619789,0.1319033728098945,5.633467743032185,0.3969959659613222,0.1984979829806611,0.5408935546875,0.009770709939162592,0.004885354969581296,0.4732666015625,0.008924778632260131,0.0044623893161300655,0.37992857498466037,0.0344468488280773,0.01722342441403865,1.4210854715202004e-14,0.0,0.0,autocall schedule,fourth date,0.13523218616189545,0.13992890054539223
