scenario_id,contract_id,replications,n_paths_per_replication,steps_per_year,total_value_mean,total_value_sd,total_value_se,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,coupon_value_mean,coupon_value_sd,coupon_value_se,early_redemption_principal_mean,early_redemption_principal_sd,early_redemption_principal_se,surviving_notional_mean,surviving_notional_sd,surviving_notional_se,terminal_ki_loss_mean,terminal_ki_loss_sd,terminal_ki_loss_se,no_ki_maturity_redemption_mean,no_ki_maturity_redemption_sd,no_ki_maturity_redemption_se,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,continuous_ki_survival_probability_se,maturity_survival_probability_mean,maturity_survival_probability_sd,maturity_survival_probability_se,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_se,component_identity_max_abs_error,probability_mass_max_abs_error,fair_coupon_max_abs_residual,risk_free_rate,sigma,rho,paper_qe_price,paper_bb_price,paper_mc_price,paper_break_even_coupon,price_error_vs_paper_mc,price_error_vs_paper_qe,coupon_error_vs_paper,price_pass,coupon_pass
RC-L-r0.03-s0.2-rho0.4,RC-L,3,4096,252,101.02985407725174,0.29656809675629686,0.171223670495303,0.05038388570416411,0.0027045914986840083,0.0015614966298131857,6.415618944715539,0.06130501890542908,0.03539446916772458,78.39083224442675,0.1961705550334952,0.11325912275566676,17.99897028284808,0.18172700096834324,0.10492013292809636,-1.7755673947386168,0.23600760367554033,0.13625905351287174,14.73386782244713,0.4508799940014596,0.2603156859089596,0.9642740885416666,0.004058417200453021,0.002343128263165359,0.19694010416666666,0.0019884101111443063,0.001148009112928539,0.5128506000231331,0.021027990963228545,0.01214051624313702,0.0,0.0,0.0,0.03,0.2,0.4,101.1633,101.1305,100.7617,0.0528,0.26815407725173657,-0.1334459227482654,-0.0024161142958358875,True,True
RC-L-r0.03-s0.2-rho0.6,RC-L,3,4096,252,101.1739234130557,0.07556613179489334,0.04362812653340041,0.048360393888879215,0.000841229282465124,0.0004856839526814351,6.053587778874118,0.04637826187628476,0.026776501978819964,81.03313181996914,0.31978010289987563,0.18462512849072943,15.59662838145968,0.3099789502341808,0.1789664303608219,-1.5094245672472517,0.0869312616536073,0.05018978731670397,12.859594883902616,0.31343953521979045,0.18096440003381722,0.9700520833333334,0.001252832382677462,0.000723323113388313,0.170654296875,0.0033917099583617685,0.0019582046574733018,0.5216941000156415,0.004282711997424691,0.0024726249245747853,1.4210854715202004e-14,0.0,0.0,0.03,0.2,0.6,101.1891,101.2225,101.3865,0.0462,-0.21257658694429438,-0.01517658694429258,0.002160393888879217,True,True
RC-L-r0.03-s0.3-rho0.4,RC-L,3,4096,252,89.75516246372509,0.553503929750143,0.31956564283876077,0.17168556606633914,0.008978537261046688,0.005183760904594391,5.511375767310056,0.14454197454812306,0.0834513479145589,63.90690568496796,0.7112791331108766,0.4106571989705283,31.423822084724446,0.7028818655846384,0.40580903430379733,-11.086941073277364,0.4189108894454614,0.2418583147878027,11.624954773591549,0.4842437255998337,0.27957824532845127,0.7815755208333334,0.00918803815930682,0.005304716304600347,0.3438313802083333,0.0076907526180545315,0.004440258094304603,0.5120460000083161,0.018162175531117913,0.010485936931960161,0.0,0.0,0.0,0.03,0.3,0.4,89.4492,89.8396,89.4581,0.1767,0.2970624637250836,0.3059624637250806,-0.005014433933660856,True,True
RC-L-r0.03-s0.3-rho0.6,RC-L,3,4096,252,91.89734591150143,0.29382261103048474,0.16963856357244908,0.1518805320900485,0.0030938247055224207,0.0017862205265588844,5.290929799017364,0.021782697667537727,0.01257624636202914,69.77385893746721,0.980643716354943,0.5661749136166414,25.994380635766134,0.9299368507025405,0.5368992910824646,-9.161823460749275,0.256582948569963,0.14813823442633606,9.75811942607301,0.5133554420909,0.29638590268114046,0.8201497395833334,0.005981860503234717,0.0034536287717973546,0.284423828125,0.010175129875085306,0.005874613972419905,0.5395999333122745,0.0638694200814759,0.03687502687702541,1.4210854715202004e-14,0.0,0.0,0.03,0.3,0.6,91.2325,91.622,91.1359,0.1623,0.7614459115014256,0.6648459115014305,-0.01041946790995149,True,True
RC-L-r0.04-s0.2-rho0.4,RC-L,3,4096,252,100.25809397501315,0.027905271851441687,0.016111116215239547,0.057476475776698975,0.0003015955288709376,0.00017412625978002337,6.142168861163124,0.08559454866039792,0.049418035710245264,80.02973795430155,0.7299063400285749,0.4214116218987123,15.409953876880953,0.6590348187139958,0.38049392998986176,-1.3237667173324732,0.038134104079760964,0.0220167352557552,12.991998584723987,0.5773770464525788,0.33334879319330746,0.9727376302083334,0.0010164384763018228,0.0005868410279075505,0.17374674479166666,0.007430596831812156,0.0042900570810863285,0.5571536333494199,0.02628567022845047,0.015176038782225612,0.0,0.0,0.0,0.04,0.2,0.4,100.2301,100.2447,99.7513,0.0624,0.5067939750131529,0.027993975013160366,-0.004923524223301022,True,True
RC-L-r0.04-s0.2-rho0.6,RC-L,3,4096,252,100.22008220747396,0.34612702791167627,0.1998365327386114,0.05770337923199718,0.0036014638679514642,0.0020793061336384887,5.670747434567414,0.08224293525202576,0.04748298080670204,82.86151546759577,0.5027366091724925,0.29025511663721826,12.93425636879188,0.47505914574610303,0.27427552567750624,-1.2464370634810915,0.26211098366101704,0.15132984697424579,10.667874393456698,0.49107412317560184,0.28352177720749316,0.9744466145833334,0.00530596462002052,0.0030634001016794777,0.14583333333333334,0.005356276911427192,0.0030924479166666665,0.5357372666864345,0.01350999707623118,0.00780000044871313,0.0,0.0,0.0,0.04,0.2,0.6,100.3241,100.3884,100.471,0.0551,-0.25091779252603885,-0.1040177925260366,0.0026033792319971744,True,True
RC-L-r0.04-s0.3-rho0.4,RC-L,3,4096,252,89.29725025718248,0.4944072897136869,0.28544618180551046,0.17722277239243237,0.007464377971393989,0.004309560631117432,5.482314584936842,0.09789204798465455,0.05651800025546407,64.4167417348521,0.6367762137115176,0.3676429183998954,29.513490118297995,0.6166448961919645,0.35602009681083957,-10.115296180904467,0.37640560910255577,0.21731787973984565,11.469047639514676,0.16395637598091942,0.09466025780793932,0.7940266927083334,0.007972353450863274,0.004602840410930753,0.332763671875,0.006952651789989327,0.0040141153825320715,0.563989733326404,0.031142901620208996,0.017980362633773696,1.4210854715202004e-14,0.0,0.0,0.04,0.3,0.4,89.3601,89.3411,89.0015,0.1832,0.2957502571824904,-0.06284974281751943,-0.005977227607567637,True,True
RC-L-r0.04-s0.3-rho0.6,RC-L,3,4096,252,90.93723834421411,0.6318874291378433,0.36482037731027445,0.1653573575316283,0.008622134296270888,0.004977991556941102,5.164797379073938,0.07080647472054771,0.04088013724027666,69.79237870669387,0.26179488016889485,0.15114734453797726,24.677579533984062,0.22744588491842305,0.1313159428837242,-8.697517275537761,0.5208343270570477,0.3007038389295841,8.978914577442579,0.4925042077785375,0.284347436937962,0.8207194010416666,0.007682998538497964,0.004435781274385301,0.2782389322916667,0.002564445191502072,0.0014805831216357626,0.5033540333388373,0.02467553134169317,0.0142464246625236,1.4210854715202004e-14,0.0,0.0,0.04,0.3,0.6,91.0598,91.1095,90.5555,0.1718,0.38173834421411357,-0.12256165578588707,-0.006442642468371701,True,True
