component,value
g1,0.40656965974059917
g2,0.4493289641172217
g3,0.4965853037914095
h12,0.23750365584357214
h13,0.2564977662947554
h23,0.2790117001523136
q3,0.1501806001292952
p3,0.2703485945121157
