contract_id,annual_coupon,coupon_annuity,fixed_coupon_value,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,base_value,total_value,additive_sum,component_identity_error,continuous_ki_survival_probability,maturity_survival_probability,fair_coupon,fair_coupon_residual,n_paths,steps_per_year,grid_steps,seed,runtime_seconds,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,redemption_probability_1,redemption_probability_2,redemption_probability_3,redemption_probability_4,redemption_probability_5,redemption_probability_6,probability_mass_error,method,replication,outer_method,endpoint_dimension,paired_bernoulli_total_value,conditional_minus_paired_bernoulli,inner_paths,bridge_substeps,bessel_terms,bridge_bank_seed,redemption_probability_7,redemption_probability_8
RC-L,0.06,103.2847521672269,0.0,6.197085130033614,79.62831485027903,16.8684564469006,13.521540485213972,-1.8417801289489444,94.65499116823068,100.8520762982643,100.8520762982643,0.0,0.96337890625,0.1845703125,0.051750221786031794,0.0,2048,252.0,756.0,932437048,0.3352210000157356,1.0,1.0,1.0,0.5771484375,0.09765625,0.07080078125,0.03515625,0.03466796875,0.01953125,0.0,M0,0,mc-direct,,,,,,,,,
RC-L,0.06,111.37482828448944,0.0,6.682489697069366,77.24530481527896,19.055108208535863,16.33294989303074,-1.5087014472424112,94.79171157657241,101.47420127364178,101.47420127364178,0.0,0.97021484375,0.20849609375,0.0467636045204383,0.0,2048,252.0,756.0,3027234944,0.7259535000193864,1.0,1.0,1.0,0.548828125,0.0908203125,0.083984375,0.02880859375,0.0390625,0.02587890625,0.0,M1,0,rqmc-direct,2268.0,,,,,,,,
RC-L,0.06,105.44676827957127,0.0,6.326806096774276,79.31402363390018,17.136209723835528,14.01242149292801,-1.727254531567044,94.72297882616866,101.04978492294293,101.04978492294293,0.0,0.9658203125,0.1875,0.05004440875646719,0.0,2048,252.0,756.0,3957083857,0.3642254999722354,1.0,1.0,1.0,0.5625,0.1025390625,0.078125,0.03515625,0.0341796875,0.0205078125,0.0,M0,1,mc-direct,,,,,,,,,
RC-L,0.06,105.6843690302646,0.0,6.341062141815876,79.04932904550544,17.35933745461464,13.833919308304726,-1.9075217353070828,94.501144764813,100.84220690662889,100.84220690662889,0.0,0.96142578125,0.18994140625,0.0520309226959788,0.0,2048,252.0,756.0,2271319554,0.6608038999838755,1.0,1.0,1.0,0.56201171875,0.0966796875,0.0732421875,0.03759765625,0.04052734375,0.01513671875,0.0,M1,1,rqmc-direct,2268.0,,,,,,,,
RC-L,0.06,107.42826389718891,0.0,6.445695833831334,79.85065265205048,16.60070316996567,14.146298131395476,-1.3359344767816115,95.11542134523454,101.56111717906587,101.56111717906587,0.0,0.97314453125,0.181640625,0.04546828253168185,0.0,2048,252.0,756.0,279971694,0.34691590000875294,1.0,1.0,1.0,0.56396484375,0.095703125,0.083984375,0.033203125,0.04150390625,0.01904296875,0.0,M0,2,mc-direct,,,,,,,,,
RC-L,0.06,106.64300263369003,0.0,6.398580158021401,78.34652795546758,18.07334619310778,15.03880905451191,-1.6999657996836828,94.71990834889168,101.11848850691308,101.11848850691308,0.0,0.966796875,0.19775390625,0.049511843446916094,0.0,2048,252.0,756.0,3027906465,0.6530803999630734,1.0,1.0,1.0,0.57177734375,0.08740234375,0.07861328125,0.03076171875,0.03369140625,0.01904296875,0.0,M1,2,rqmc-direct,2268.0,,,,,,,,
RC-L,0.06,105.81303088910863,0.0,6.348781853346518,79.76573879991565,16.68995426227731,13.74466821599308,-1.6628332686635527,94.79285979352942,101.14164164687594,101.14164164687594,0.0,0.9677734375,0.1826171875,0.049210765089298246,0.0,2048,252.0,756.0,3784543738,0.2981425999896601,1.0,1.0,1.0,0.564453125,0.1005859375,0.076171875,0.0361328125,0.0400390625,0.01171875,0.0,M0,3,mc-direct,,,,,,,,,
RC-L,0.06,108.17339139271454,0.0,6.490403483562872,79.01502282987086,17.40396300077046,14.860306869888623,-1.4218979568912533,94.99708787375006,101.48749135731293,101.48749135731293,0.0,0.97216796875,0.1904296875,0.046249008761196,0.0,2048,252.0,756.0,2849106480,0.6578205000259914,1.0,1.0,1.0,0.560546875,0.09765625,0.0810546875,0.03271484375,0.03759765625,0.01904296875,0.0,M1,3,rqmc-direct,2268.0,,,,,,,,
RC-L,0.06,104.70166863791937,0.0,6.282100118275162,78.76823353867354,17.671716277705386,14.200577421249536,-1.8650799467657535,94.57486986961317,100.85696998788833,100.85696998788833,0.0,0.9620195222700946,0.193359375,0.05181512578513038,0.0,2048,,,3032505700,1.2495811999542639,1.0,1.0,1.0,0.5732421875,0.0908203125,0.07421875,0.033203125,0.03515625,0.0166015625,0.0,M2,0,mc,18.0,101.00816525812004,-0.1511952702317103,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,108.7821000242234,0.0,6.526926001453403,77.80379686197446,18.519601654666,15.165162215139219,-1.8451562082745967,94.47824230836586,101.00516830981927,101.00516830981927,0.0,0.9632964942758734,0.20263671875,0.05075980046721438,0.0,2048,,,4081072586,1.3301622999715619,1.0,1.0,1.0,0.5439453125,0.0986328125,0.08203125,0.03955078125,0.033203125,0.0185546875,0.0,M2,1,mc,18.0,100.83441685709144,0.17075145272782777,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,109.1814205321219,0.0,6.550885231927314,76.83537972189622,19.412112577782437,15.363538280260926,-2.1891112117689575,94.0583810879097,100.609266319837,100.609266319837,0.0,0.95570145620077,0.21240234375,0.054419688653366084,0.0,2048,,,1222619692,1.435664499993436,1.0,1.0,1.0,0.5419921875,0.0908203125,0.07958984375,0.03173828125,0.04345703125,0.01513671875,0.0,M2,2,mc,18.0,100.8115785206798,-0.20231220084279755,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,104.77388633376258,0.0,6.286433180025754,78.56933145751691,17.850218462328677,14.18519106954809,-2.018279022637186,94.4012708972084,100.68770407723416,100.68770407723414,1.4210854715202004e-14,0.9598924575866611,0.1953125,0.05343630267714377,0.0,2048,,,1977112231,1.3048155999858864,1.0,1.0,1.0,0.56591796875,0.09765625,0.0703125,0.03759765625,0.033203125,0.01953125,0.0,M2,3,mc,18.0,100.62238132215376,0.06532275508040186,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,104.40379310669682,0.0,6.264227586401809,78.98581341441405,17.44858854692628,13.811598536673454,-2.0120235188323923,94.42237844250795,100.68660602890975,100.68660602890975,0.0,0.9602049865392632,0.19091796875,0.05342355283770129,0.0,2048,,,2641263418,1.2488239000085741,1.0,1.0,1.0,0.5625,0.0986328125,0.08251953125,0.0302734375,0.03515625,0.02001953125,0.0,M2,4,mc,18.0,100.55115809735679,0.1354479315529602,256.0,16.0,12.0,2246738685.0,,
RC-L,0.06,108.7722792266827,0.0,6.526336753600962,76.71380490499982,19.59061476240572,16.04766000131915,-1.9103848222109578,94.39403484519458,100.92037159879554,100.92037159879554,0.0,0.9612337580410413,0.21435546875,0.05153854635262833,0.0,2048,,,565602860,1.2848339000483975,1.0,1.0,1.0,0.55419921875,0.087890625,0.08203125,0.0283203125,0.033203125,0.0234375,0.0,M2,5,mc,18.0,100.69921363678014,0.22115796201539695,256.0,16.0,12.0,2246738685.0,,
