contract_id,method,reference_method,price_difference,combined_se,tolerance,pass
RC-L,M0,M0,0.0,0.21129894088178083,1.25,True
RC-L,M1,M0,0.07944199933690754,0.21537494173212193,1.25,True
RC-L,M2,M0,-0.35680729137325784,0.1623980487411492,1.25,True
RC-L,M3,M0,0.00806158850322447,0.17672119329408012,1.25,True
RC-A,M0,M0,0.0,0.3661472558858562,1.25,True
RC-A,M1,M0,0.26823965128374994,0.27050858347147827,1.25,True
RC-A,M2,M0,0.23451815175853596,0.320577402659229,1.25,True
RC-A,M3,M0,0.18786875135073444,0.2612164262528383,1.25,True
