contract_id,method,raw_projection_rate,mean_projection_abs,max_projection_abs,max_projection_p99,final_bound_violation_rate,numerical_underflow_count,endpoint_breach_rate
RC-A,M2,0.24549607072284607,0.000170110658118603,0.05496331174833874,0.008310534485473529,0.0,0,0.3674674076409676
RC-A,M3,0.24218366088431242,0.00016780791816916785,0.05833127347339019,0.008774869953739812,0.0,0,0.3686460717941354
RC-L,M2,0.01002142483510087,8.017773328616633e-06,0.05758927714281785,3.6086527465637016e-08,0.0,0,0.035276364381817873
RC-L,M3,0.011938533707160961,1.236203912489169e-06,0.006194124627153318,2.1043263212240646e-07,0.0,0,0.02885568407489383
