contract_id,method,replications,n_paths_per_replication,total_value_mean,total_value_sd,total_value_se,fair_coupon_mean,fair_coupon_sd,fair_coupon_se,coupon_value_mean,coupon_value_sd,coupon_value_se,early_redemption_principal_mean,early_redemption_principal_sd,early_redemption_principal_se,surviving_notional_mean,surviving_notional_sd,surviving_notional_se,terminal_ki_loss_mean,terminal_ki_loss_sd,terminal_ki_loss_se,continuous_ki_survival_probability_mean,continuous_ki_survival_probability_sd,continuous_ki_survival_probability_se,runtime_seconds_mean,runtime_seconds_sd,runtime_seconds_se,component_identity_max_abs_error,probability_mass_max_abs_error,fair_coupon_max_abs_residual,conditional_minus_bernoulli_mean,conditional_minus_bernoulli_se
RC-L,M0,4,2048,101.15115501178727,0.29882182791008527,0.14941091395504263,0.04911841954086977,0.0026530402039421676,0.0013265201019710838,6.329592228496436,0.1023298303634837,0.05116491518174185,79.63968248403634,0.2356420423256637,0.11782102116283184,16.823830900744777,0.23613619449747658,0.11806809724873829,-1.6419506014902883,0.21701809056764185,0.10850904528382092,0.967529296875,0.004152783470759464,0.002076391735379732,0.336126249996596,0.027985481604786675,0.013992740802393338,0.0,0.0,0.0,,
RC-L,M1,4,2048,101.23059701112417,0.3102434161572733,0.15512170807863665,0.0486388448561323,0.0026768240814045744,0.0013384120407022872,6.478133870117379,0.1494760841864488,0.0747380420932244,78.41404616153072,0.8436571857393315,0.42182859286966573,17.972938714257186,0.7919201021418657,0.39596005107093285,-1.6345217347811074,0.2159101214229579,0.10795506071147895,0.9676513671875,0.004706703691706137,0.0023533518458530686,0.6744145749980817,0.034506142522251176,0.017253071261125588,0.0,0.0,0.0,,
RC-L,M2,6,2048,100.79434772041401,0.15587504661205107,0.06363572130534481,0.05256550279553071,0.001400772186754579,0.000571862850571884,6.406151478614067,0.14130990569551352,0.0576895274258031,77.94605998324583,0.9917485467596494,0.40487964878464744,18.41547538030242,0.9157121476045896,0.37383791881656636,-1.9733391217483074,0.12820906692296868,0.05234113239326898,0.9603914458189505,0.0026107159280515163,0.0010658203145138092,1.30898023332702,0.06963476510156055,0.028428273809564766,1.4210854715202004e-14,0.0,0.0,0.039862105050346486,0.0718647848626767
RC-L,M3,6,2048,101.15921660029049,0.23117213002958387,0.09437562688746748,0.04921964683941658,0.0020274001442731598,0.0008276826429857068,6.4412507339212235,0.07264584151352836,0.029657540607206687,78.49892094494702,0.33148894392604283,0.13532979466547834,17.8948440084845,0.31555026300934896,0.12882285542898908,-1.6757990870622541,0.1704566598429906,0.06958863997908113,0.9662901472120972,0.003361195583557228,0.001372202350901925,1.2233052666706499,0.03824621454500175,0.0156139517047111,1.4210854715202004e-14,0.0,0.0,0.050097387536887084,0.06460798864274994
RC-A,M0,4,2048,93.701584124291,0.5178104150994699,0.25890520754973495,0.15292766882981498,0.005383379855257001,0.0026916899276285006,8.423620854390531,0.06607761478866522,0.03303880739433261,59.45506125711303,0.6528800577996892,0.3264400288998446,35.59812418278962,0.586284518326042,0.293142259163021,-9.77522217000218,0.4646254929726962,0.2323127464863481,0.6011962890625,0.011349257128095175,0.005674628564047587,0.21666497499973048,0.012159366635360123,0.006079683317680062,1.4210854715202004e-14,0.0,0.0,,
RC-A,M1,4,2048,93.96982377557475,0.1567544223985327,0.07837721119926636,0.15021771909712853,0.0014806961950319857,0.0007403480975159928,8.412681310578607,0.05412322494918562,0.02706161247459281,60.14187580763746,0.6576081011235069,0.32880405056175344,34.94659650762338,0.6251710341109729,0.31258551705548643,-9.531329850264706,0.15889473305584872,0.07944736652792436,0.609375,0.006587274200796895,0.0032936371003984477,0.4341414750088006,0.023853183432188476,0.011926591716094238,0.0,0.0,0.0,,
RC-A,M2,6,2048,93.93610227604954,0.4630634811731506,0.18904487456518396,0.1501367647136503,0.005227244808855393,0.0021340137570513167,8.475418720617293,0.09371736973503832,0.03825995598109917,59.38773980319627,1.0311464254310705,0.4209637654001578,35.67675683324072,0.9860708148747629,0.40256172444893035,-9.603813081004757,0.373155315029265,0.15234001943820172,0.5939846331077937,0.01133632702081351,0.004628036126386414,3.041359333340855,0.046892599623300106,0.019143823631618657,1.4210854715202004e-14,0.0,0.0,0.00881864622980307,0.006859611960931673
RC-A,M3,6,2048,93.88945287564174,0.08492755199344366,0.03467152791460422,0.15067579289066238,0.0009810298968405322,0.0004005037782790872,8.46351504848221,0.04188421543304303,0.017099159347959966,59.57887553970219,0.3920991046218595,0.16007378915428552,35.48953623692858,0.37638325053583516,0.15365781859048658,-9.642473949471245,0.07635176459452096,0.03117047736961249,0.5968924642177273,0.002878533850749664,0.001175156523610911,3.090471900010016,0.0432442899778468,0.017654407455779522,2.842170943040401e-14,0.0,0.0,-0.0029593725087314247,0.009579748038565948
