interval_index,observation_time,sample_endpoints,mean_bias,mae,rmse,max_abs_error,projected_q3_rmse,nested_direct_q3_rmse,auxiliary_direct_survival_rmse,projected_formula_rmse,mean_reference_se_proxy,mean_production_projection
1,0.26301369863013696,24,0.0,0.0,0.0,0.0,0.0,0.0,0.05293173416516234,0.0,0.0,2.6612747392364532e-05
5,1.2602739726027397,24,-0.00010692284328570982,0.00011008043166162625,0.0005316035648989998,0.002604039299368033,5.1421898221994117e-08,0.0007135285610656812,0.032861258595030765,5.1421898211105574e-08,4.25121197597271e-05,0.00012029779030237449
8,2.0082191780821916,24,-0.00010470512530218652,0.00010470512530218652,0.0004336746052245674,0.002079983481781955,0.0,0.00025410961907545564,0.03962897588837485,0.0,3.2903856357801857e-05,0.00010577434360385184
