observation_index,observation_time,dt,active_paths,g1_mean,g2_mean,g3_mean,h12_mean,h13_mean,h23_mean,q3_nested_direct_mean,q3_controlled_raw_mean,q3_mean,p3_mean,p3_min,p3_max,p3_nested_direct_mean,raw_probability_bound_violation_rate,q3_projection_abs_mean,q3_projection_abs_max,q3_projection_abs_p99,final_probability_bound_violation_rate,endpoint_breach_rate,mean_log_segment_weight,zero_segment_weight_count,numerical_underflow_count,runtime_g_seconds,runtime_h_seconds,runtime_q3_seconds,independence_shortcut,contract_id,method,replication
1,0.5,0.5,2048,5.046498997692293e-14,9.404894124478845e-15,9.719136058532798e-13,8.213775475598249e-20,7.781654965946947e-20,6.909040723477623e-21,0.0,0.0,2.9502743790613196e-22,0.9999999999989682,0.9999999983300463,1.0,1.0,0.0,2.9502743790613196e-22,4.533760814822845e-19,5.732640515534781e-24,0.0,0.0,-1.031783329187997e-12,0,0,0.0004007999668829143,0.10609180002938956,0.35809019999578595,False,RC-L,M2,0
2,1.0,0.5,874,8.601067435224037e-06,5.035362283407996e-05,0.0002077700602613529,1.9502846244179347e-11,2.9113206092654497e-11,4.0309320976312833e-10,0.0,0.0,4.632181723879376e-13,0.9997332757007154,0.8193618872252892,1.0,0.999874856979405,0.004576659038901602,4.632181723879376e-13,2.4939995006276106e-10,3.159633801455381e-15,0.0,0.0,-0.0002891581431908056,0,0,0.0005522000137716532,0.05026829999405891,0.1512182000442408,False,RC-L,M2,0
3,1.5,0.5,688,0.0050150501098631915,0.0037326109337987683,0.0024467334480753815,5.168492229180917e-07,5.182242088967684e-09,1.6881686657033215e-07,0.0,1.3648240268012393e-17,1.009265081701413e-11,0.9888062963465017,0.0,1.0,0.9909497638081395,0.00872093023255814,1.0092637168773864e-11,6.777830272096604e-09,7.989970076788552e-14,0.0,0.007267441860465116,-4.179696628559638,4,0,0.0004501999937929213,0.04388710000785068,0.12360549997538328,False,RC-L,M2,0
4,2.0,0.5,536,0.014911973229353512,0.011862082429393711,0.01137122255282867,0.0003922768971792377,1.0794814158859754e-05,1.040543220406868e-05,0.0,1.218216726955828e-14,2.3518048118850106e-07,0.9622679637514852,0.0,1.0,0.9722481343283582,0.011194029850746268,2.351804690063338e-07,0.00012585124964980925,1.4611205045259993e-12,0.0,0.018656716417910446,-5.871878475723682,4,0,0.0003451000084169209,0.03369149996433407,0.11664069996913895,False,RC-L,M2,0
5,2.5,0.5,468,0.03774686187053974,0.03411233000650937,0.02383079110669729,0.0033813784323717976,0.0012528962136602623,0.0023547179041326113,5.0080128205128203e-05,0.00014792295078988415,0.00015990814565830044,0.9111391014207599,0.0,1.0,0.9226428952991453,0.017094017094017096,1.1985194868416293e-05,0.005609001181840975,4.4350866577425734e-11,0.0,0.053418803418803416,-16.644709021378784,10,0,0.000387999985832721,0.02905890002148226,0.08952079998562112,False,RC-L,M2,0
6,3.0,0.5,396,0.07509259775839391,0.05667608039012496,0.050237971599158056,0.00881828444942018,0.002042703771468459,0.004310022630882745,2.959280303030303e-05,9.38037787263205e-05,9.3842487414156e-05,0.8330705186166802,0.0,1.0,0.8525785195707071,0.022727272727272728,3.870868783549859e-08,9.017522532743025e-06,8.016849605583917e-09,0.0,0.11868686868686869,-54.22884100470456,29,0,0.0003329000319354236,0.023820100002922118,0.08670210000127554,False,RC-L,M2,0
1,0.5,0.5,2048,4.418494519425394e-15,6.809631771527569e-15,3.946500984461322e-16,1.9177270021800915e-21,2.16878334036887e-20,7.6284005689125945e-22,0.0,0.0,2.4370409968325263e-22,0.9999999999999883,0.9999999999863585,1.0,1.0,0.0,2.4370409968325263e-22,4.966727752840476e-19,1.0817011813364606e-24,0.0,0.0,-1.1622538868892492e-14,0,0,0.00048099999548867345,0.11288779997266829,0.38181679998524487,False,RC-L,M2,1
2,1.0,0.5,934,5.0465315400981495e-06,1.235072947345233e-05,4.0229648959226076e-05,1.868737655078558e-11,1.3431748068874911e-09,1.0963943486833452e-12,0.0,0.0,4.517217969881633e-13,0.9999423744525341,0.9628838480890856,1.0,0.9999749063169164,0.0021413276231263384,4.517217969881633e-13,4.127103085153881e-10,2.8513528686482966e-16,0.0,0.0,-5.845742936360642e-05,0,0,0.00039309996645897627,0.05338260001735762,0.16837729996768758,False,RC-L,M2,1
3,1.5,0.5,732,0.00016140662421459682,0.003130800700672453,0.004848011392004461,4.105917609782456e-09,5.80250595642519e-07,4.0815648587134156e-05,0.0,7.017663830207681e-14,3.310632279898525e-13,0.9919011812878777,0.0,1.0,0.9933828551912568,0.004098360655737705,2.608865896877757e-13,1.5777728036162116e-10,9.212832954964315e-15,0.0,0.00546448087431694,-1.124329291305836,1,0,0.0003276999923400581,0.043150899989996105,0.15325509995454922,False,RC-L,M2,1
4,2.0,0.5,564,0.009303194293714812,0.01186291364813451,0.018948478473917164,3.095678876810636e-05,0.001577191392262573,0.0018816237476096964,6.925975177304964e-06,1.1788833823260215e-05,1.1789343600358095e-05,0.9633633961692737,0.0,1.0,0.96954648714539,0.015957446808510637,5.097770978784234e-10,2.678749372585131e-07,3.114499635103065e-10,0.0,0.02304964539007092,-8.03517347380643,6,0,0.0003440000000409782,0.03708789998199791,0.11587909999070689,False,RC-L,M2,1
5,2.5,0.5,483,0.02482951366418177,0.03346462967339828,0.04072831155456335,0.0013379336790071928,0.004131806036249441,0.006994611144790401,0.0002507116977225673,0.0005346886265547976,0.0005346889729151759,0.9129072069949885,0.0,1.0,0.922166149068323,0.028985507246376812,3.4636037846696163e-10,1.3100756285490803e-07,3.7593063854751926e-10,0.0,0.06418219461697723,-27.752789946647585,18,0,0.0004278999986127019,0.036218399996869266,0.08949319995008409,False,RC-L,M2,1
6,3.0,0.5,415,0.0549254448888378,0.06304622881695675,0.06933870280187165,0.0057976245987207305,0.006060984917052364,0.013168471265288986,0.002447289156626506,0.0025594439888623906,0.0025638655035955197,0.8351528387698003,0.0,1.0,0.8538874246987952,0.03614457831325301,4.421514733129017e-06,0.0018343284094201658,6.080136243259493e-09,0.0,0.11566265060240964,-47.045721766424386,26,0,0.0003504999913275242,0.02564649999840185,0.07749510003486648,False,RC-L,M2,1
1,0.5,0.5,2048,2.6688548254590633e-14,3.6868083453542547e-16,9.938707295198032e-13,3.152207656769696e-19,3.222533979943997e-20,6.835431787323043e-22,0.0,0.0,1.6557034130148165e-22,0.999999999998979,0.9999999986925532,1.0,1.0,0.0,1.6557034130148165e-22,1.9758595287366276e-19,1.201866990034154e-23,0.0,0.0,-1.0209272126199062e-12,0,0,0.00042830000165849924,0.11372819996904582,0.4161764000309631,False,RC-L,M2,2
2,1.0,0.5,938,4.443030806801093e-05,1.285234396597085e-06,0.00018867477843935294,2.654780146245142e-07,1.7002871063226543e-09,4.756227884394433e-10,0.0,0.0,1.0627088529391461e-13,0.9997658773329143,0.8289719394484806,1.0,0.999895888859275,0.0031982942430703624,1.0627088529391461e-13,8.219722545902836e-11,1.4363397567627705e-16,0.0,0.0,-0.00025273651653600097,0,0,0.00037160003557801247,0.05809189996216446,0.17846230004215613,False,RC-L,M2,2
3,1.5,0.5,752,0.002434256193765402,0.0015718581500443964,0.004228547323288636,1.2973420191690532e-05,0.0013390594662043996,1.3006565894497971e-05,1.0388962765957447e-05,1.28953726043321e-05,1.2895376340249674e-05,0.9931174824088519,0.0,1.0,0.995844414893617,0.003989361702127659,3.735917569009298e-12,2.802579510773776e-09,2.187088401504589e-14,0.0,0.0013297872340425532,-0.9532981724123807,1,0,0.0018351000035181642,0.04590009996900335,0.14422040001954883,False,RC-L,M2,2
4,2.0,0.5,589,0.010716093798001045,0.015879585683546485,0.013261248061263055,0.00012554541604534582,0.003407292343166885,0.00012979744438869535,2.6528013582342954e-05,5.893708130508146e-05,5.893709731858561e-05,0.9637467705634718,0.0,1.0,0.9692672962648556,0.01867572156196944,1.601350446983782e-11,4.340643017911942e-09,3.6372095438056106e-11,0.0,0.023769100169779286,-10.062727474555448,8,0,0.0003645999822765589,0.03831470001023263,0.1164604999939911,False,RC-L,M2,2
5,2.5,0.5,524,0.03160382979089645,0.03901261790124884,0.027304937937197165,0.0005819637434104849,0.004452257445553826,0.000985609266330357,0.0003205510496183206,0.0004699304881402919,0.0004699305037132145,0.907628514322239,0.0,1.0,0.9227397423664122,0.022900763358778626,1.5572922755720687e-11,5.282955850560711e-09,7.077776316243116e-11,0.0,0.05343511450381679,-20.06096680648452,14,0,0.00035099999513477087,0.03465450002113357,0.09430599998449907,False,RC-L,M2,2
6,3.0,0.5,435,0.07601901318093604,0.0733195563047221,0.055446277310560836,0.007941599534448065,0.005780019925622072,0.003772476305803958,8.979885057471264e-05,0.0001880156275126148,0.00017626001598813624,0.812532988953667,0.0,1.0,0.8352999281609196,0.020689655172413793,1.175565587752272e-05,0.005113700659935199,1.0694319869333485e-10,0.0,0.12413793103448276,-49.687127911790526,29,0,0.00028059998294338584,0.028754300030414015,0.12471499998355284,False,RC-L,M2,2
1,0.5,0.5,2048,1.1649923478780164e-15,3.076771007245278e-16,1.8764905417639363e-14,1.9298870582134688e-20,6.101704007909222e-20,2.4082996498399053e-21,0.0,0.0,2.5105604475272738e-24,0.9999999999999798,0.9999999999665294,1.0,1.0,0.0,2.5105604475272738e-24,2.5897315144470386e-21,1.1925577198584795e-24,0.0,0.0,-2.023717565080593e-14,0,0,0.0015073000104166567,0.11374649999197572,0.3610789999947883,False,RC-L,M2,3
2,1.0,0.5,889,4.394092117195408e-05,1.925595985370919e-06,1.4446397969055133e-07,1.0279938982156281e-10,2.679025435656436e-11,2.523302373432233e-13,0.0,0.0,3.3847442085184164e-16,0.9999539891487047,0.963356138317148,1.0,0.9999956060179978,0.0,3.3847442085184164e-16,1.3768886164902163e-13,2.7635012921989575e-17,0.0,0.0,-4.678770844620378e-05,0,0,0.00034879997838288546,0.05285279999952763,0.17071729997405782,False,RC-L,M2,3
3,1.5,0.5,689,0.004369477343095756,0.0034235747664944174,0.0005656472098473604,0.0004676438939119406,5.582280819756889e-05,1.8690847779384047e-07,0.0,8.975006157679434e-08,8.975006844225614e-08,0.9921648645410812,0.0,1.0,0.9938373095065312,0.001451378809869376,6.865461828292781e-15,4.604145353454118e-12,2.5947071922358636e-16,0.0,0.0043541364296081275,-1.1412595677330588,1,0,0.0005435000057332218,0.0418476999620907,0.14458369999192655,False,RC-L,M2,3
4,2.0,0.5,545,0.016345192780577507,0.014082640515456404,0.00986124746889443,0.004748129659421786,0.0007208810393813898,0.00011028336731157821,0.0,1.517893634610146e-06,1.5179329343613904e-06,0.9652886953682522,0.0,1.0,0.9708428899082568,0.009174311926605505,3.9299751243977026e-11,2.0464307803891302e-08,2.5681160878602864e-13,0.0,0.01834862385321101,-8.105994872298456,6,0,0.00026319996686652303,0.03359579999232665,0.10402249998878688,False,RC-L,M2,3
5,2.5,0.5,468,0.04069208068496154,0.041227957176615766,0.04058693977556389,0.007049548332221462,0.005031424771891358,0.00242439453598516,0.002136752136752137,0.0021433080754372606,0.0021433593892416607,0.8898550306137151,0.0,1.0,0.9053819444444444,0.008547008547008548,5.1313804400541707e-08,2.3970862106233755e-05,2.0232348484651585e-13,0.0,0.07051282051282051,-27.235350323566813,17,0,0.0005145000177435577,0.027163999970071018,0.09909670002525672,False,RC-L,M2,3
6,3.0,0.5,400,0.07352080306938082,0.06027734553258899,0.07409483081132037,0.01214652677259094,0.011441644346964175,0.008174351403949454,0.007607421875,0.007703641736820892,0.007704309156799761,0.8161652339534146,0.0,1.0,0.832958984375,0.0075,6.674199788688436e-07,0.00026686732460307885,4.918665358745252e-13,0.0,0.14,-64.30879877823249,35,0,0.00024500000290572643,0.026220800005830824,0.09289519995218143,False,RC-L,M2,3
1,0.5,0.5,2048,1.5721640005559143e-14,3.3190437296394534e-13,9.262069997438002e-10,1.408602918232624e-19,3.059242942760445e-18,5.113558379175682e-20,0.0,0.0,5.0826801740524206e-20,0.9999999990734454,0.9999981031286557,1.0,1.0,0.0,5.0826801740524206e-20,1.0353185731175088e-16,1.0933083675490672e-24,0.0,0.0,-9.265555008093849e-10,0,0,0.0004257999826222658,0.11748329998226836,0.4173862000461668,False,RC-L,M2,4
2,1.0,0.5,896,8.27308455260615e-06,0.0001619613594087256,0.0003856610623017771,4.952442663592541e-09,5.3990865338512435e-12,4.861766056965418e-11,0.0,0.0,5.3337363112477396e-12,0.9994441094948625,0.6551519535178368,1.0,0.99969482421875,0.0011160714285714285,5.3337363112477396e-12,4.7789709524054354e-09,2.4783753053714043e-17,0.0,0.0,-0.0006524612074691685,0,0,0.0002513999934308231,0.047505600028671324,0.14789959997870028,False,RC-L,M2,4
3,1.5,0.5,694,0.0017165730655929897,0.00554809238904201,0.0018014668486580057,8.008936022471438e-05,2.104163220703038e-08,2.433912903948449e-07,0.0,6.602724144812046e-09,6.605800272345574e-09,0.9910142148840541,0.0,1.0,0.9926321595821326,0.010086455331412104,3.0761275335285378e-12,9.406574147456148e-10,6.766164339468344e-13,0.0,0.005763688760806916,-1.188540613079977,1,0,0.0002638999721966684,0.0419662999920547,0.11909629998262972,False,RC-L,M2,4
4,2.0,0.5,525,0.017070858103100425,0.018954087936904316,0.01734687889646553,0.00014292840471378395,5.602708995707427e-05,2.586389014193996e-05,0.0,1.9510862178950366e-06,1.951098899634917e-06,0.946851043349443,0.0,1.0,0.9554241071428572,0.009523809523809525,1.2681740163551204e-11,6.551637898866147e-09,5.315813868103953e-13,0.0,0.03428571428571429,-9.141453805456234,6,0,0.0003451999509707093,0.03280590003123507,0.10007620003307238,False,RC-L,M2,4
5,2.5,0.5,463,0.03886157852527967,0.03781707715662488,0.03878180207018897,0.00023775227987986322,0.0017080893146407229,0.0001907053113548499,1.6873650107991362e-05,1.3530456169001316e-05,6.411815007673806e-06,0.8866696773387742,0.0,1.0,0.8993486771058316,0.017278617710583154,7.121231894526087e-06,0.0032965306124300153,1.4422739088205402e-10,0.0,0.07991360691144708,-25.155283259763763,15,0,0.0003200999926775694,0.028284800006076694,0.07639430003473535,False,RC-L,M2,4
6,3.0,0.5,391,0.0625254890864163,0.061949113433489515,0.06993496743190178,0.0002030671226029915,0.0034821070364124663,0.005081487612620734,1.9980818414322252e-05,4.921806073649352e-05,3.9337024756269815e-05,0.8143177547950723,0.0,1.0,0.8310222186700768,0.023017902813299233,1.1033642735977935e-05,0.00408881968901742,3.6086527465637016e-08,0.0,0.14578005115089515,-60.84853796189354,32,0,0.0003561999765224755,0.02241810003761202,0.07037189998663962,False,RC-L,M2,4
1,0.5,0.5,2048,1.297160263579994e-14,1.8615414197521703e-15,1.0288791275636398e-14,3.4696353692501474e-21,2.438643800562584e-22,7.656394226176571e-22,0.0,0.0,9.656780161369661e-23,0.9999999999999749,0.9999999999740976,1.0,1.0,0.0,9.656780161369661e-23,1.0947834681640933e-19,2.1666225115910726e-23,0.0,0.0,-2.512166906820926e-14,0,0,0.0003252000315114856,0.10768329998245463,0.3695556999882683,False,RC-L,M2,5
2,1.0,0.5,913,4.244271948722232e-05,6.115195296681014e-06,1.1098227280738676e-06,6.46216381277967e-11,7.219916779503846e-12,6.229703897585427e-08,0.0,0.0,1.0651974878833825e-14,0.9999503946313579,0.9652277040103399,1.0,0.9999871645673604,0.001095290251916758,1.0651974878833825e-14,9.655079271837746e-12,3.9786449648896815e-16,0.0,0.0,-5.0305630058987344e-05,0,0,0.00037020002491772175,0.056841199984773993,0.16340299998410046,False,RC-L,M2,5
3,1.5,0.5,733,0.0025588452447065195,0.0007675308082549612,0.000588442610533625,5.770853037683823e-09,1.8360953791229904e-07,2.621424007918488e-05,0.0,1.054036915002494e-11,1.0547250563402125e-11,0.9961115849464278,0.0,1.0,0.9974846521145976,0.002728512960436562,6.881413377188156e-15,2.3956139329069633e-12,1.0612319275731725e-15,0.0,0.001364256480218281,-0.969315983173282,1,0,0.0003201999934390187,0.044084599998313934,0.13156900001922622,False,RC-L,M2,5
4,2.0,0.5,565,0.010025243017767981,0.012597528942687085,0.012487755701464986,0.00037079400907054713,0.0018043407884263925,0.002439691369288059,6.913716814159292e-06,3.172189470271567e-05,3.172711706025224e-05,0.9694725713878046,0.0,1.0,0.9772193030973452,0.008849557522123894,5.222357536556023e-09,2.9504292638203536e-06,2.6922208406398517e-13,0.0,0.012389380530973451,-4.05739848096611,3,0,0.00033359997905790806,0.036550600023474544,0.10770439996849746,False,RC-L,M2,5
5,2.5,0.5,507,0.03155859167143825,0.032183161847629385,0.03056579413359641,0.004545549926793251,0.004005644552724615,0.005253294620885283,0.0012404462524654833,0.001920006166864663,0.002033619602738861,0.9174633218450003,0.0,1.0,0.931752342209073,0.02564102564102564,0.00011361343587419829,0.05758927714281785,1.905319418111655e-09,0.0,0.04339250493096647,-20.34814149800348,14,0,0.000444200006313622,0.03083230002084747,0.10212970001157373,False,RC-L,M2,5
6,3.0,0.5,439,0.04920521685018331,0.07264914473422819,0.055701361344890954,0.007041875434537466,0.008486116825588412,0.008872589466817252,0.0036571042141230066,0.00448999630447342,0.004617706659771551,0.8422271521378691,0.0,1.0,0.861839763667426,0.01366742596810934,0.0001277103552981323,0.05606483013317412,3.8319140264951955e-12,0.0,0.10478359908883828,-38.15504485783833,22,0,0.00023830001009628177,0.02643469994654879,0.08093479997478426,False,RC-L,M2,5
1,0.5,0.5,2048,2.4484964659657526e-14,1.725649176041593e-14,2.3953207269963917e-14,1.346411695809881e-18,8.549655007017709e-21,2.2148269521052618e-21,0.0,0.0,1.1129366555454379e-23,0.9999999999999343,0.9999999999505972,1.0,1.0,0.0,1.1129366555454379e-23,1.1336325395461549e-20,1.6065249840476812e-24,0.0,0.0,-6.569300225471523e-14,0,0,0.0004220000118948519,0.10713339998619631,0.35066339996410534,False,RC-L,M3,0
2,1.0,0.5,895,0.00013336466887513818,5.330208761341421e-06,1.77345942113684e-05,1.682100469390188e-09,7.535068891217566e-10,8.281867522327865e-09,0.0,0.0,3.4734739664374394e-13,0.9998435812452796,0.8936941674569338,1.0,0.9999563547486033,0.0033519553072625698,3.4734739664374394e-13,2.3696218816957887e-10,5.533895303386309e-16,0.0,0.0,-0.00016345111951092454,0,0,0.00032809999538585544,0.054474900010973215,0.15999039995949715,False,RC-L,M3,0
3,1.5,0.5,692,0.003584661240307508,0.0019245210046021336,0.0033392311410584464,0.00022713791156411066,8.857781497218562e-06,3.971126170468461e-06,0.0,0.0,5.015871679550851e-08,0.991391503274547,0.0,1.0,0.9942196531791907,0.008670520231213872,5.015871679550851e-08,3.4677377831307935e-05,1.428067694209384e-13,0.0,0.002890173410404624,-1.0878457191876625,1,0,0.00025240000104531646,0.04256059997715056,0.12706920003984123,False,RC-L,M3,0
4,2.0,0.5,539,0.014582450932060918,0.012159596798760552,0.019782454857114783,0.0019270302829005196,0.001864978301199889,0.001996939159525235,0.0,3.778752406720103e-06,3.778779966195423e-06,0.9592606663757234,0.0,1.0,0.9653148191094619,0.016697588126159554,2.755947531997838e-11,7.767362744057659e-09,1.7240509141553948e-11,0.0,0.025974025974025976,-8.482196514000684,6,0,0.00044100004015490413,0.03304089995799586,0.10527989995898679,False,RC-L,M3,0
5,2.5,0.5,465,0.03197505420785326,0.031786701668518484,0.04537729345918095,0.0012811079991312678,0.006986948344399369,0.005824727279427173,5.040322580645161e-05,0.00011826844322918224,0.00011826846234600266,0.904835465825059,0.0,1.0,0.9168430779569893,0.004301075268817204,1.9116820435439055e-11,8.886612112846137e-09,1.9405242888146744e-14,0.0,0.06451612903225806,-18.462321964584422,11,0,0.0004078999627381563,0.028584900021087378,0.08431219996418804,False,RC-L,M3,0
6,3.0,0.5,390,0.06862770169712362,0.06079402908735153,0.06943099130779314,0.01078689642284916,0.01573838637970669,0.014590487862159262,0.005128205128205128,0.005128228923407294,0.005128232392401356,0.8371348161800455,0.0,1.0,0.8567508012820513,0.02564102564102564,3.468994064079907e-09,1.2963158757516412e-06,2.8397497475215805e-09,0.0,0.1076923076923077,-48.125293610468624,25,0,0.00023849995341151953,0.023685300024226308,0.07953509996877983,False,RC-L,M3,0
1,0.5,0.5,2048,2.307628084559879e-15,1.3984788835409266e-13,2.7309760506286762e-14,8.254995612175301e-21,4.0853799147377877e-22,4.3776988036948893e-20,0.0,0.0,1.0483575485507254e-23,0.9999999999998306,0.9999999997154977,1.0,1.0,0.0,1.0483575485507254e-23,1.0946468467320822e-20,1.2812105051630997e-24,0.0,0.0,-1.6946497375836016e-13,0,0,0.0005445999559015036,0.10738599998876452,0.36092040000949055,False,RC-L,M3,1
2,1.0,0.5,902,0.0003645155874170183,2.0498708480935465e-06,1.8643671101866178e-05,4.753870980572267e-11,1.560852153633067e-11,2.3002987044537083e-09,0.0,0.0,1.2327205408114027e-16,0.9996147932340788,0.6717431848176951,1.0,0.999917717572062,0.0,1.2327205408114027e-16,5.806194700328919e-14,3.950983254850755e-17,0.0,0.0,-0.0004625446187370604,0,0,0.0004822000046260655,0.050935300008859485,0.16332619998138398,False,RC-L,M3,1
3,1.5,0.5,712,0.004250541597966041,0.0016600430537149619,0.0042534957863104165,0.0008349856134062849,2.4991560286769263e-08,7.457334942170977e-05,0.0,1.394488781288214e-09,1.3945400540463933e-09,0.9907455021218569,0.0,1.0,0.9916553283005618,0.0028089887640449437,5.1272758179457116e-14,3.243418162661279e-11,2.888452788238486e-14,0.0,0.007022471910112359,-2.150060881825191,2,0,0.0002938000252470374,0.040839699970092624,0.12549860001308843,False,RC-L,M3,1
4,2.0,0.5,552,0.011736239507539062,0.01362485191352048,0.009888263499508844,0.0020444512205170283,2.7290460395834667e-05,0.00041861461514196627,2.122961956521739e-05,3.793025550845766e-05,2.670901746746568e-05,0.9672142923580191,0.0,1.0,0.9725359488224637,0.009057971014492754,1.1221242492172223e-05,0.006194124627153318,7.466749452755699e-13,0.0,0.019927536231884056,-8.08559953863452,6,0,0.000298099999781698,0.03269889997318387,0.10778069996740669,False,RC-L,M3,1
5,2.5,0.5,487,0.02575794529531638,0.024674401374700613,0.031027925433134793,0.005896995338165859,0.0021608611402654013,0.0023233264720662456,0.002069430184804928,0.002085346710038236,0.0020853467347394235,0.9268355641126064,0.0,1.0,0.9380213680698152,0.026694045174537988,2.4701186927734945e-11,1.0727745237015212e-08,3.0884998125269884e-11,0.0,0.043121149897330596,-15.436897220398993,10,0,0.0002770000137388706,0.02955359994666651,0.09178760001668707,False,RC-L,M3,1
6,3.0,0.5,403,0.04463553662864051,0.06496487446599258,0.05637997282409061,0.015774884399968405,0.005787612054489808,0.006830558017995986,0.004962779156327543,0.005009821306713435,0.005009824988163795,0.8574028455655668,0.0,1.0,0.8763279311414393,0.02729528535980149,3.6814503598281403e-09,1.4784304002621578e-06,4.702297280226964e-10,0.0,0.08933002481389578,-43.44930148464338,24,0,0.0004295000107958913,0.023092899995390326,0.07643870002357289,False,RC-L,M3,1
1,0.5,0.5,2048,2.97628711983987e-13,4.460423107009412e-14,7.52138143921074e-15,1.0459771977582665e-19,1.7324063525053066e-20,3.963404563102396e-20,0.0,0.0,1.1405100895856597e-22,0.9999999999996503,0.9999999993909499,1.0,1.0,0.0,1.1405100895856597e-22,2.292202538083242e-19,2.3308055921120013e-24,0.0,0.0,-3.4975386311689115e-13,0,0,0.000311999989207834,0.10682270000688732,0.35250310000265017,False,RC-L,M3,2
