contract_id,method,marginal_g_seconds,bivariate_h_seconds,trivariate_q3_seconds
RC-A,M2,0.028357299976050854,3.0808966000331566,14.810290199937299
RC-A,M3,0.026764599955640733,3.1374166003079154,15.018207199929748
RC-L,M2,0.01584119984181598,1.8029537998954765,5.845350199844688
RC-L,M3,0.012673499877564609,1.746214099926874,5.39823589992011
