contract_id,method,coupon_value,early_redemption_principal,surviving_notional,terminal_ki_loss
RC-A,M0,8.423620854390531,59.45506125711304,35.59812418278962,-9.77522217000218
RC-A,M1,8.412681310578607,60.14187580763746,34.94659650762338,-9.531329850264706
RC-A,M2,8.475418720617293,59.387739803196276,35.67675683324072,-9.603813081004759
RC-A,M3,8.46351504848221,59.57887553970219,35.48953623692858,-9.642473949471247
RC-L,M0,6.329592228496436,79.63968248403634,16.823830900744777,-1.6419506014902883
RC-L,M1,6.478133870117379,78.4140461615307,17.972938714257186,-1.6345217347811074
RC-L,M2,6.406151478614067,77.94605998324583,18.415475380302418,-1.9733391217483074
RC-L,M3,6.441250733921225,78.49892094494702,17.8948440084845,-1.675799087062254
