path_id,contract,expected_outcome,coupon_value,early_redemption_principal,surviving_notional,no_ki_maturity_redemption,terminal_ki_loss,total_value,outcome,continuous_ki,autocall_index,additive_sum,identity_error,outcome_pass
L1,RC-L,autocall_1,2.955335818809188,98.51119396030626,0.0,0.0,0.0,101.46652977911545,autocall_1,False,1.0,101.46652977911545,0.0,True
L2,RC-L,autocall_2,5.822673201291049,97.04455335485082,0.0,0.0,0.0,102.86722655614187,autocall_2,False,2.0,102.86722655614187,0.0,True
L3,RC-L,maturity_no_ki,16.450761334882106,0.0,91.39311852712282,91.39311852712282,0.0,107.84387986200493,maturity_no_ki,False,,107.84387986200493,0.0,True
L4,RC-L,maturity_ki_loss,0.0,0.0,91.39311852712282,0.0,-27.41793555813685,63.975182968985976,maturity_ki_loss,True,,63.975182968985976,0.0,True
L5,RC-L,autocall_6,16.450761334882106,91.39311852712282,0.0,0.0,0.0,107.84387986200493,autocall_6,True,6.0,107.84387986200493,0.0,True
A1,RC-A,autocall_2,4.324443128087093,98.47476505049353,0.0,0.0,0.0,102.79920817858063,autocall_2,False,2.0,102.79920817858063,0.0,True
A2,RC-A,autocall_2,4.308270970959092,98.47476505049353,0.0,0.0,0.0,102.78303602145262,autocall_2,False,2.0,102.78303602145262,0.0,True
A3,RC-A,maturity_no_ki,16.916326684979847,0.0,94.15323462988641,94.15323462988641,0.0,111.06956131486626,maturity_no_ki,False,,111.06956131486626,0.0,True
A4,RC-A,maturity_ki_loss,0.0,0.0,94.15323462988641,0.0,-37.66129385195457,56.491940777931845,maturity_ki_loss,True,,56.491940777931845,0.0,True
A5,RC-A,autocall_8,16.916326684979847,94.15323462988641,0.0,0.0,0.0,111.06956131486626,autocall_8,True,8.0,111.06956131486626,0.0,True
