path_id,contract,total_value,additive_sum,identity_error
L1,RC-L,101.46652977911545,101.46652977911545,0.0
L2,RC-L,102.86722655614187,102.86722655614187,0.0
L3,RC-L,107.84387986200493,107.84387986200493,0.0
L4,RC-L,63.975182968985976,63.975182968985976,0.0
L5,RC-L,107.84387986200493,107.84387986200493,0.0
A1,RC-A,102.79920817858063,102.79920817858063,0.0
A2,RC-A,102.78303602145262,102.78303602145262,0.0
A3,RC-A,111.06956131486626,111.06956131486626,0.0
A4,RC-A,56.491940777931845,56.491940777931845,0.0
A5,RC-A,111.06956131486626,111.06956131486626,0.0
