Method,N,Ticker,Metric,Mean_estimate,Analytic,Replication_SD,Mean_runtime_seconds,RMSE,Bias,Relative_RMSE,SE_of_replication_mean
MC,1024,NDX Index,delta,0.6098782421369721,0.6016489211760171,0.029303855076126917,0.0033247000028495677,0.029542645457979834,0.008229320960954967,0.04910279802419342,0.007325963769031729
MC,1024,NDX Index,gamma,5.30705791851983e-05,5.2107169399970926e-05,6.884250442448882e-06,0.0033247000028495677,6.734909506369194e-06,9.634097852273752e-07,0.1292511104311291,1.7210626106122204e-06
MC,1024,NDX Index,price,3427.9266953900797,3367.4914742178444,213.73922697543082,0.0033247000028495677,215.59590565323433,60.43522117223529,0.06402270274590971,53.434806743857706
MC,1024,NDX Index,vega,10964.763314845846,10732.284898910899,786.6529765324323,0.0033247000028495677,796.3621586753104,232.4784159349474,0.07420248028974001,196.66324413310807
MC,1024,RTY Index,delta,0.5947454410707564,0.5854387475048874,0.024828909537521305,0.0033247000028495677,0.02577905394210583,0.009306693565868995,0.04403373376288289,0.006207227384380326
MC,1024,RTY Index,gamma,0.0006252367123291253,0.0005906533709811822,0.00012553325278458728,0.0033247000028495677,0.00012637124952416987,3.458334134794311e-05,0.21395162667783363,3.138331319614682e-05
MC,1024,RTY Index,price,298.8291529800249,292.88192219894063,19.451821385769748,0.0033247000028495677,19.75081199560852,5.947230781084272,0.0674360911295602,4.862955346442437
MC,1024,RTY Index,vega,1153.2707871160312,1128.2462808147527,93.85282647498327,0.0033247000028495677,94.25527512098247,25.024506301278507,0.0835414011317785,23.46320661874582
MC,1024,SPX Index,delta,0.6036159329102345,0.5951256241492728,0.02332795908676385,0.0033247000028495677,0.024130207485910358,0.008490308760961685,0.04054640987842573,0.005831989771690962
MC,1024,SPX Index,gamma,0.00027960629546718946,0.0002810396349131103,4.891788834595082e-05,0.0033247000028495677,4.738622452443286e-05,-1.433339445920819e-06,0.16861046855217907,1.2229472086487706e-05
MC,1024,SPX Index,price,659.4191811960641,644.2866661564472,41.989634141167116,0.0033247000028495677,43.38118026029816,15.13251503961692,0.06733210935295725,10.497408535291779
MC,1024,SPX Index,vega,2909.811876076383,2829.6360448038345,225.54078167558015,0.0033247000028495677,232.6317215184741,80.17583127254875,0.08221259477722033,56.38519541889504
MC,4096,NDX Index,delta,0.604636904691442,0.6016489211760171,0.008923550508871317,0.011288087491266197,0.009142261184606083,0.0029879835154249523,0.015195342105386145,0.0022308876272178293
MC,4096,NDX Index,gamma,5.2085713642494776e-05,5.2107169399970926e-05,3.969152418771317e-06,0.011288087491266197,3.8431751964036435e-06,-2.1455757476150303e-08,0.073755209516443,9.922881046928292e-07
MC,4096,NDX Index,price,3391.4717873201243,3367.4914742178444,82.42953262353853,0.011288087491266197,83.3367807422685,23.98031310227998,0.024747436298001274,20.607383155884634
MC,4096,NDX Index,vega,10820.295852729168,10732.284898910899,382.5677287889793,0.011288087491266197,380.7316849282932,88.01095381826963,0.03547536135263512,95.64193219724483
MC,4096,RTY Index,delta,0.5881494718543311,0.5854387475048874,0.011084551591217578,0.011288087491266197,0.011069602758382138,0.0027107243494436384,0.01890821679562596,0.0027711378978043945
MC,4096,RTY Index,gamma,0.0005976634196254143,0.0005906533709811822,6.227039256767166e-05,0.011288087491266197,6.069919654013711e-05,7.010048644232091e-06,0.1027661899894091,1.5567598141917915e-05
MC,4096,RTY Index,price,295.3298001222384,292.88192219894063,6.898659838268723,0.011288087491266197,7.1140104490189975,2.447877923297767,0.02428968778819606,1.7246649595671808
MC,4096,RTY Index,vega,1140.160282482008,1128.2462808147527,33.75953921539714,0.011288087491266197,34.791065925910495,11.914001667255206,0.030836410912683396,8.439884803849285
MC,4096,SPX Index,delta,0.5958202683242925,0.5951256241492728,0.010058816584239379,0.011288087491266197,0.009764147923042093,0.0006946441750196319,0.016406868611984003,0.0025147041460598448
MC,4096,SPX Index,gamma,0.0002836618154201998,0.0002810396349131103,2.447846295630219e-05,0.011288087491266197,2.384578123108734e-05,2.622180507089503e-06,0.08484846359290141,6.119615739075547e-06
MC,4096,SPX Index,price,649.04150631411,644.2866661564472,17.4714473534531,0.011288087491266197,17.572187129392212,4.754840157662898,0.027273864340885325,4.367861838363275
MC,4096,SPX Index,vega,2858.104330637437,2829.6360448038345,108.22907015683577,0.011288087491266197,108.59041946059816,28.46828583360275,0.03837610835499737,27.057267539208944
MC,16384,NDX Index,delta,0.6021776571129619,0.6016489211760171,0.0031959469227475557,0.041886787505063694,0.003139308622646528,0.0005287359369448019,0.005217841355902804,0.0007989867306868889
MC,16384,NDX Index,gamma,5.184170483573172e-05,5.2107169399970926e-05,2.8685697880043076e-06,0.041886787505063694,2.790138128162671e-06,-2.6546456423920807e-07,0.053546146533997446,7.171424470010769e-07
MC,16384,NDX Index,price,3373.24959333555,3367.4914742178444,32.790272621076035,0.041886787505063694,32.26697678243031,5.758119117705519,0.009581903036569632,8.197568155269009
MC,16384,NDX Index,vega,10756.799654276969,10732.284898910899,145.76433166913108,0.041886787505063694,143.2489479661979,24.51475536606995,0.01334747906112096,36.44108291728277
MC,16384,RTY Index,delta,0.5855187165287731,0.5854387475048874,0.002920823958740819,0.041886787505063694,0.0028292060468201063,7.996902388562876e-05,0.004832625204392518,0.0007302059896852047
MC,16384,RTY Index,gamma,0.000587801917830219,0.0005906533709811822,3.0916244769872394e-05,0.041886787505063694,3.0070028081561272e-05,-2.8514531509631546e-06,0.05090977138014045,7.729061192468098e-06
MC,16384,RTY Index,price,292.64334879541946,292.88192219894063,3.102069389604752,0.041886787505063694,3.0130258231004774,-0.23857340352117262,0.01028751040855937,0.775517347401188
MC,16384,RTY Index,vega,1126.7731548857107,1128.2462808147527,16.075409915371882,0.041886787505063694,15.63450442781447,-1.4731259290419985,0.013857350734206858,4.0188524788429705
MC,16384,SPX Index,delta,0.5952121134447806,0.5951256241492728,0.003174646782849201,0.041886787505063694,0.0030750550737915676,8.648929550780782e-05,0.005167068849013742,0.0007936616957123002
MC,16384,SPX Index,gamma,0.00028343281586560226,0.0002810396349131103,1.5632724449621588e-05,0.041886787505063694,1.5324343678663854e-05,2.3931809524919793e-06,0.0545273398302048,3.908181112405397e-06
MC,16384,SPX Index,price,644.7649851681085,644.2866661564472,6.751987317685487,0.041886787505063694,6.555058239174214,0.4783190116613696,0.01017413301175241,1.6879968294213719
MC,16384,SPX Index,vega,2832.4777032235384,2829.6360448038345,42.467382205571546,0.041886787505063694,41.216940261332276,2.84165841970389,0.014566163142083404,10.616845551392887
MC,65536,NDX Index,delta,0.6013992863975149,0.6016489211760171,0.002471366217145717,0.17004547500255285,0.0024058762053945806,-0.0002496347785021502,0.003998804154243173,0.0006178415542864292
MC,65536,NDX Index,gamma,5.209790593463239e-05,5.2107169399970926e-05,1.294696949833991e-06,0.17004547500255285,1.2536191573620667e-06,-9.263465338534493e-09,0.024058477399518195,3.2367423745849777e-07
