Method,N,Replication,Seed / scramble,Ticker,Metric,Estimate,Analytic,Runtime seconds,Error,Relative error
MC,1024,0,21260728,SPX Index,price,671.440052678796,644.2866661564472,0.0030217000166885555,27.153386522348796,0.04214488355677898
MC,1024,0,21260728,SPX Index,delta,0.608787112282556,0.5951256241492728,0.0030217000166885555,0.013661488133283162,0.022955637564442206
MC,1024,0,21260728,SPX Index,vega,2989.067787159829,2829.6360448038345,0.0030217000166885555,159.43174235599463,0.05634355084243609
MC,1024,0,21260728,SPX Index,gamma,0.0002322321864667601,0.0002810396349131103,0.0030217000166885555,-4.880744844635017e-05,-0.1736674916384662
MC,1024,0,21260728,NDX Index,price,3308.2463490887058,3367.4914742178444,0.0030217000166885555,-59.245125129138614,-0.017593251707608042
MC,1024,0,21260728,NDX Index,delta,0.59990071772614,0.6016489211760171,0.0030217000166885555,-0.0017482034498771393,-0.0029056870017484643
MC,1024,0,21260728,NDX Index,vega,10611.716117423271,10732.284898910899,0.0030217000166885555,-120.56878148762735,-0.01123421364819178
MC,1024,0,21260728,NDX Index,gamma,6.759346178991563e-05,5.2107169399970926e-05,0.0030217000166885555,1.5486292389944708e-05,0.2972007992042905
MC,1024,0,21260728,RTY Index,price,297.0197164653093,292.88192219894063,0.0030217000166885555,4.137794266368644,0.014127858200678016
MC,1024,0,21260728,RTY Index,delta,0.5722684014062966,0.5854387475048874,0.0030217000166885555,-0.013170346098590802,-0.02249653982542529
MC,1024,0,21260728,RTY Index,vega,1171.906810095914,1128.2462808147527,0.0030217000166885555,43.66052928116119,0.03869769395528797
MC,1024,0,21260728,RTY Index,gamma,0.0006198809412146456,0.0005906533709811822,0.0030217000166885555,2.9227570233463364e-05,0.04948345623578018
MC,1024,1,21260729,SPX Index,price,684.5255977424443,644.2866661564472,0.002584700006991625,40.23893158599719,0.06245501218587424
MC,1024,1,21260729,SPX Index,delta,0.6207129646722719,0.5951256241492728,0.002584700006991625,0.025587340522999047,0.0429948560181322
MC,1024,1,21260729,SPX Index,vega,3031.089469787586,2829.6360448038345,0.002584700006991625,201.45342498375157,0.07119411182002999
MC,1024,1,21260729,SPX Index,gamma,0.00023289257588815515,0.0002810396349131103,0.002584700006991625,-4.814705902495513e-05,-0.17131768278819773
MC,1024,1,21260729,NDX Index,price,3541.708455224932,3367.4914742178444,0.002584700006991625,174.21698100708772,0.051734943455960046
MC,1024,1,21260729,NDX Index,delta,0.6256339765166402,0.6016489211760171,0.002584700006991625,0.023985055340623118,0.03986553369652948
MC,1024,1,21260729,NDX Index,vega,11330.854275899239,10732.284898910899,0.002584700006991625,598.5693769883401,0.055772781157634226
MC,1024,1,21260729,NDX Index,gamma,5.5660131314557575e-05,5.2107169399970926e-05,0.002584700006991625,3.5529619145866485e-06,0.06818566342213613
MC,1024,1,21260729,RTY Index,price,314.3362848494303,292.88192219894063,0.002584700006991625,21.454362650489657,0.07325260121693936
MC,1024,1,21260729,RTY Index,delta,0.593895366297556,0.5854387475048874,0.002584700006991625,0.008456618792668569,0.014444924987815176
MC,1024,1,21260729,RTY Index,vega,1239.6834976349758,1128.2462808147527,0.002584700006991625,111.43721682022306,0.09877029396431929
MC,1024,1,21260729,RTY Index,gamma,0.0005765446511311522,0.0005906533709811822,0.002584700006991625,-1.4108719850030042e-05,-0.023886632233373874
MC,1024,2,21260730,SPX Index,price,633.4357261280203,644.2866661564472,0.003247200045734644,-10.850940028426862,-0.016841788909212056
MC,1024,2,21260730,SPX Index,delta,0.5930862764672664,0.5951256241492728,0.003247200045734644,-0.0020393476820064205,-0.0034267515953823216
MC,1024,2,21260730,SPX Index,vega,2760.1976395776596,2829.6360448038345,0.003247200045734644,-69.43840522617484,-0.02453969490305552
MC,1024,2,21260730,SPX Index,gamma,0.00027344855140757566,0.0002810396349131103,0.003247200045734644,-7.591083505534616e-06,-0.027010722198958056
MC,1024,2,21260730,NDX Index,price,3249.6964807119284,3367.4914742178444,0.003247200045734644,-117.79499350591595,-0.034980042090017704
MC,1024,2,21260730,NDX Index,delta,0.588906087717455,0.6016489211760171,0.003247200045734644,-0.012742833458562086,-0.021179849261017906
MC,1024,2,21260730,NDX Index,vega,10359.629539667174,10732.284898910899,0.003247200045734644,-372.6553592437249,-0.03472283514217383
MC,1024,2,21260730,NDX Index,gamma,5.407337533130544e-05,5.2107169399970926e-05,0.003247200045734644,1.966205931334513e-06,0.03773388487565034
MC,1024,2,21260730,RTY Index,price,291.55559607230174,292.88192219894063,0.003247200045734644,-1.3263261266388895,-0.004528535311025376
MC,1024,2,21260730,RTY Index,delta,0.5903133378263549,0.5854387475048874,0.003247200045734644,0.00487459032146742,0.008326388272458385
MC,1024,2,21260730,RTY Index,vega,1116.6729813380823,1128.2462808147527,0.003247200045734644,-11.5732994766704,-0.01025777764435691
MC,1024,2,21260730,RTY Index,gamma,0.00069100853924253,0.0005906533709811822,0.003247200045734644,0.00010035516826134778,0.16990535090765616
MC,1024,3,21260731,SPX Index,price,682.2400682210465,644.2866661564472,0.0035345000214874744,37.953402064599345,0.05890763236031865
MC,1024,3,21260731,SPX Index,delta,0.6097140684811451,0.5951256241492728,0.0035345000214874744,0.01458844433187223,0.02451321828517515
MC,1024,3,21260731,SPX Index,vega,3063.7006277868163,2829.6360448038345,0.0035345000214874744,234.06458298298185,0.08271897137188484
MC,1024,3,21260731,SPX Index,gamma,0.00028658996081802694,0.0002810396349131103,0.0035345000214874744,5.55032590491666e-06,0.019749263859642673
MC,1024,3,21260731,NDX Index,price,3591.4428487916553,3367.4914742178444,0.0035345000214874744,223.95137457381088,0.06650391731899702
MC,1024,3,21260731,NDX Index,delta,0.6337726094226706,0.6016489211760171,0.0035345000214874744,0.03212368824665346,0.0533927463608888
MC,1024,3,21260731,NDX Index,vega,11607.915925878773,10732.284898910899,0.0035345000214874744,875.6310269678743,0.08158850004594384
MC,1024,3,21260731,NDX Index,gamma,4.935738165651513e-05,5.2107169399970926e-05,0.0035345000214874744,-2.7497877434557965e-06,-0.05277177354134555
MC,1024,3,21260731,RTY Index,price,292.8146586317395,292.88192219894063,0.0035345000214874744,-0.06726356720110971,-0.00022966104120083176
MC,1024,3,21260731,RTY Index,delta,0.5848394109193382,0.5854387475048874,0.0035345000214874744,-0.0005993365855492261,-0.0010237391838233642
MC,1024,3,21260731,RTY Index,vega,1131.4196229168044,1128.2462808147527,0.0035345000214874744,3.17334210205172,0.0028126324509220807
MC,1024,3,21260731,RTY Index,gamma,0.0007013143961369563,0.0005906533709811822,0.0035345000214874744,0.00011066102515577413,0.18735358264686805
MC,1024,4,21260732,SPX Index,price,665.5455948614834,644.2866661564472,0.002909999981056899,21.258928705036283,0.032996071192747826
MC,1024,4,21260732,SPX Index,delta,0.6015928873692423,0.5951256241492728,0.002909999981056899,0.006467263219969488,0.010867055555227332
MC,1024,4,21260732,SPX Index,vega,2960.7118378220416,2829.6360448038345,0.002909999981056899,131.07579301820715,0.04632249198935195
MC,1024,4,21260732,SPX Index,gamma,0.0003343862829974336,0.0002810396349131103,0.002909999981056899,5.334664808432331e-05,0.1898189488497472
MC,1024,4,21260732,NDX Index,price,3534.7101995646717,3367.4914742178444,0.002909999981056899,167.21872534682734,0.04965676279422999
MC,1024,4,21260732,NDX Index,delta,0.6075457043267671,0.6016489211760171,0.002909999981056899,0.00589678315075004,0.009801036689675855
MC,1024,4,21260732,NDX Index,vega,11532.117724224054,10732.284898910899,0.002909999981056899,799.8328253131549,0.07452586591270244
MC,1024,4,21260732,NDX Index,gamma,4.7592715627949194e-05,5.2107169399970926e-05,0.002909999981056899,-4.5144537720217325e-06,-0.08663786239028082
MC,1024,4,21260732,RTY Index,price,301.36154333471916,292.88192219894063,0.002909999981056899,8.47962113577853,0.02895235415048502
MC,1024,4,21260732,RTY Index,delta,0.6000259957390872,0.5854387475048874,0.002909999981056899,0.014587248234199768,0.024916779588590503
MC,1024,4,21260732,RTY Index,vega,1158.9686838283815,1128.2462808147527,0.002909999981056899,30.722403013628764,0.02723022759839533
MC,1024,4,21260732,RTY Index,gamma,0.0007520177014256343,0.0005906533709811822,0.002909999981056899,0.00016136433044445207,0.2731963252430045
MC,1024,5,21260733,SPX Index,price,707.0107091075441,644.2866661564472,0.0031023999908939004,62.724042951096976,0.09735424655810924
MC,1024,5,21260733,SPX Index,delta,0.6287793503628127,0.5951256241492728,0.0031023999908939004,0.0336537262135399,0.05654894504273384
MC,1024,5,21260733,SPX Index,vega,3158.3112417390385,2829.6360448038345,0.0031023999908939004,328.675196935204,0.11615458374541221
MC,1024,5,21260733,SPX Index,gamma,0.00024276058041415287,0.0002810396349131103,0.0031023999908939004,-3.827905449895741e-05,-0.13620518156021744
MC,1024,5,21260733,NDX Index,price,3681.8514029449016,3367.4914742178444,0.0031023999908939004,314.3599287270572,0.09335136588581044
MC,1024,5,21260733,NDX Index,delta,0.6527608498412334,0.6016489211760171,0.0031023999908939004,0.0511119286652163,0.0849530795556153
MC,1024,5,21260733,NDX Index,vega,11754.688178133742,10732.284898910899,0.0031023999908939004,1022.4032792228427,0.0952642693380787
