value,path_sd,call_probability,runtime_seconds,method,smooth,n_paths,seed,probability_clipping_rate,orthogonality_error,correlation_error,minimum_final_loading,worst_spot_ratio,time_to_observation_days,replication,scope
10.520074339279766,30.681047573647579,0.105224609375,0.0031209000153467059,rqmc,False,4096,2942604460,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,0,next-observation autocall principal redemption component only
10.788568115920317,31.023440948707812,0.10791015625,0.004608800052665174,rqmc,False,4096,3313557041,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,1,next-observation autocall principal redemption component only
10.568891389578047,30.743758998621171,0.105712890625,0.0041762000182643533,rqmc,False,4096,630646984,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,2,next-observation autocall principal redemption component only
10.764159590771177,30.992566725486089,0.107666015625,0.0042173999827355146,rqmc,False,4096,2622736163,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,3,next-observation autocall principal redemption component only
10.66652549017461,30.868567986625514,0.106689453125,0.0042733000591397285,rqmc,False,4096,3726458002,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,4,next-observation autocall principal redemption component only
10.568891389578047,30.743758998621171,0.105712890625,0.0047736000269651413,rqmc,False,4096,944557289,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,5,next-observation autocall principal redemption component only
10.764159590771175,30.992566725486089,0.107666015625,0.0046762999845668674,rqmc,False,4096,712039315,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,6,next-observation autocall principal redemption component only
10.837385166218599,31.085039888939104,0.1083984375,0.0048462001141160727,rqmc,False,4096,3013220089,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,7,next-observation autocall principal redemption component only
10.666525490174612,30.868567986625514,0.106689453125,0.004598699975758791,rqmc,False,4096,2133261536,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,8,next-observation autocall principal redemption component only
10.739751065622034,30.961642468161749,0.107421875,0.0054998999694362283,rqmc,False,4096,552310652,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,9,next-observation autocall principal redemption component only
10.739751065622034,30.961642468161749,0.107421875,0.0053800999885424972,rqmc,False,4096,1983910201,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,10,next-observation autocall principal redemption component only
10.739751065622034,30.961642468161749,0.107421875,0.0048276000889018178,rqmc,False,4096,1861400282,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,11,next-observation autocall principal redemption component only
10.86179369136774,31.115764901921604,0.108642578125,0.0045172000536695123,rqmc,False,4096,3586382320,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,12,next-observation autocall principal redemption component only
10.642116965025469,30.837442083687524,0.1064453125,0.0035282999742776155,rqmc,False,4096,2305019466,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,13,next-observation autocall principal redemption component only
10.66652549017461,30.868567986625514,0.106689453125,0.0043271000031381845,rqmc,False,4096,963602568,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,14,next-observation autocall principal redemption component only
10.690934015323753,30.899643250074654,0.10693359375,0.0047035999596118927,rqmc,False,4096,3589317499,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,15,next-observation autocall principal redemption component only
10.710486345702739,7.0143193057055875,0.10712916141046966,0.0057280999608337879,rqmc,True,4096,2942604460,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,0,next-observation autocall principal redemption component only
10.710576659813942,7.014168739167677,0.10713006475646952,0.0054902000119909644,rqmc,True,4096,3313557041,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,1,next-observation autocall principal redemption component only
10.706025104942896,6.9971306978735006,0.10708453888204039,0.0049335999647155404,rqmc,True,4096,630646984,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,2,next-observation autocall principal redemption component only
10.704967552726233,6.9966035247113636,0.1070739609606966,0.0046696999343112111,rqmc,True,4096,2622736163,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,3,next-observation autocall principal redemption component only
10.70997221814182,7.0127262642346775,0.10712401896850376,0.0059935000026598573,rqmc,True,4096,3726458002,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,4,next-observation autocall principal redemption component only
10.711872910138853,7.0172421469293225,0.10714303020040952,0.004446399980224669,rqmc,True,4096,944557289,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,5,next-observation autocall principal redemption component only
10.709825246459655,7.0133033519833514,0.10712254891826016,0.0053572000470012426,rqmc,True,4096,712039315,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,6,next-observation autocall principal redemption component only
10.708871528812203,7.0078306445954661,0.10711300957816897,0.0050256999675184488,rqmc,True,4096,3013220089,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,7,next-observation autocall principal redemption component only
10.710809160744933,7.0192596573340689,0.10713239029323415,0.0055152999702841043,rqmc,True,4096,2133261536,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,8,next-observation autocall principal redemption component only
10.712827409365447,7.024613670582502,0.10715257735806524,0.0051264000358060002,rqmc,True,4096,552310652,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,9,next-observation autocall principal redemption component only
10.708078552721412,7.0060007053737321,0.10710507801830482,0.0046330000041052699,rqmc,True,4096,1983910201,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,10,next-observation autocall principal redemption component only
10.706049964471955,7.0006678325522076,0.10708478753372765,0.0061355000361800194,rqmc,True,4096,1861400282,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,11,next-observation autocall principal redemption component only
10.709915919901423,7.0130096171637195,0.10712345585838084,0.0052583999931812286,rqmc,True,4096,3586382320,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,12,next-observation autocall principal redemption component only
10.709422455151003,7.0097085994669852,0.10711852009139589,0.0055356998927891254,rqmc,True,4096,2305019466,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,13,next-observation autocall principal redemption component only
10.711270304609346,7.0156802722899023,0.10713700277803545,0.0063355999300256371,rqmc,True,4096,963602568,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,14,next-observation autocall principal redemption component only
10.708852363632154,7.007575729167832,0.10711281788289009,0.0061066000489518046,rqmc,True,4096,3589317499,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.97999999999999998,2,15,next-observation autocall principal redemption component only
37.223000852440009,48.337092037508221,0.372314453125,0.0060535999946296215,rqmc,False,4096,1517376940,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.995,2,0,next-observation autocall principal redemption component only
36.832464450053749,48.232235766224029,0.368408203125,0.0042359000071883202,rqmc,False,4096,2874652600,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.995,2,1,next-observation autocall principal redemption component only
37.05214117639602,48.291634147259749,0.37060546875,0.0042211000109091401,rqmc,False,4096,1440273718,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.995,2,2,next-observation autocall principal redemption component only
36.954507075799455,48.26536735933535,0.36962890625,0.0044165999861434102,rqmc,False,4096,3776963736,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.995,2,3,next-observation autocall principal redemption component only
36.954507075799455,48.26536735933535,0.36962890625,0.0049081000033766031,rqmc,False,4096,823210141,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.995,2,4,next-observation autocall principal redemption component only
36.905690025501173,48.252154502487613,0.369140625,0.0038528000004589558,rqmc,False,4096,2330989698,0,6.6613381477509392e-16,6.6613381477509392e-16,0.93030464331678475,0.995,2,5,next-observation autocall principal redemption component only
