metric,reference_mean,reference_sd,reference_se,reference_replications,reference_n_paths,reference_method
total_value,99.33688783086721,0.0075513414110803525,0.0015414111108912646,24,262144,M3
fair_coupon,0.09684969111594555,0.00010719771258623164,2.18816414524828e-05,24,262144,M3
coupon_value,6.205806160496768,0.003014064111486369,0.0006152432604313963,24,262144,M3
early_redemption_principal,82.89315604739521,0.02725470558816103,0.005563343481731318,24,262144,M3
surviving_notional,13.817742977771793,0.02628379729364156,0.005365157656013938,24,262144,M3
terminal_ki_loss,-3.5798173547965693,0.006951893474880756,0.0014190493133034766,24,262144,M3
continuous_ki_survival_probability,0.8446877129299916,0.0002568753286598013,5.2434456893853426e-05,24,262144,M3
