scenario_id,regime_family,regime_level,contract_id,method,n_paths,replication,seed,random_input_seconds,runtime_engine_seconds,runtime_total_seconds,risk_free_rate,volatility_1,volatility_2,volatility_3,correlation_12,correlation_13,correlation_23,ki_barrier_ratio,initial_spot_ratio_1,initial_spot_ratio_2,initial_spot_ratio_3,direct_steps_per_year,inner_paths,bridge_substeps,bessel_terms,backend,total_value,fair_coupon,coupon_value,early_redemption_principal,surviving_notional,terminal_ki_loss,continuous_ki_survival_probability,component_identity_error,probability_mass_error,fair_coupon_residual
correlation_low,correlation,low,RC-A,M0,4096,0,2038600542,0.02937430003657937,0.19572429999243468,0.22509860002901405,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.055608630807356,0.11074883889332669,7.3179673868870516,72.857654908793563,23.207865118852432,-5.3278787837256782,0.787353515625,-1.4210854715202004e-14,0,0
correlation_low,correlation,low,RC-A,M0,4096,1,77612828,0.028546200017444789,0.18215449992567301,0.2107006999431178,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.025771331153649,0.11095262900648688,7.3656991067515358,73.085321015294767,22.960733931720412,-5.3859827226130665,0.777587890625,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,2,1747838503,0.029727700049988925,0.16453730000648648,0.1942650000564754,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,97.779567522232455,0.1144310480591266,7.2142696184011958,73.747068097294346,22.331672728111634,-5.513442921574728,0.785400390625,1.4210854715202004e-14,0,0
correlation_low,correlation,low,RC-A,M0,4096,3,1310021758,0.030519500025548041,0.17059770005289465,0.20111720007844269,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.141627578567082,0.10946594762830461,7.40271212637552,72.838165421830922,23.185398647294974,-5.2846486169343336,0.778076171875,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,4,3201604740,0.028256500023417175,0.18374700006097555,0.21200350008439273,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.055514925319926,0.11074628049321063,7.3191254869439861,73.057928804693375,23.00566687483532,-5.3272062411527656,0.780517578125,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,5,3427139634,0.027983499923720956,0.17036849993746728,0.19835199986118823,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,97.868650282989847,0.11321638583896111,7.2519171786513406,73.067613544863775,23.005666874835324,-5.4565473153605897,0.781494140625,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,6,915039188,0.028327599982731044,0.17286299995612353,0.20119059993885458,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.342907521134592,0.10740290810073075,7.285146028253032,73.875638798607127,22.21934037032435,-5.0372176760499245,0.794921875,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,7,1507683543,0.029395500081591308,0.16161439998541027,0.19100990006700158,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.287605566100055,0.10852232839991341,7.1273985505269675,74.896218720611813,21.275748564911183,-5.011760269949896,0.79931640625,-1.4210854715202004e-14,0,0
correlation_low,correlation,low,RC-A,M0,4096,8,387953471,0.027370200026780367,0.15139070001896471,0.17876090004574507,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.352314649248882,0.10718488650074499,7.3240182606725215,73.855924565678876,22.21934037032435,-5.0469685474268644,0.795166015625,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,9,2369871132,0.02705270005390048,0.1720189000479877,0.19907160010188818,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,97.669574348363028,0.1153732980680903,7.3156841368433501,72.55471594794308,23.477462777541909,-5.6782885139652919,0.784912109375,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,10,3602363135,0.027333699981682003,0.18238580005709082,0.20971950003877282,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.014067744064263,0.11150036226531249,7.2402687290067904,73.934787136048328,22.174407427209438,-5.3353955482002986,0.784912109375,1.4210854715202004e-14,0,0
correlation_low,correlation,low,RC-A,M0,4096,11,2676173963,0.028241200023330748,0.1841166999656707,0.21235789998900145,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,98.326878645957095,0.107688734016507,7.2514759151838994,74.00903943209704,22.107008012537069,-5.0406447138609156,0.794921875,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,12,558660921,0.02799950004555285,0.1416183999972418,0.16961790004279464,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,97.739319687644681,0.11477795849551801,7.2516250570434595,73.447669927634124,22.623736858358566,-5.5837121553914653,0.78173828125,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,13,2366514547,0.030163699993863702,0.14220110001042485,0.17236480000428855,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,97.729939459372744,0.11420029952361217,7.439253523325748,72.11561746039969,23.859392794018667,-5.684324318371349,0.77392578125,-1.4210854715202004e-14,0,0
correlation_low,correlation,low,RC-A,M0,4096,14,2160295943,0.03022780001629144,0.14536480000242591,0.17559260001871735,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,97.948315165820148,0.11248360584720986,7.1856089985019249,73.813570357405865,22.309206256554177,-5.3600704466418172,0.789306640625,0,0,0
correlation_low,correlation,low,RC-A,M0,4096,15,1517465317,0.028384599951095879,0.14416289993096143,0.17254749988205731,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,52,,,,gpu,97.943872294603452,0.11205079574143502,7.3281198750945906,73.056650336741754,23.005666874835324,-5.4465647920682096,0.7822265625,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,0,3793329159,0.013161199982278049,1.500544699956663,1.513705899938941,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.960942370666629,0.11177373361986193,7.3502307210243387,72.932330210608086,23.117999232622605,-5.4396177935884094,0.77185509509999783,1.4210854715202004e-14,0,0
correlation_low,correlation,low,RC-A,M3,4096,1,3010246874,0.0099294999381527305,1.5260526000056416,1.5359820999437943,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.871619268794774,0.11295606882275298,7.3158709334569076,73.087749344493545,22.960733931720412,-5.4927349408760922,0.7737524179353793,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,2,3415370912,0.011594599927775562,1.5459869001060724,1.557581500033848,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.777485446158892,0.11414985451344187,7.2972264581410355,73.299614713499551,22.758535687703304,-5.5778914131850028,0.76930409512117193,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,3,2792810360,0.0089036000426858664,1.5463136000325903,1.5552172000752762,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.831774615435947,0.11335954903856424,7.3365440699072737,73.354832063124633,22.691136273030935,-5.5507377906268918,0.77035283873418547,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,4,2270746448,0.010425299988128245,1.5671169999986887,1.5775422999868169,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.728123528932315,0.11461273185949544,7.33194988423132,72.788755720612656,23.252798061967344,-5.6453801378789956,0.76974389954122857,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,5,1464941263,0.0093521999660879374,1.6052962000248954,1.6146483999909833,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.802730455133144,0.11373017142860788,7.329768533886166,73.173706535497757,22.870868045490585,-5.5716126597413655,0.7661519649463483,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,6,1315594629,0.011314600007608533,1.6147756000282243,1.6260902000358328,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.927336332918685,0.11226268697896462,7.3238445821196496,73.128509987120694,22.938267460162955,-5.4632856964846033,0.77137423645494452,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,7,181377382,0.011044899933040142,1.6162245998857543,1.6272694998187944,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.775774792618435,0.11402660697502383,7.3367734452103681,72.756608716179414,23.275264533524801,-5.5928719022961477,0.76564458803081725,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,8,1052658445,0.009566799970343709,1.6090024000732228,1.6185692000435665,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.841740523026573,0.11322787715158869,7.3401976821672426,73.092253207906737,22.938267460162955,-5.5289778272103645,0.76947056627493582,1.4210854715202004e-14,0,0
correlation_low,correlation,low,RC-A,M3,4096,9,3267089751,0.011010800022631884,1.6019942000275478,1.6130050000501797,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.779285483780384,0.11416329774488343,7.2876401872121868,73.080395428591515,22.98320040327787,-5.5719505353011831,0.76853921383430812,0,0,0
correlation_low,correlation,low,RC-A,M3,4096,10,2154113267,0.0097061999840661883,1.5969804999185726,1.6066866999026388,0.041397500000000004,0.18321200000000001,0.26197700000000002,0.21978899999999998,0.25,0.25,0.25,0.75,1.1124202994893466,1.1297955713505747,1.2022133022425416,,64,8,12,gpu-hybrid,97.787710812013245,0.11405648823929639,7.2891905813962996,73.193215446578591,22.870868045490582,-5.5655632614522261,0.76966069538957571,0,0,0
