method,rmse_convergence_gamma,cost_growth_beta,glynn_whitt_squared_loss_rate,rmse_vs_time_slope,target_price_rmse,predicted_time_to_target_seconds,fit_points,rmse_fit_intercept,cost_fit_intercept
M0,0.3185809219537616,0.4616054947291313,1.380316853206888,-0.6713215763656276,0.05,0.8000762751833632,4,0.9499069918835733,-5.983756292422377
M1,0.28389751049789613,0.7630184007824524,0.7441432872569463,-0.34607494700298025,0.05,3.6140782985624393,4,0.3031738508926965,-7.7310311037107
M2,0.5717055127098624,0.9601877083203691,1.1908203109784266,-0.5997524730403694,0.05,9.057156374496422,4,3.082397856895527,-7.993485853511164
M3,0.5857253944131441,0.9442650315892408,1.2405953303752904,-0.6221732558729263,0.05,1.8404301912168577,4,2.2537159698025597,-7.85292800646132
