method,rmse_convergence_gamma,cost_growth_beta,glynn_whitt_squared_loss_rate,rmse_vs_time_slope,target_fair_coupon_rmse,predicted_time_to_target_fair_coupon_seconds,fit_points,rmse_fit_intercept,cost_fit_intercept
M0,0.31421963486272664,0.4616054947291313,1.361420686931423,-0.6635931080669233,0.001,0.4771619246890478,4,-3.3567690527723935,-5.983756292422377
M1,0.2825657220670508,0.7630184007824524,0.7406524450191191,-0.34550140557618747,0.001,1.3345628949346353,4,-3.966277293675059,-7.7310311037107
M2,0.5653036094513235,0.9601877083203691,1.1774856198486316,-0.5929264283588938,0.001,5.043985464025823,4,-1.2449321396273114,-7.993485853511164
M3,0.5853550304736224,0.9442650315892408,1.2398108812489717,-0.6217538227281719,0.001,1.0584730356055505,4,-2.0055619682885983,-7.85292800646132
