worst_spot_ratio,time_to_observation_days,replications_raw,replications_smooth,raw_value_mean,smooth_value_mean,absolute_price_difference,agreement_tolerance,agreement_pass,raw_replication_sd,smooth_replication_sd,variance_reduction_factor,raw_runtime_median_seconds,smooth_runtime_median_seconds,cost_efficiency_gain,call_probability,discontinuity_severity,maximum_probability_clipping_rate
0.98,2,16,16,10.7016127450765,10.7093639810835,0.007751236006999562,0.09641770967805341,True,0.09639307422683953,0.002179445034957229,1956.1394926014484,0.0046037500142119,0.00542370002949605,1660.4121112688347,0.10711793521806574,0.38257473269073605,0.0
0.98,14,16,16,29.387504106829496,29.416327045116688,0.028822938287191846,0.16043197051459496,True,0.16042718845399698,0.0012386960650649106,16773.605663511295,0.00430904992390415,0.0052070999518036495,13880.721491223847,0.2946307284268689,0.8312938491740861,0.0
0.98,60,16,16,34.36010628767805,34.34321464309974,0.016891644578308274,0.14250231838195182,True,0.1424964020098667,0.0012985216492669197,12042.29905047185,0.0041163000278174,0.00494174996856595,10030.80209070703,0.3457771957711745,0.9048613066231894,0.0
0.995,2,16,16,36.93314961629396,36.914546697046156,0.01860291924780455,0.17257196027801525,True,0.17256556839690487,0.0014852871944562953,13498.559307968666,0.0042433500057086,0.0054785999236628,10455.063796341587,0.3692292118078141,0.9315960038223778,0.0
0.995,14,16,16,39.15591656577148,39.2072499208613,0.05133335508982384,0.13785910146004018,True,0.13785176150801579,0.0014225696843367676,9390.258353956986,0.00430565001443025,0.0049144999939016495,8226.913433185324,0.3926955457790682,0.9539430164173918,0.0
0.995,60,16,16,38.23531763990073,38.21584005816152,0.01947758173920988,0.16921530291634185,True,0.1692117626651459,0.0010945852290566605,23898.020675949865,0.0042545999749563,0.005220250051934199,19477.327169745135,0.3847678834574621,0.9468862372685077,0.0
1.0,2,16,16,47.575266581319426,47.601453616141434,0.02618703482200857,0.1905096049920264,True,0.19050641482375497,0.0011024995316675505,29858.114610816992,0.004346199973952,0.00533175002783535,24338.97618348661,0.47612252545960454,0.9977194648382911,0.0
1.0,14,16,16,42.15560529497559,42.11445185969919,0.041153435276399364,0.17097504963038943,True,0.1709679162651039,0.0015617951474334747,11983.428775468758,0.0040669000591151,0.004978300014045,9789.56813728803,0.421813763822065,0.9755476498893128,0.0
1.0,60,16,16,39.368934414035486,39.37967641532552,0.010742001290033443,0.10987478639054485,True,0.10986776973260404,0.0012417158899502667,7828.816969735639,0.00412085006246335,0.0050665999879129,6367.461606543518,0.396485716982914,0.9571391728458345,0.0
1.005,2,16,16,57.1006935207717,57.13738598331793,0.03669246254622749,0.1594208066357016,True,0.15940467578817807,0.0022678018528069516,4940.738871283685,0.0041278499993495504,0.0050246999599039,4058.8749794733435,0.5715034824758515,0.9795490079753024,0.0
1.005,14,16,16,44.74396037416186,44.74308843915419,0.0008719350076660248,0.1815154715301685,True,0.1815102826526939,0.001372478108598827,17490.072673633324,0.00431784999091175,0.004685349995270351,16118.22173607671,0.44814190155953654,0.9892429505045569,0.0
1.005,60,16,16,40.54043944933784,40.47434465513312,0.06609479420471587,0.19637688420790544,True,0.19637282663105565,0.0012623835132219764,24198.038032803262,0.00461110007017845,0.0048226499930023505,23136.569113068857,0.40750714634513274,0.9657802880911173,0.0
1.02,2,16,16,71.43307438178292,71.45414050777013,0.021066125987218243,0.1208972011791385,True,0.12088792847858634,0.001497331327823617,6518.235525136118,0.00445109995780505,0.005028199928347,5770.120179058744,0.7147035069023314,0.8156096164953621,0.0
1.02,14,16,16,50.69915755164223,50.68322931376036,0.01592823788187303,0.12634134079897344,True,0.12633499633384718,0.0012661343566809868,9956.065772843955,0.00417944998480375,0.0054367500124499,7653.63109352662,0.5076377057147996,0.9997666618056564,0.0
1.02,60,16,16,43.32446887993349,43.321594188222875,0.002874691710616162,0.1133041783982808,True,0.11329303903430163,0.0015887570241067566,5085.0061923625,0.004467750026378749,0.00500780000584195,4536.630161659989,0.4361740597207091,0.9837049973898576,0.0
