scenario,method,greek,asset,bump,estimate_mean,estimate_sd,target_rmse,required_independent_replications,runtime_seconds_mean,canonical_time_to_target_seconds
near-KI,M0,Delta,asset_1,0.005,0.9395883999015702,0.1301996873030986,0.1,1.6951958573824657,0.1216638750192942,0.2062440969258056
near-KI,M0,Gamma,asset_1,0.005,-0.3389019167805002,0.2145817878714019,0.1,4.604534368608732,0.1216638750192942,0.5602054939444575
near-KI,M0,Vega,asset_1,0.005,-0.3761395206242142,0.0885180307969361,0.05,3.134176710466931,0.1309058750193799,0.4102821447490353
near-KI,M3,Delta,asset_1,0.005,0.7750059686377462,0.0992866509377306,0.1,1.0,1.138360750002903,1.138360750002903
near-KI,M3,Gamma,asset_1,0.005,-0.2390622901368857,0.1045320762249433,0.1,1.0926954959897355,1.138360750002903,1.2438816643396693
near-KI,M3,Vega,asset_1,0.005,-0.3936472636601351,0.0473355245802682,0.05,1.0,1.2581540000101086,1.2581540000101086
near-autocall,M0,Delta,asset_3,0.005,0.8521987162828494,0.1211243452478606,0.1,1.467110701172293,0.11232442499022,0.1647923659061763
near-autocall,M0,Gamma,asset_3,0.005,-0.6299720768805342,0.5797776692037118,0.1,33.614214570728855,0.11232442499022,3.775697323154993
near-autocall,M0,Vega,asset_3,0.005,-0.1547801367616479,0.05256741392504,0.05,1.1053332027065956,0.1121773249906255,0.12399332190294671
near-autocall,M3,Delta,asset_3,0.005,1.2494357854415907,0.353967580668259,0.1,12.529304816414044,0.6022671249957057,7.545988389976534
near-autocall,M3,Gamma,asset_3,0.005,-0.9019061544215672,1.5508237537988798,0.1,240.50543153468485,0.6022671249957057,144.84851479624618
near-autocall,M3,Vega,asset_3,0.005,-0.1756843239822458,0.0294444600622653,0.05,1.0,0.6107339250011137,0.6107339250011137
