training steps,setting,selected q3,raw p3,selected pair,h12 decomposition,h12 effective n,h13 decomposition,h13 effective n,h23 decomposition,h23 effective n
25,training steps=25,0.16573882369866322,0.2547903709427477,h12,0.16573882369866322,26396,0.16230213848883318,26563,0.1597911231065413,26313
100,training steps=100,0.17538031242843027,0.24514888221298065,h12,0.17538031242843027,29417,0.17656435759507103,29558,0.17642251707802303,29281
1000,training steps=1000,0.18163174373655386,0.23889745090485706,h12,0.18163174373655386,31833,0.18471699724710175,31890,0.18530760841266766,31694
