mu,sigma,rho,paper QE,paper BB,paper direct MC,reproduced BB,reproduced BB SE,reproduced direct,reproduced direct SE,BB error vs paper QE,direct error vs paper QE
0.03,0.2,0.4,0.2047,0.2041,0.2131,0.20458415597447702,0.0016356494585766759,0.2107,0.002270829510700149,-0.00011584402552297646,0.006000000000000005
0.03,0.2,0.6,0.2578,0.2585,0.2543,0.2559923709307879,0.00015669332954532312,0.2705,0.003984553509073081,-0.0018076290692120578,0.012700000000000045
0.03,0.3,0.4,0.102,0.1011,0.1026,0.1016757344533207,0.0010555185281647522,0.10690000000000001,0.0008225975119502024,-0.0003242655466792893,0.0049000000000000155
0.03,0.3,0.6,0.1427,0.1431,0.1456,0.14216534743749745,0.0009259430001454197,0.1439,0.0045029619881436535,-0.0005346525625025411,0.0012000000000000066
0.04,0.2,0.4,0.1941,0.1922,0.1869,0.1955222759920584,0.0005269061418913386,0.2103,0.00289078997276984,0.0014222759920584083,0.016199999999999992
0.04,0.2,0.6,0.247,0.2451,0.2514,0.2449312390571564,0.000941382333372699,0.258,0.0013662601021279517,-0.002068760942843584,0.01100000000000001
0.04,0.3,0.4,0.0973,0.0973,0.0995,0.09866642630863504,0.00021731626821631903,0.1062,0.0026255158223353614,0.0013664263086350381,0.008900000000000005
0.04,0.3,0.6,0.1372,0.1406,0.1362,0.13694397120667792,0.0008949815073683024,0.1424,0.0037665191711534784,-0.0002560287933220662,0.00520000000000001
