preprocessing,setting,selected q3,raw p3,selected pair,h12 decomposition,h12 effective n,h13 decomposition,h13 effective n,h23 decomposition,h23 effective n
standardised,standardised,0.16573882369866322,0.2547903709427477,h12,0.16573882369866322,26396,0.16230213848883318,26563,0.1597911231065413,26313
raw,raw,0.1657388249064886,0.2547903697349223,h12,0.1657388249064886,26396,0.16230213646829006,26563,0.15979112914533694,26313
