training seed,setting,selected q3,raw p3,selected pair,h12 decomposition,h12 effective n,h13 decomposition,h13 effective n,h23 decomposition,h23 effective n
20260731,seed=20260731,0.16391967732334595,0.256609517318065,h12,0.16391967732334595,10521,0.16416238585520906,10401,0.1640099290675937,10418
20260732,seed=20260732,0.16627036348975718,0.2542588311516537,h12,0.16627036348975718,10472,0.16298259724819436,10513,0.16603510319015388,10516
20260733,seed=20260733,0.16251834621117864,0.25801084843023225,h12,0.16251834621117864,10365,0.16091481869551988,10478,0.15732807714301192,10520
20260734,seed=20260734,0.162999502861573,0.2575296917798379,h12,0.162999502861573,10536,0.16421471368605833,10411,0.15485012545019286,10539
