candidate n,setting,selected q3,raw p3,selected pair,h12 decomposition,h12 effective n,h13 decomposition,h13 effective n,h23 decomposition,h23 effective n
10000,candidate n=10000,0.1683914330542629,0.252137761587148,h12,0.1683914330542629,2631,0.16896896808709916,2661,0.16753715315904558,2588
40000,candidate n=40000,0.1679613017594438,0.2525678928819671,h12,0.1679613017594438,10556,0.16420168104617774,10579,0.16759234558352157,10422
100000,candidate n=100000,0.16573882369866322,0.2547903709427477,h12,0.16573882369866322,26396,0.16230213848883318,26563,0.1597911231065413,26313
