Bessel terms,h12,h13,h23,max abs change vs 40
2,0.23736181014143787,0.25641722993770744,0.27892981067842415,0.00014184570213426895
3,0.237503649550024,0.25649776584566397,0.2790116978432138,6.293548127089821e-09
4,0.237503649550024,0.25649776584566397,0.2790116978432138,6.293548127089821e-09
5,0.23750365584350064,0.2564977662947956,0.2790117001522985,7.149836278586008e-14
8,0.23750365584357214,0.2564977662947552,0.2790117001523138,0.0
12,0.23750365584357214,0.2564977662947552,0.2790117001523138,0.0
20,0.23750365584357214,0.2564977662947552,0.2790117001523138,0.0
40,0.23750365584357214,0.2564977662947552,0.2790117001523138,0.0
