decomposition,conditioning pair,target asset,candidate n,effective n,intercept,coef x1,coef x2,coef x3,L(x),h_ij,q3 candidate,selected smallest h
h12 x L(target 3),"1,2",3,100000,26396,0.20059253173461822,-2.5811732356149095,-2.594770886749029,23.80444211391922,0.6978369369094022,0.23750365584357214,0.16573882369866322,True
h13 x L(target 2),"1,3",2,100000,26563,0.1601001110986373,-2.4829817600382693,24.166771950699918,-2.4839949495239275,0.6327623855496783,0.2564977662947552,0.16230213848883318,False
h23 x L(target 1),"2,3",1,100000,26313,0.1802530276159675,23.223253132184706,-2.200930574832554,-2.519161054319122,0.5727040228754228,0.2790117001523138,0.1597911231065413,False
