event,grid 250,grid 1000,extrapolated reference,reference SE,n paths,seed,analytic / logistic,difference,z score
g1,0.36966666666666664,0.3888,0.4079333333333333,0.0015269597439618791,120000,20261731,0.40656965974059917,-0.0013636735927341492,-0.8930645343641709
g2,0.4089,0.430175,0.45145,0.0015550865886778842,120000,20261731,0.4493289641172217,-0.0021210358827783438,-1.3639342646390018
g3,0.452525,0.474,0.495475,0.0015624019048533155,120000,20261731,0.4965853037914095,0.0011103037914095282,0.7106390410563203
h12,0.20398333333333332,0.22140833333333335,0.23883333333333334,0.0013436386468188891,120000,20261731,0.23750365584357214,-0.0013296774897612051,-0.9896094406850104
h13,0.22035,0.23853333333333335,0.25671666666666665,0.0013759293210117583,120000,20261731,0.2564977662947552,-0.00021890037191146794,-0.15909274449541094
h23,0.23909166666666667,0.2589,0.27870833333333334,0.0014161234360515734,120000,20261731,0.2790117001523138,0.00030336681898046614,0.21422342943939382
q123,0.138075,0.15295,0.167825,0.0011881750051193456,120000,20261731,0.16573882369866322,-0.002086176301336784,-1.7557820122021832
