bank_variant,bridge_bank_seed,greek,estimate_mean,estimate_sd
0,849505815,Delta,0.7470093138372628,0.10041853664309985
0,849505815,Gamma,-0.2526493184331002,0.12362357547132043
1,737967573,Delta,0.7470093138372628,0.10041853664309985
1,737967573,Gamma,-0.2526493184331002,0.12362357547132043
2,622687615,Delta,0.7470095746101464,0.10041813836753177
2,622687615,Gamma,-0.25264890858767325,0.1236231627805831
