estimator,replication,asset,asset_index,active_asset,bump,bump_label,greek,estimate_reported
AC-raw-MC,2,asset_3,3,True,0.01,1.00% spot,Gamma,-5.516326683705858
AC-raw-MC,3,asset_1,1,False,0.001,0.10% spot,Delta,1.708596760439853
AC-raw-MC,3,asset_1,1,False,0.001,0.10% spot,Gamma,-4.8817050298289635
AC-raw-MC,3,asset_1,1,False,0.0025,0.25% spot,Delta,1.6597797101415777
AC-raw-MC,3,asset_1,1,False,0.0025,0.25% spot,Gamma,-8.591800852497727
AC-raw-MC,3,asset_1,1,False,0.005,0.50% spot,Delta,2.6117121909580807
AC-raw-MC,3,asset_1,1,False,0.005,0.50% spot,Gamma,-9.079971355480467
AC-raw-MC,3,asset_1,1,False,0.01,1.00% spot,Delta,4.186062063077678
AC-raw-MC,3,asset_1,1,False,0.01,1.00% spot,Gamma,-8.030404774067392
AC-raw-MC,3,asset_2,2,False,0.001,0.10% spot,Delta,7.444600170488017
AC-raw-MC,3,asset_2,2,False,0.001,0.10% spot,Gamma,-7.322557544743801
AC-raw-MC,3,asset_2,2,False,0.0025,0.25% spot,Delta,7.566642796233694
AC-raw-MC,3,asset_2,2,False,0.0025,0.25% spot,Gamma,-5.8580460357940165
AC-raw-MC,3,asset_2,2,False,0.005,0.50% spot,Delta,8.030404774067382
AC-raw-MC,3,asset_2,2,False,0.005,0.50% spot,Gamma,-5.565143734004166
AC-raw-MC,3,asset_2,2,False,0.01,1.00% spot,Delta,7.4934172207862835
AC-raw-MC,3,asset_2,2,False,0.01,1.00% spot,Gamma,-5.223424381916174
AC-raw-MC,3,asset_3,3,True,0.001,0.10% spot,Delta,14.645115089484584
AC-raw-MC,3,asset_3,3,True,0.001,0.10% spot,Gamma,63.46216538776517
AC-raw-MC,3,asset_3,3,True,0.0025,0.25% spot,Delta,14.156944586501794
AC-raw-MC,3,asset_3,3,True,0.0025,0.25% spot,Gamma,9.37287365727002
AC-raw-MC,3,asset_3,3,True,0.005,0.50% spot,Delta,13.937267860159498
AC-raw-MC,3,asset_3,3,True,0.005,0.50% spot,Gamma,-2.2455843137210105
AC-raw-MC,3,asset_3,3,True,0.01,1.00% spot,Delta,12.570390451807608
AC-raw-MC,3,asset_3,3,True,0.01,1.00% spot,Gamma,-4.002998124459132
AC-raw-MC,4,asset_1,1,False,0.001,0.10% spot,Delta,1.7085967604398176
AC-raw-MC,4,asset_1,1,False,0.001,0.10% spot,Gamma,4.881705029828254
AC-raw-MC,4,asset_1,1,False,0.0025,0.25% spot,Delta,1.5621456095450128
AC-raw-MC,4,asset_1,1,False,0.0025,0.25% spot,Gamma,-4.686436828635124
AC-raw-MC,4,asset_1,1,False,0.005,0.50% spot,Delta,2.196767263422686
AC-raw-MC,4,asset_1,1,False,0.005,0.50% spot,Gamma,-5.662777834600718
AC-raw-MC,4,asset_1,1,False,0.01,1.00% spot,Delta,4.234879113375962
AC-raw-MC,4,asset_1,1,False,0.01,1.00% spot,Gamma,-7.639868371681136
AC-raw-MC,4,asset_2,2,False,0.001,0.10% spot,Delta,6.346216538776659
AC-raw-MC,4,asset_2,2,False,0.001,0.10% spot,Gamma,19.52682011931301
AC-raw-MC,4,asset_2,2,False,0.0025,0.25% spot,Delta,7.127289343549164
AC-raw-MC,4,asset_2,2,False,0.0025,0.25% spot,Gamma,4.686436828634895
AC-raw-MC,4,asset_2,2,False,0.005,0.50% spot,Delta,7.346966069891444
AC-raw-MC,4,asset_2,2,False,0.005,0.50% spot,Gamma,-3.8077299232660087
AC-raw-MC,4,asset_2,2,False,0.01,1.00% spot,Delta,7.395783120189719
AC-raw-MC,4,asset_2,2,False,0.01,1.00% spot,Gamma,-4.68643682863508
AC-raw-MC,4,asset_3,3,True,0.001,0.10% spot,Delta,13.424688832027558
AC-raw-MC,4,asset_3,3,True,0.001,0.10% spot,Gamma,-1.4210854715202004e-12
AC-raw-MC,4,asset_3,3,True,0.0025,0.25% spot,Delta,12.790067178149883
