scenario,method,greek,asset,tested_bump_min,tested_bump_max,bump_dispersion,median_abs_estimate,max_replication_se,relative_dispersion,shape_plateau_tolerance,uncertainty_tolerance,plateau_pass,uncertainty_consistent
near-KI,M0,Delta,asset_1,0.0025,0.01,0.07861726440141403,0.9303310646495149,0.0848695835859228,0.08450461065817644,0.186066212929903,0.2546087507577684,True,True
near-KI,M0,Delta,asset_2,0.0025,0.01,0.0007742637489798199,0.034054905632789456,0.001523109371060078,0.02273574789278896,0.006810981126557892,0.006810981126557892,True,True
near-KI,M0,Delta,asset_3,0.0025,0.01,0.010148753169641367,0.0428736690566236,0.006985587972157308,0.23671296142716006,0.00857473381132472,0.020956763916471926,False,True
near-KI,M0,Gamma,asset_1,0.0025,0.01,1.0472625260808035,0.33890191678050025,0.3620713603641536,3.0901640687948477,0.16945095839025012,1.0862140810924608,False,True
near-KI,M0,Gamma,asset_2,0.0025,0.01,0.011610527481444421,0.001056814147972318,0.012217485158912677,10.98634750842543,0.000528407073986159,0.03665245547673803,False,True
near-KI,M0,Gamma,asset_3,0.0025,0.01,0.09053643963976654,0.026650240999757102,0.04149385414112506,3.3972090398954258,0.013325120499878551,0.12448156242337519,False,True
near-KI,M0,Parallel Gamma,parallel,0.0025,0.01,0.9516432484354596,0.2989134092111527,0.37464527013229293,3.1836753357666128,0.14945670460557636,1.1239358103968788,False,True
near-KI,M0,Parallel Vega,parallel,0.0025,0.01,0.030603889077141844,0.558773022448829,0.06628875165699392,0.054769804281208784,0.1117546044897658,0.19886625497098176,True,True
near-KI,M0,Vega,asset_1,0.0025,0.01,0.03135942468241382,0.37683345875639773,0.06269951023650583,0.08321825982731001,0.07536669175127955,0.1880985307095175,True,True
near-KI,M0,Vega,asset_2,0.0025,0.01,0.00166720626870287,0.08985641387253196,0.003482201414113684,0.018554115358620105,0.01797128277450639,0.01797128277450639,True,True
near-KI,M0,Vega,asset_3,0.0025,0.01,0.0019829941567870435,0.09150520456670641,0.00641388567737598,0.021670834639153886,0.018301040913341282,0.01924165703212794,True,True
near-KI,M3,Delta,asset_1,0.0025,0.01,0.06999922194276031,0.7750059686377462,0.07023280510441324,0.090320881096955,0.15500119372754925,0.2106984153132397,True,True
near-KI,M3,Delta,asset_2,0.0025,0.01,0.0069845515487259036,0.037768392734221834,0.007682523376785969,0.18493113005566744,0.007553678546844367,0.02304757013035791,True,True
near-KI,M3,Delta,asset_3,0.0025,0.01,0.009156677160769178,0.04060102909355123,0.0029580483899158726,0.22552820372288437,0.008120205818710247,0.008874145169747619,False,False
near-KI,M3,Gamma,asset_1,0.0025,0.01,0.4236969091032172,0.2390622901368857,0.14563210979418748,1.7723284958937304,0.11953114506844285,0.4368963293825624,False,True
near-KI,M3,Gamma,asset_2,0.0025,0.01,0.045404420121712974,0.011927710456831164,0.016917598928530345,3.8066333254852975,0.005963855228415582,0.05075279678559104,False,True
near-KI,M3,Gamma,asset_3,0.0025,0.01,0.012992739254826802,0.010773531409487447,0.013305394307857982,1.2059870399955455,0.005386765704743723,0.03991618292357395,False,True
near-KI,M3,Parallel Gamma,parallel,0.0025,0.01,0.3831459385679459,0.20338469707647278,0.1390761568373742,1.8838484117803749,0.10169234853823639,0.41722847051212264,False,True
near-KI,M3,Parallel Vega,parallel,0.0025,0.01,0.03159742926170139,0.5799824122293984,0.03284056229409364,0.054479978350108614,0.11599648244587968,0.11599648244587968,True,True
near-KI,M3,Vega,asset_1,0.0025,0.01,0.04042670147549465,0.39364726366013514,0.028326636130614393,0.10269778354257282,0.07872945273202703,0.08497990839184318,True,True
near-KI,M3,Vega,asset_2,0.0025,0.01,0.004074776662321256,0.0985871517912642,0.011922940199716276,0.04133172110447683,0.01971743035825284,0.03576882059914883,True,True
near-KI,M3,Vega,asset_3,0.0025,0.01,0.020166323513535644,0.09421521960704382,0.005207195121263597,0.2140452848026684,0.018843043921408766,0.018843043921408766,False,False
near-autocall,M0,Delta,asset_1,0.0025,0.01,0.12605109963502947,0.14670486521089288,0.055762892267465024,0.8592155376294238,0.029340973042178576,0.16728867680239506,False,True
near-autocall,M0,Delta,asset_2,0.0025,0.01,0.06244281947966879,0.5931813043951486,0.19844457799572726,0.10526767957284171,0.11863626087902973,0.5953337339871818,True,True
near-autocall,M0,Delta,asset_3,0.0025,0.01,0.09891790189310967,0.8521987162828494,0.09551429512215898,0.11607375134824574,0.17043974325656988,0.28654288536647693,True,True
near-autocall,M0,Gamma,asset_1,0.0025,0.01,0.11254409743212435,0.37891466232633775,0.8698700274464333,0.297017003092893,0.18945733116316887,2.6096100823393,True,True
near-autocall,M0,Gamma,asset_2,0.0025,0.01,0.2531407643345317,0.3283475391441079,0.6707139259444326,0.7709537430808372,0.16417376957205396,2.012141777833298,False,True
near-autocall,M0,Gamma,asset_3,0.0025,0.01,0.9853634597042455,0.2840314530590717,0.4190950605515078,3.469205431622792,0.14201572652953584,1.2572851816545234,False,True
near-autocall,M0,Parallel Gamma,parallel,0.0025,0.01,1.3877208366670288,0.19832354013442455,0.9734665968963895,6.997257288400689,0.09916177006721227,2.9203997906891686,False,True
near-autocall,M0,Parallel Vega,parallel,0.0025,0.01,0.036265569456876534,0.44642049432399133,0.06377527403364357,0.08123634536938769,0.08928409886479827,0.1913258221009307,True,True
near-autocall,M0,Vega,asset_1,0.0025,0.01,0.02393268685140626,0.023600175015033642,0.020874796538721128,1.0140893801067494,0.004720035003006729,0.06262438961616339,False,True
near-autocall,M0,Vega,asset_2,0.0025,0.01,0.014421222653457022,0.25132411187538395,0.03943212973581058,0.05738097529061443,0.05026482237507679,0.11829638920743174,True,True
near-autocall,M0,Vega,asset_3,0.0025,0.01,0.03027245355136543,0.16170512552934646,0.03310081118061672,0.18720775517948282,0.032341025105869295,0.09930243354185014,True,True
near-autocall,M3,Delta,asset_1,0.0025,0.01,0.13910742809405718,0.21996445205100557,0.09785054582829308,0.6324086769338567,0.043992890410201116,0.2935516374848792,False,True
near-autocall,M3,Delta,asset_2,0.0025,0.01,0.04638193989836914,0.6239612180942159,0.12878657233626659,0.07433465182344977,0.12479224361884318,0.3863597170087998,True,True
near-autocall,M3,Delta,asset_3,0.0025,0.01,0.33504944662537983,1.0202263438386723,0.17698379033412953,0.3284069742452769,0.20404526876773446,0.5309513710023885,False,True
near-autocall,M3,Gamma,asset_1,0.0025,0.01,0.134325656501872,0.6521785956694544,0.8858443258439405,0.20596452780543673,0.3260892978347272,2.6575329775318215,True,True
near-autocall,M3,Gamma,asset_2,0.0025,0.01,1.4577143505144394,0.6347524023247927,1.2347121930576446,2.296508599535083,0.31737620116239634,3.7041365791729337,False,True
near-autocall,M3,Gamma,asset_3,0.0025,0.01,2.3538686618036304,0.5049228090011652,1.9377781278882378,4.661838641157917,0.2524614045005826,5.813334383664714,False,True
near-autocall,M3,Parallel Gamma,parallel,0.0025,0.01,0.7646578085713004,0.22899796408747974,3.1736251412427823,3.339146754506484,0.11449898204373987,9.520875423728347,False,True
near-autocall,M3,Parallel Vega,parallel,0.0025,0.01,0.03459477737857419,0.42908672256518443,0.021714285843785274,0.08062420848577702,0.0858173445130369,0.0858173445130369,True,True
near-autocall,M3,Vega,asset_1,0.0025,0.01,0.012615391125063269,0.020836128517473185,0.012025750552918607,0.6054575404679424,0.004167225703494637,0.03607725165875582,False,True
near-autocall,M3,Vega,asset_2,0.0025,0.01,0.013179773688337448,0.2290755648936198,0.02264822173920368,0.057534611753366154,0.04581511297872396,0.06794466521761104,True,True
near-autocall,M3,Vega,asset_3,0.0025,0.01,0.018326916440537744,0.16562281916304755,0.0234826539497351,0.11065453741912093,0.03312456383260951,0.07044796184920529,True,True
