scenario,method,replication,asset,asset_index,bump,bump_label,active_asset,runtime_seconds,pricing_seed,bridge_bank_seed,greek,estimate_raw,estimate_reported,reported_unit
near-KI,M0,0,asset_2,2,0.005,0.50 vol points,False,0.11866470001405105,2491452401,242366888,Vega,-7.99120734054668,-0.0799120734054668,PV per 1 volatility point
near-KI,M0,0,asset_2,2,0.01,1.00 vol points,False,0.1309120999649167,2491452401,242366888,Vega,-7.987167599750933,-0.07987167599750933,PV per 1 volatility point
near-KI,M0,0,asset_3,3,0.0025,0.25 vol points,False,0.14230219996534288,2491452401,242366888,Vega,-10.622957219223395,-0.10622957219223395,PV per 1 volatility point
near-KI,M0,0,asset_3,3,0.005,0.50 vol points,False,0.13030680001247674,2491452401,242366888,Vega,-8.91200244832362,-0.0891200244832362,PV per 1 volatility point
near-KI,M0,0,asset_3,3,0.01,1.00 vol points,False,0.11502309993375093,2491452401,242366888,Vega,-9.034069977455772,-0.09034069977455772,PV per 1 volatility point
near-KI,M0,0,parallel,0,0.0025,0.25 parallel vol points,False,0.11777840001741424,2491452401,242366888,Parallel Vega,-68.23954652141424,-0.6823954652141424,PV per 1 parallel volatility point
near-KI,M0,0,parallel,0,0.005,0.50 parallel vol points,False,0.1168154000188224,2491452401,242366888,Parallel Vega,-54.76243027337375,-0.5476243027337375,PV per 1 parallel volatility point
near-KI,M0,0,parallel,0,0.01,1.00 parallel vol points,False,0.11526150000281632,2491452401,242366888,Parallel Vega,-45.967745534699134,-0.45967745534699134,PV per 1 parallel volatility point
near-KI,M0,1,asset_1,1,0.001,0.10% spot,True,0.12073900003451854,3032680152,242366888,Delta,122.81979039176859,0.9395713964970298,PV per 1% relative spot move
near-KI,M0,1,asset_1,1,0.001,0.10% spot,True,0.12073900003451854,3032680152,242366888,Gamma,-77597.16624455946,-4.541180161547231,PV per squared 1% relative spot move
near-KI,M0,1,asset_1,1,0.0025,0.25% spot,True,0.12642069993307814,3032680152,242366888,Delta,99.3118924073172,0.7597359769159766,PV per 1% relative spot move
near-KI,M0,1,asset_1,1,0.0025,0.25% spot,True,0.12642069993307814,3032680152,242366888,Gamma,-20558.187455986037,-1.2031165253929428,PV per squared 1% relative spot move
near-KI,M0,1,asset_1,1,0.005,0.50% spot,True,0.1406501000165008,3032680152,242366888,Delta,127.13350590765198,0.9725713201935376,PV per 1% relative spot move
near-KI,M0,1,asset_1,1,0.005,0.50% spot,True,0.1406501000165008,3032680152,242366888,Gamma,-4184.0530651814515,-0.24486124550708152,PV per squared 1% relative spot move
