scenario,greek,bump,m0_replication_sd,m3_replication_sd,m0_over_m3_sd_ratio,lower_sd_method
near-KI,Delta,0.005,0.13019968730309867,0.09928665093773067,1.3113513858449675,M3
near-KI,Vega,0.005,0.08851803079693613,0.047335524580268226,1.8700126719169137,M3
near-KI,Gamma,0.005,0.2145817878714019,0.10453207622494337,2.052784136896331,M3
near-autocall,Delta,0.005,0.12112434524786068,0.35396758066825906,0.34219050518465216,M0
near-autocall,Vega,0.005,0.05256741392504004,0.02944446006226533,1.7853074504975563,M3
near-autocall,Gamma,0.005,0.5797776692037118,1.5508237537988798,0.37385142430498314,M0
