scenario,method,replication,greek,asset,bump,direction,total_value,runtime_seconds,pricing_seed,bridge_bank_seed
near-KI,M0,0,ParallelVolatility,parallel,0.0025,minus,84.64539502364116,0.06129350000992417,2491452401,242366888
near-KI,M0,0,ParallelVolatility,parallel,0.0025,plus,84.30419729103409,0.05648490000749007,2491452401,242366888
near-KI,M0,0,ParallelVolatility,parallel,0.005,minus,84.75361368377885,0.0563634000136517,2491452401,242366888
near-KI,M0,0,ParallelVolatility,parallel,0.005,plus,84.20598938104511,0.0604520000051707,2491452401,242366888
near-KI,M0,0,ParallelVolatility,parallel,0.01,minus,84.8940984548708,0.05971599998883903,2491452401,242366888
near-KI,M0,0,ParallelVolatility,parallel,0.01,plus,83.97474354417682,0.05554550001397729,2491452401,242366888
near-KI,M0,1,Base,base,0.0,base,82.95708761372094,0.056610899977386,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.001,minus,82.8404245732635,0.061709500034339726,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.001,plus,83.02833885256291,0.059029500000178814,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.0025,minus,82.72955622807342,0.0691765999654308,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.0025,plus,83.10942421653141,0.057244099967647344,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.005,minus,82.44019429793579,0.06838399998378009,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.005,plus,83.41276561812933,0.07226610003272071,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.01,minus,82.05253181534256,0.06474379997234792,3032680152,242366888
near-KI,M0,1,Spot,asset_1,0.01,plus,83.89957430871343,0.06569540000054985,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.001,minus,82.95315844557415,0.06388900004094467,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.001,plus,82.96092120281142,0.0592363000032492,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.0025,minus,82.94723551910734,0.06332039996050298,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.0025,plus,82.96631613524735,0.08606410003267229,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.005,minus,82.93724033975285,0.1056259999750182,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.005,plus,82.97507452917382,0.05795440002111718,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.01,minus,82.91727221970318,0.055233400024008006,3032680152,242366888
near-KI,M0,1,Spot,asset_2,0.01,plus,82.99125828733828,0.07392830000026152,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.001,minus,82.95358195560178,0.06842309999046847,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.001,plus,82.96037883542347,0.05787640000926331,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.0025,minus,82.94823784496144,0.06128620001254603,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.0025,plus,82.96541890197406,0.06741519999923185,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.005,minus,82.938863392519,0.10571040003560483,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.005,plus,82.97329663209985,0.06976209999993443,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.01,minus,82.9194244120458,0.06126300001051277,3032680152,242366888
near-KI,M0,1,Spot,asset_3,0.01,plus,82.98879207643492,0.08615709998412058,3032680152,242366888
