estimator,greek,asset,asset_index,active_asset,bump,bump_label,estimate_mean,estimate_sd
AC-raw-RQMC,Delta,asset_1,1,False,0.01,1.00% spot,4.14029607842304,0.0790298642784775
AC-raw-RQMC,Delta,asset_2,2,False,0.001,0.10% spot,7.6200364449974645,0.6503375823051631
AC-raw-RQMC,Delta,asset_2,2,False,0.0025,0.25% spot,7.627664109106555,0.25303373597598133
AC-raw-RQMC,Delta,asset_2,2,False,0.005,0.50% spot,7.600204518313772,0.15587730840808503
AC-raw-RQMC,Delta,asset_2,2,False,0.01,1.00% spot,7.3835788576151495,0.09283800001095323
AC-raw-RQMC,Delta,asset_3,3,True,0.001,0.10% spot,13.424688832027535,0.8420056763157415
AC-raw-RQMC,Delta,asset_3,3,True,0.0025,0.25% spot,13.546731457773246,0.3917549276636226
AC-raw-RQMC,Delta,asset_3,3,True,0.005,0.50% spot,13.374346248907443,0.13501209671079495
AC-raw-RQMC,Delta,asset_3,3,True,0.01,1.00% spot,12.574967050273072,0.07347939102805275
AC-raw-RQMC,Gamma,asset_1,1,False,0.001,0.10% spot,-8.23787723783509,8.68134071698964
AC-raw-RQMC,Gamma,asset_1,1,False,0.0025,0.25% spot,-6.56589326511903,2.1448414238404423
AC-raw-RQMC,Gamma,asset_1,1,False,0.005,0.50% spot,-6.98694032394164,0.5429822581493736
AC-raw-RQMC,Gamma,asset_1,1,False,0.01,1.00% spot,-7.734451406634057,0.19258001511651213
AC-raw-RQMC,Gamma,asset_2,2,False,0.001,0.10% spot,-8.695537084382286,19.218646101344
AC-raw-RQMC,Gamma,asset_2,2,False,0.0025,0.25% spot,-6.395033589075054,3.780680156122238
AC-raw-RQMC,Gamma,asset_2,2,False,0.005,0.50% spot,-5.455305370833028,0.9923999252490527
AC-raw-RQMC,Gamma,asset_2,2,False,0.01,1.00% spot,-5.290547826076309,0.2652193397953868
AC-raw-RQMC,Gamma,asset_3,3,True,0.001,0.10% spot,-4.881705029828432,20.028876835806
AC-raw-RQMC,Gamma,asset_3,3,True,0.0025,0.25% spot,-5.516326683705933,5.047598018801536
AC-raw-RQMC,Gamma,asset_3,3,True,0.005,0.50% spot,-5.7909225916337075,1.057408561527296
AC-raw-RQMC,Gamma,asset_3,3,True,0.01,1.00% spot,-5.101381756170468,0.29004066148356206
