scenario,method,greek,asset,asset_index,active_asset,bump,bump_label,reported_unit,replications,estimate_mean,estimate_sd,runtime_seconds_mean,estimate_se
near-KI,M0,Vega,asset_2,2,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.09020541750005862,0.006964402828227368,0.12446167500456795,0.003482201414113684
near-KI,M0,Vega,asset_3,3,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.09005746199028408,0.01282777135475196,0.12236500000290107,0.00641388567737598
near-KI,M0,Vega,asset_3,3,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.09204045614707113,0.012069175209146835,0.12732957501430064,0.0060345876045734175
near-KI,M0,Vega,asset_3,3,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.09150520456670641,0.009502370856892244,0.12543284997809678,0.004751185428446122
near-KI,M3,Delta,asset_1,1,True,0.001,0.10% spot,PV per 1% relative spot move,4,0.8398072240366615,0.25098864709807317,1.166489274983178,0.12549432354903658
near-KI,M3,Delta,asset_1,1,True,0.0025,0.25% spot,PV per 1% relative spot move,4,0.8217566097037547,0.14046561020882647,1.1427861000120174,0.07023280510441324
near-KI,M3,Delta,asset_1,1,True,0.005,0.50% spot,PV per 1% relative spot move,4,0.7750059686377462,0.09928665093773067,1.138360750002903,0.04964332546886534
near-KI,M3,Delta,asset_1,1,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.7517573877609944,0.07125990850846337,1.1193146250006976,0.03562995425423168
near-KI,M3,Delta,asset_2,2,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.03890110075209563,0.01692490314426541,1.111310024978593,0.008462451572132705
near-KI,M3,Delta,asset_2,2,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.037768392734221834,0.011111285467002283,1.1362455250055064,0.005555642733501141
near-KI,M3,Delta,asset_2,2,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.037741543757853435,0.006631642001848505,1.1535231250018114,0.0033158210009242525
near-KI,M3,Delta,asset_2,2,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.04472609530657934,0.015365046753571938,1.1696858250070363,0.007682523376785969
near-KI,M3,Delta,asset_3,3,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.03693421182202172,0.0035377551482283645,1.1260091500007547,0.0017688775741141823
near-KI,M3,Delta,asset_3,3,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.03704384563743446,0.00369975771157101,1.132716749983956,0.001849878855785505
near-KI,M3,Delta,asset_3,3,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.04060102909355123,0.005916096779831745,1.1986810250091366,0.0029580483899158726
near-KI,M3,Delta,asset_3,3,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.046200522798203636,0.005617486822333224,1.2393884249904659,0.002808743411166612
near-KI,M3,Gamma,asset_1,1,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,-2.1855313325289667,2.901636307847299,1.166489274983178,1.4508181539236495
near-KI,M3,Gamma,asset_1,1,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-0.5432425653204973,0.29126421958837495,1.1427861000120174,0.14563210979418748
near-KI,M3,Gamma,asset_1,1,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.2390622901368857,0.10453207622494337,1.138360750002903,0.052266038112471686
near-KI,M3,Gamma,asset_1,1,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.11954565621728007,0.07649934313246702,1.1193146250006976,0.03824967156623351
near-KI,M3,Gamma,asset_2,2,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,0.0927039973003474,0.19108345298618665,1.111310024978593,0.09554172649309332
near-KI,M3,Gamma,asset_2,2,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,0.027721100145981836,0.03383519785706069,1.1362455250055064,0.016917598928530345
near-KI,M3,Gamma,asset_2,2,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,0.011927710456831164,0.013649909421575273,1.1535231250018114,0.0068249547107876365
near-KI,M3,Gamma,asset_2,2,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.017683319975731138,0.030697065074249488,1.1696858250070363,0.015348532537124744
near-KI,M3,Gamma,asset_3,3,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,-0.01210842936671952,0.015461252059577563,1.1260091500007547,0.007730626029788782
near-KI,M3,Gamma,asset_3,3,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-0.011325847837895253,0.009775424462865013,1.132716749983956,0.004887712231432507
near-KI,M3,Gamma,asset_3,3,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,0.0016668914169315485,0.026610788615715964,1.1986810250091366,0.013305394307857982
near-KI,M3,Gamma,asset_3,3,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.010773531409487447,0.015061163433359162,1.2393884249904659,0.007530581716679581
near-KI,M3,Parallel Gamma,parallel,0,False,0.001,0.10% parallel spot,PV per squared 1% parallel relative spot move,4,-2.0735786511455245,3.0036390528181465,1.2011232749791816,1.5018195264090732
near-KI,M3,Parallel Gamma,parallel,0,False,0.0025,0.25% parallel spot,PV per squared 1% parallel relative spot move,4,-0.4998313986299081,0.2781523136747484,1.2042512499901932,0.1390761568373742
near-KI,M3,Parallel Gamma,parallel,0,False,0.005,0.50% parallel spot,PV per squared 1% parallel relative spot move,4,-0.20338469707647278,0.09458012989723497,1.196844574995339,0.04729006494861748
near-KI,M3,Parallel Gamma,parallel,0,False,0.01,1.00% parallel spot,PV per squared 1% parallel relative spot move,4,-0.11668546006196223,0.09121166479891472,1.2179027999809477,0.04560583239945736
near-KI,M3,Parallel Vega,parallel,0,False,0.0025,0.25 parallel vol points,PV per 1 parallel volatility point,4,-0.5799824122293984,0.06430377191506932,1.2208161250018748,0.03215188595753466
near-KI,M3,Parallel Vega,parallel,0,False,0.005,0.50 parallel vol points,PV per 1 parallel volatility point,4,-0.5899676189680036,0.06568112458818728,1.2115239500126336,0.03284056229409364
near-KI,M3,Parallel Vega,parallel,0,False,0.01,1.00 parallel vol points,PV per 1 parallel volatility point,4,-0.5583701897063023,0.0643776479230833,1.2011304749903502,0.03218882396154165
near-KI,M3,Vega,asset_1,1,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.40634168486377575,0.056653272261228786,1.2265850500116358,0.028326636130614393
near-KI,M3,Vega,asset_1,1,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.39364726366013514,0.047335524580268226,1.2581540000101086,0.023667762290134113
near-KI,M3,Vega,asset_1,1,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.3659149833882811,0.04945441575599004,1.2588500999845564,0.02472720787799502
near-KI,M3,Vega,asset_2,2,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.0954384968884554,0.015142483535433463,1.2375401000026613,0.007571241767716732
near-KI,M3,Vega,asset_2,2,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.09951327355077666,0.023845880399432553,1.2142081999918446,0.011922940199716276
near-KI,M3,Vega,asset_2,2,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.0985871517912642,0.023324456945913116,1.2126333249907475,0.011662228472956558
near-KI,M3,Vega,asset_3,3,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.0783984061676648,0.004117630748832917,1.220971325019491,0.0020588153744164586
near-KI,M3,Vega,asset_3,3,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.09856472968120045,0.010414390242527194,1.2100097999791615,0.005207195121263597
near-KI,M3,Vega,asset_3,3,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.09421521960704382,0.009635088330502948,1.2179098749766126,0.004817544165251474
near-autocall,M0,Delta,asset_1,1,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.17835588680396694,0.3724510740837428,0.11454135000531096,0.1862255370418714
near-autocall,M0,Delta,asset_1,1,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.14670486521089288,0.11152578453493005,0.10779197499505244,0.055762892267465024
near-autocall,M0,Delta,asset_1,1,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.14225196358937353,0.05541845917527902,0.10893304999626707,0.02770922958763951
near-autocall,M0,Delta,asset_1,1,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.268303063224403,0.053885429078603254,0.10927975000231527,0.026942714539301627
near-autocall,M0,Delta,asset_2,2,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.6047676301272276,0.4412624791312744,0.1119883000064874,0.2206312395656372
near-autocall,M0,Delta,asset_2,2,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.6436888210048436,0.3968891559914545,0.11083770002005622,0.19844457799572726
near-autocall,M0,Delta,asset_2,2,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.5931813043951486,0.21733439130086296,0.11644102500576992,0.10866719565043148
near-autocall,M0,Delta,asset_2,2,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.5812460015251748,0.19677372236337712,0.10708369998610578,0.09838686118168856
near-autocall,M0,Delta,asset_3,3,True,0.001,0.10% spot,PV per 1% relative spot move,4,0.8580347367790964,0.600142814356494,0.10620547497819643,0.300071407178247
near-autocall,M0,Delta,asset_3,3,True,0.0025,0.25% spot,PV per 1% relative spot move,4,0.9038278425787424,0.13126100242184058,0.10591867497714702,0.06563050121092029
near-autocall,M0,Delta,asset_3,3,True,0.005,0.50% spot,PV per 1% relative spot move,4,0.8521987162828494,0.12112434524786068,0.11232442499022,0.06056217262393034
near-autocall,M0,Delta,asset_3,3,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.8049099406856327,0.19102859024431795,0.11155197501648217,0.09551429512215898
near-autocall,M0,Gamma,asset_1,1,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,-3.634475998263653,7.563108510667303,0.11454135000531096,3.7815542553336514
near-autocall,M0,Gamma,asset_1,1,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-0.37891466232633775,1.7397400548928665,0.10779197499505244,0.8698700274464333
near-autocall,M0,Gamma,asset_1,1,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.3228645813777007,0.3502674252598852,0.10893304999626707,0.1751337126299426
near-autocall,M0,Gamma,asset_1,1,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.43540867880982503,0.15104712183429553,0.10927975000231527,0.07552356091714776
near-autocall,M0,Gamma,asset_2,2,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,5.739906962127605,3.3213827592120935,0.1119883000064874,1.6606913796060467
near-autocall,M0,Gamma,asset_2,2,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-0.1058991997734893,1.3414278518888652,0.11083770002005622,0.6707139259444326
near-autocall,M0,Gamma,asset_2,2,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.359039964108021,0.5441402325427948,0.11644102500576992,0.2720701162713974
near-autocall,M0,Gamma,asset_2,2,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.3283475391441079,0.25834116381964034,0.10708369998610578,0.12917058190982017
near-autocall,M0,Gamma,asset_3,3,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,2.6856305571037353,11.851830495870297,0.10620547497819643,5.925915247935149
near-autocall,M0,Gamma,asset_3,3,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,0.35539138282371135,0.8381901211030156,0.10591867497714702,0.4190950605515078
near-autocall,M0,Gamma,asset_3,3,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.6299720768805342,0.5797776692037118,0.11232442499022,0.2898888346018559
near-autocall,M0,Gamma,asset_3,3,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.2840314530590717,0.25055256231376344,0.11155197501648217,0.12527628115688172
near-autocall,M0,Parallel Gamma,parallel,0,False,0.001,0.10% parallel spot,PV per squared 1% parallel relative spot move,4,7.378744047642272,12.009402825050882,0.1103389499912737,6.004701412525441
near-autocall,M0,Parallel Gamma,parallel,0,False,0.0025,0.25% parallel spot,PV per squared 1% parallel relative spot move,4,1.2380045369749837,1.946933193792779,0.11077785000088625,0.9734665968963895
near-autocall,M0,Parallel Gamma,parallel,0,False,0.005,0.50% parallel spot,PV per squared 1% parallel relative spot move,4,-0.14971629969204514,0.8606149794001241,0.10981157500646077,0.43030748970006205
near-autocall,M0,Parallel Gamma,parallel,0,False,0.01,1.00% parallel spot,PV per squared 1% parallel relative spot move,4,0.19832354013442455,0.2752742577677999,0.10713299998315051,0.13763712888389995
near-autocall,M0,Parallel Vega,parallel,0,False,0.0025,0.25 parallel vol points,PV per 1 parallel volatility point,4,-0.46392045591552034,0.12755054806728713,0.11286932499206159,0.06377527403364357
near-autocall,M0,Parallel Vega,parallel,0,False,0.005,0.50 parallel vol points,PV per 1 parallel volatility point,4,-0.4276548864586438,0.09622092460955615,0.11044457496609539,0.04811046230477808
near-autocall,M0,Parallel Vega,parallel,0,False,0.01,1.00 parallel vol points,PV per 1 parallel volatility point,4,-0.44642049432399133,0.0732366518475825,0.11135677498532459,0.03661832592379125
near-autocall,M0,Vega,asset_1,1,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.0465964863801247,0.041749593077442256,0.10774872500041965,0.020874796538721128
near-autocall,M0,Vega,asset_1,1,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.023600175015033642,0.019711007081388666,0.1090107249765424,0.009855503540694333
near-autocall,M0,Vega,asset_1,1,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.022663799528718442,0.012151531496020747,0.11058279999997467,0.006075765748010374
near-autocall,M0,Vega,asset_2,2,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.2542411179198041,0.07886425947162116,0.1085321249847766,0.03943212973581058
near-autocall,M0,Vega,asset_2,2,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.23981989526634706,0.04695773256962337,0.10897892498178408,0.023478866284811686
near-autocall,M0,Vega,asset_2,2,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.25132411187538395,0.03370405989560446,0.11640485000680201,0.01685202994780223
near-autocall,M0,Vega,asset_3,3,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.18505259031301335,0.06620162236123343,0.11044507499900647,0.03310081118061672
near-autocall,M0,Vega,asset_3,3,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.15478013676164792,0.05256741392504004,0.1121773249906255,0.02628370696252002
near-autocall,M0,Vega,asset_3,3,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.16170512552934646,0.035700930048332045,0.10869827501301188,0.017850465024166023
near-autocall,M3,Delta,asset_1,1,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.07451299427330582,0.15002597136949153,0.5776147249853238,0.07501298568474576
near-autocall,M3,Delta,asset_1,1,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.16481085915201987,0.19570109165658617,0.5840723250294104,0.09785054582829308
near-autocall,M3,Delta,asset_1,1,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.21996445205100557,0.1600763270067166,0.5846288000175264,0.0800381635033583
near-autocall,M3,Delta,asset_1,1,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.30391828724607706,0.11270279396846707,0.6082590500009246,0.05635139698423353
near-autocall,M3,Delta,asset_2,2,False,0.001,0.10% spot,PV per 1% relative spot move,4,0.6191379061164071,0.5126898307870288,0.6047043500147993,0.2563449153935144
near-autocall,M3,Delta,asset_2,2,False,0.0025,0.25% spot,PV per 1% relative spot move,4,0.6239612180942159,0.16638238768314048,0.605907949997345,0.08319119384157024
near-autocall,M3,Delta,asset_2,2,False,0.005,0.50% spot,PV per 1% relative spot move,4,0.6437250897111717,0.25757314467253317,0.6004191250103759,0.12878657233626659
near-autocall,M3,Delta,asset_2,2,False,0.01,1.00% spot,PV per 1% relative spot move,4,0.5973431498128026,0.1195436180089492,0.6180078750039684,0.0597718090044746
near-autocall,M3,Delta,asset_3,3,True,0.001,0.10% spot,PV per 1% relative spot move,4,1.0564905082018683,0.5924486481084397,0.6047573500109138,0.29622432405421983
near-autocall,M3,Delta,asset_3,3,True,0.0025,0.25% spot,PV per 1% relative spot move,4,1.0202263438386723,0.16231132651566527,0.5996276500081876,0.08115566325783263
near-autocall,M3,Delta,asset_3,3,True,0.005,0.50% spot,PV per 1% relative spot move,4,1.2494357854415907,0.35396758066825906,0.6022671249957057,0.17698379033412953
near-autocall,M3,Delta,asset_3,3,True,0.01,1.00% spot,PV per 1% relative spot move,4,0.9143863388162109,0.2436042229480019,0.6130331750027835,0.12180211147400095
near-autocall,M3,Gamma,asset_1,1,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,-1.9443159926446183,3.8002862790521834,0.5776147249853238,1.9001431395260917
near-autocall,M3,Gamma,asset_1,1,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-0.6521785956694544,1.771688651687881,0.5840723250294104,0.8858443258439405
near-autocall,M3,Gamma,asset_1,1,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.6866645868256427,0.7284530080766102,0.5846288000175264,0.3642265040383051
near-autocall,M3,Gamma,asset_1,1,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.5523389303237707,0.2809600019102223,0.6082590500009246,0.14048000095511115
near-autocall,M3,Gamma,asset_2,2,False,0.001,0.10% spot,PV per squared 1% relative spot move,4,-11.462415401627622,12.964646500613226,0.6047043500147993,6.482323250306613
near-autocall,M3,Gamma,asset_2,2,False,0.0025,0.25% spot,PV per squared 1% relative spot move,4,-1.8748736351824955,2.469424386115289,0.605907949997345,1.2347121930576446
near-autocall,M3,Gamma,asset_2,2,False,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.6347524023247927,1.205636654043845,0.6004191250103759,0.6028183270219225
near-autocall,M3,Gamma,asset_2,2,False,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.417159284668056,0.23203092706363912,0.6180078750039684,0.11601546353181956
near-autocall,M3,Gamma,asset_3,3,True,0.001,0.10% spot,PV per squared 1% relative spot move,4,1.8200966421822784,12.39454927291181,0.6047573500109138,6.197274636455905
near-autocall,M3,Gamma,asset_3,3,True,0.0025,0.25% spot,PV per squared 1% relative spot move,4,1.4519625073820632,3.8755562557764756,0.5996276500081876,1.9377781278882378
near-autocall,M3,Gamma,asset_3,3,True,0.005,0.50% spot,PV per squared 1% relative spot move,4,-0.9019061544215671,1.5508237537988798,0.6022671249957057,0.7754118768994399
near-autocall,M3,Gamma,asset_3,3,True,0.01,1.00% spot,PV per squared 1% relative spot move,4,-0.5049228090011652,0.39823183415539753,0.6130331750027835,0.19911591707769877
near-autocall,M3,Parallel Gamma,parallel,0,False,0.001,0.10% parallel spot,PV per squared 1% parallel relative spot move,4,-9.89147305049336,7.804934697535612,0.6075924750039121,3.902467348767806
near-autocall,M3,Parallel Gamma,parallel,0,False,0.0025,0.25% parallel spot,PV per squared 1% parallel relative spot move,4,-0.03046764260705004,6.3472502824855646,0.5989129999943543,3.1736251412427823
near-autocall,M3,Parallel Gamma,parallel,0,False,0.005,0.50% parallel spot,PV per squared 1% parallel relative spot move,4,-0.7951254511783504,2.4785991346663003,0.5840406250208616,1.2392995673331502
near-autocall,M3,Parallel Gamma,parallel,0,False,0.01,1.00% parallel spot,PV per squared 1% parallel relative spot move,4,-0.22899796408747974,0.5783975344286503,0.5767304249893641,0.28919876721432514
near-autocall,M3,Parallel Vega,parallel,0,False,0.0025,0.25 parallel vol points,PV per 1 parallel volatility point,4,-0.4337655383349528,0.04342857168757055,0.5944201499951305,0.021714285843785274
near-autocall,M3,Parallel Vega,parallel,0,False,0.005,0.50 parallel vol points,PV per 1 parallel volatility point,4,-0.42908672256518443,0.02725812558135751,0.6019172249943949,0.013629062790678754
near-autocall,M3,Parallel Vega,parallel,0,False,0.01,1.00 parallel vol points,PV per 1 parallel volatility point,4,-0.3991707609563786,0.01558767868291041,0.6041146499774186,0.007793839341455205
near-autocall,M3,Vega,asset_1,1,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.03075878988732228,0.024051501105837213,0.6000732749962481,0.012025750552918607
near-autocall,M3,Vega,asset_1,1,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.020836128517473185,0.012408826116483397,0.6022585250029806,0.0062044130582416986
near-autocall,M3,Vega,asset_1,1,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.01814339876225901,0.008838499845219365,0.6059176249837037,0.004419249922609682
near-autocall,M3,Vega,asset_2,2,False,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.23340669534118064,0.02933533400400717,0.6072530500096036,0.014667667002003585
near-autocall,M3,Vega,asset_2,2,False,0.005,0.50 vol points,PV per 1 volatility point,4,-0.2290755648936198,0.04529644347840736,0.5952369000151521,0.02264822173920368
near-autocall,M3,Vega,asset_2,2,False,0.01,1.00 vol points,PV per 1 volatility point,4,-0.2202269216528432,0.03169895141881627,0.6004307000112021,0.015849475709408135
near-autocall,M3,Vega,asset_3,3,True,0.0025,0.25 vol points,PV per 1 volatility point,4,-0.16562281916304755,0.0469653078994702,0.6036829500080785,0.0234826539497351
near-autocall,M3,Vega,asset_3,3,True,0.005,0.50 vol points,PV per 1 volatility point,4,-0.17568432398224587,0.02944446006226533,0.6107339250011137,0.014722230031132665
near-autocall,M3,Vega,asset_3,3,True,0.01,1.00 vol points,PV per 1 volatility point,4,-0.15735740754170813,0.03050309734623584,0.5914006999810226,0.01525154867311792
