estimator,replication,bump,direction,value,path_sd,call_probability,runtime_seconds,method,smooth,n_paths,seed,probability_clipping_rate,orthogonality_error,correlation_error,minimum_final_loading,asset
AC-raw-MC,0,0.0,base,36.05139164528124,48.01230500799401,0.360595703125,0.0019038000027649105,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,
AC-raw-MC,0,0.001,minus,35.95375754468468,47.983848611990155,0.359619140625,0.0014750999980606139,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.001,plus,36.22225132132523,48.06158579575039,0.3623046875,0.0013471999554894865,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.0025,minus,35.56322114229842,47.86786202099478,0.355712890625,0.0011611999943852425,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.0025,plus,36.295476896772655,48.08250476591133,0.363037109375,0.001108700002077967,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.005,minus,34.074301108200814,47.39354019111312,0.3408203125,0.0008007999858818948,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.005,plus,36.34429394707094,48.09638374059329,0.363525390625,0.0011346000246703625,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.01,minus,28.362706223301828,45.07416376898302,0.28369140625,0.0013944999664090574,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.01,plus,36.36870247222008,48.103303143722904,0.36376953125,0.0008578000124543905,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_1
AC-raw-MC,0,0.001,minus,35.22150179021044,47.76352272792545,0.352294921875,0.0009450999787077308,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,0,0.001,plus,37.125366751843444,48.31119534818317,0.371337890625,0.0011375999893061817,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,0,0.0025,minus,33.756990281261984,47.28577881697413,0.337646484375,0.0009693999891169369,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,0,0.0025,plus,38.07729923265994,48.5547232723661,0.380859375,0.0010707000037655234,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,0,0.005,minus,31.5602230178393,46.47349889239544,0.315673828125,0.0012815000372938812,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,0,0.005,plus,39.20009138952042,48.81654102471253,0.39208984375,0.0011620000004768372,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,0,0.01,minus,25.799811082642023,43.75194890720726,0.258056640625,0.000999899988528341,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
AC-raw-MC,0,0.01,plus,40.71341994876717,49.12662440530739,0.4072265625,0.0008666999638080597,mc,False,4096,2159189034,0.0,6.661338147750939e-16,6.661338147750939e-16,0.9303046433167848,asset_2
