Method,Barrier ratio,Replication,Spot bump,Gamma
Conditioned MC,0.95,21,0.001,0.01373289722463866
Conditioned MC,0.95,21,0.0025,0.013677056278709188
Conditioned MC,0.95,21,0.005,0.013666440488371734
Conditioned MC,0.95,21,0.01,0.013828468620533663
Direct MC,0.7,22,0.001,0.020649259278471273
Direct MC,0.7,22,0.0025,0.019383623852604615
Direct MC,0.7,22,0.005,0.021509857014237355
Direct MC,0.7,22,0.01,0.021194058659862236
Conditioned MC,0.7,22,0.001,0.020335251215009006
Conditioned MC,0.7,22,0.0025,0.019303902816233176
Conditioned MC,0.7,22,0.005,0.020641104817080702
Conditioned MC,0.7,22,0.01,0.02093071657306922
Direct MC,0.85,22,0.001,-0.06163149937865596
Direct MC,0.85,22,0.0025,-0.0043744650924963935
Direct MC,0.85,22,0.005,0.009620224452994819
Direct MC,0.85,22,0.01,0.01857373532686246
Conditioned MC,0.85,22,0.001,0.01600261266396785
Conditioned MC,0.85,22,0.0025,0.017115713257396692
Conditioned MC,0.85,22,0.005,0.01756821151206367
Conditioned MC,0.85,22,0.01,0.017817778981258137
Direct MC,0.95,22,0.001,-0.7825604446508371
Direct MC,0.95,22,0.0025,-0.0036259696291836008
Direct MC,0.95,22,0.005,0.06835327109828171
Direct MC,0.95,22,0.01,-0.015316235095553132
Conditioned MC,0.95,22,0.001,0.014701534210814767
Conditioned MC,0.95,22,0.0025,0.014534162718092603
Conditioned MC,0.95,22,0.005,0.014518552247700711
Conditioned MC,0.95,22,0.01,0.01467000071494784
Direct MC,0.7,23,0.001,0.024201154533720622
Direct MC,0.7,23,0.0025,0.0232176074164272
Direct MC,0.7,23,0.005,0.022118311241548838
Direct MC,0.7,23,0.01,0.021500004362817293
Conditioned MC,0.7,23,0.001,0.024627017162792694
Conditioned MC,0.7,23,0.0025,0.02327179977012861
Conditioned MC,0.7,23,0.005,0.02223900119859934
Conditioned MC,0.7,23,0.01,0.021576418527933683
Direct MC,0.85,23,0.001,0.004305365970758145
Direct MC,0.85,23,0.0025,0.005032313661956778
Direct MC,0.85,23,0.005,0.01205015886719707
Direct MC,0.85,23,0.01,0.017698762179444216
Conditioned MC,0.85,23,0.001,0.02107938988729074
Conditioned MC,0.85,23,0.0025,0.019503753897083698
Conditioned MC,0.85,23,0.005,0.01847743060717022
Conditioned MC,0.85,23,0.01,0.018020872375284824
Direct MC,0.95,23,0.001,1.2862215130554409
Direct MC,0.95,23,0.0025,0.007958963668286856
Direct MC,0.95,23,0.005,-0.0036300414572991713
Direct MC,0.95,23,0.01,0.06255827574471251
Conditioned MC,0.95,23,0.001,0.013468411495320961
Conditioned MC,0.95,23,0.0025,0.013524279686620844
Conditioned MC,0.95,23,0.005,0.013600818215479649
Conditioned MC,0.95,23,0.01,0.013759094554764317
Direct RQMC,0.7,0,0.001,0.02118236965777953
Direct RQMC,0.7,0,0.0025,0.020152057220201414
Direct RQMC,0.7,0,0.005,0.019374822866694785
Direct RQMC,0.7,0,0.01,0.02014365598371448
Conditioned RQMC,0.7,0,0.001,0.020346130983917018
Conditioned RQMC,0.7,0,0.0025,0.01982575485169491
Conditioned RQMC,0.7,0,0.005,0.019330836011555164
Conditioned RQMC,0.7,0,0.01,0.020141242833862094
Direct RQMC,0.85,0,0.001,0.039844526913057614
Direct RQMC,0.85,0,0.0025,0.06647600843919577
Direct RQMC,0.85,0,0.005,0.03749601485200316
Direct RQMC,0.85,0,0.01,0.0302640281667923
Conditioned RQMC,0.85,0,0.001,0.016244971618917244
Conditioned RQMC,0.85,0,0.0025,0.01674096653084689
Conditioned RQMC,0.85,0,0.005,0.01726970466858546
Conditioned RQMC,0.85,0,0.01,0.01783615074418954
Direct RQMC,0.95,0,0.001,2.0375610265429773
Direct RQMC,0.95,0,0.0025,0.1300636829326578
Direct RQMC,0.95,0,0.005,-0.029306998593774836
Direct RQMC,0.95,0,0.01,0.007295433296762077
Conditioned RQMC,0.95,0,0.001,0.014144727121312425
Conditioned RQMC,0.95,0,0.0025,0.014253530571963324
Conditioned RQMC,0.95,0,0.005,0.014291023691331617
Conditioned RQMC,0.95,0,0.01,0.014387617121915497
Direct RQMC,0.7,1,0.001,0.021228463453759613
Direct RQMC,0.7,1,0.0025,0.0213864269217936
Direct RQMC,0.7,1,0.005,0.021149820708281197
Direct RQMC,0.7,1,0.01,0.020577193414178296
Conditioned RQMC,0.7,1,0.001,0.020362967118536798
Conditioned RQMC,0.7,1,0.0025,0.021219148856516767
Conditioned RQMC,0.7,1,0.005,0.021080674083883366
Conditioned RQMC,0.7,1,0.01,0.020514700896280047
Direct RQMC,0.85,1,0.001,0.19040508541099396
Direct RQMC,0.85,1,0.0025,0.018143555751976237
Direct RQMC,0.85,1,0.005,0.005027319944218789
Direct RQMC,0.85,1,0.01,0.022307643628078466
Conditioned RQMC,0.85,1,0.001,0.01908546984665804
Conditioned RQMC,0.85,1,0.0025,0.018008694534358938
Conditioned RQMC,0.85,1,0.005,0.01785075045014395
Conditioned RQMC,0.85,1,0.01,0.017886122258900627
Direct RQMC,0.95,1,0.001,0.5972928239089014
Direct RQMC,0.95,1,0.0025,0.06893260433028559
Direct RQMC,0.95,1,0.005,0.0664540917397538
Direct RQMC,0.95,1,0.01,0.04167675413575633
Conditioned RQMC,0.95,1,0.001,0.015164030913350498
Conditioned RQMC,0.95,1,0.0025,0.01502446772536814
Conditioned RQMC,0.95,1,0.005,0.014973841002255739
Conditioned RQMC,0.95,1,0.01,0.015034275527153085
Direct RQMC,0.7,2,0.001,0.020283232025519734
Direct RQMC,0.7,2,0.0025,0.02145268996329719
Direct RQMC,0.7,2,0.005,0.021750382562423454
Direct RQMC,0.7,2,0.01,0.021292789420108704
Conditioned RQMC,0.7,2,0.001,0.020332913872245225
Conditioned RQMC,0.7,2,0.0025,0.02138101040759466
Conditioned RQMC,0.7,2,0.005,0.02182562811105271
Conditioned RQMC,0.7,2,0.01,0.021444897819142383
Direct RQMC,0.85,2,0.001,-0.18332153986850838
Direct RQMC,0.85,2,0.0025,-0.0004375963547147421
Direct RQMC,0.85,2,0.005,0.010336550539449263
Direct RQMC,0.85,2,0.01,0.020816943896630136
Conditioned RQMC,0.85,2,0.001,0.01584299298791336
Conditioned RQMC,0.85,2,0.0025,0.01748578445108251
Conditioned RQMC,0.85,2,0.005,0.017943507297495387
Conditioned RQMC,0.85,2,0.01,0.017590469216790083
Direct RQMC,0.95,2,0.001,-0.9770461206177747
Direct RQMC,0.95,2,0.0025,-0.10966558100570012
Direct RQMC,0.95,2,0.005,-0.05375774942104883
Direct RQMC,0.95,2,0.01,0.0026211348318678773
Conditioned RQMC,0.95,2,0.001,0.014515961889038916
Conditioned RQMC,0.95,2,0.0025,0.014584009210935278
Conditioned RQMC,0.95,2,0.005,0.014567807719505055
Conditioned RQMC,0.95,2,0.01,0.01460415001872839
Direct RQMC,0.7,3,0.001,0.028813761117163487
Direct RQMC,0.7,3,0.0025,0.02421957720960677
Direct RQMC,0.7,3,0.005,0.022190389441803404
Direct RQMC,0.7,3,0.01,0.0215699056315799
Conditioned RQMC,0.7,3,0.001,0.029167499408089263
Conditioned RQMC,0.7,3,0.0025,0.02408560638923518
Conditioned RQMC,0.7,3,0.005,0.02211501423160911
Conditioned RQMC,0.7,3,0.01,0.0215463501439892
Direct RQMC,0.85,3,0.001,-0.18706504586667447
Direct RQMC,0.85,3,0.0025,0.07217633028906789
Direct RQMC,0.85,3,0.005,0.02947102133529711
Direct RQMC,0.85,3,0.01,0.015958940927790266
Conditioned RQMC,0.85,3,0.001,0.02118914016300266
Conditioned RQMC,0.85,3,0.0025,0.01976530994221548
Conditioned RQMC,0.85,3,0.005,0.019024880156692348
Conditioned RQMC,0.85,3,0.01,0.019159403891912064
Direct RQMC,0.95,3,0.001,0.3885353456793083
Direct RQMC,0.95,3,0.0025,0.2098622258188101
Direct RQMC,0.95,3,0.005,0.03247358966852687
Direct RQMC,0.95,3,0.01,0.0188061181839414
Conditioned RQMC,0.95,3,0.001,0.014044974636107096
Conditioned RQMC,0.95,3,0.0025,0.013902796333283618
Conditioned RQMC,0.95,3,0.005,0.013966209096420101
Conditioned RQMC,0.95,3,0.01,0.014090189505777673
Direct RQMC,0.7,4,0.001,0.020406854022603223
Direct RQMC,0.7,4,0.0025,0.02009747635318604
Direct RQMC,0.7,4,0.005,0.020117389315238654
Direct RQMC,0.7,4,0.01,0.02041003901054772
Conditioned RQMC,0.7,4,0.001,0.0196616260177862
Conditioned RQMC,0.7,4,0.0025,0.019526467011758086
Conditioned RQMC,0.7,4,0.005,0.02008064539256793
Conditioned RQMC,0.7,4,0.01,0.020405727362872383
Direct RQMC,0.85,4,0.001,0.09511657999787813
Direct RQMC,0.85,4,0.0025,-0.04276379555346921
Direct RQMC,0.85,4,0.005,-0.0002736466570780749
Direct RQMC,0.85,4,0.01,0.01064441703075314
Conditioned RQMC,0.85,4,0.001,0.018075462802258354
Conditioned RQMC,0.85,4,0.0025,0.016265300765326174
Conditioned RQMC,0.85,4,0.005,0.016653210804115304
Conditioned RQMC,0.85,4,0.01,0.017261470490300468
Direct RQMC,0.95,4,0.001,1.2896598486687336
Direct RQMC,0.95,4,0.0025,-0.010372591827760402
Direct RQMC,0.95,4,0.005,-0.05149890197802165
Direct RQMC,0.95,4,0.01,0.007798661932004514
Conditioned RQMC,0.95,4,0.001,0.014446536799894712
Conditioned RQMC,0.95,4,0.0025,0.014272979398938901
Conditioned RQMC,0.95,4,0.005,0.014327955336444376
Conditioned RQMC,0.95,4,0.01,0.014482013596149201
Direct RQMC,0.7,5,0.001,0.021281545421558686
Direct RQMC,0.7,5,0.0025,0.02166112033535228
Direct RQMC,0.7,5,0.005,0.021567943815504975
Direct RQMC,0.7,5,0.01,0.020997773215674087
Conditioned RQMC,0.7,5,0.001,0.021523756630514864
Conditioned RQMC,0.7,5,0.0025,0.02197505327245608
Conditioned RQMC,0.7,5,0.005,0.021696341660359053
Conditioned RQMC,0.7,5,0.01,0.021077063977415378
Direct RQMC,0.85,5,0.001,0.02114605292167226
Direct RQMC,0.85,5,0.0025,-0.10525386618937205
Direct RQMC,0.85,5,0.005,0.01291486271362885
Direct RQMC,0.85,5,0.01,0.02141072416098222
Conditioned RQMC,0.85,5,0.001,0.018896132597667755
Conditioned RQMC,0.85,5,0.0025,0.01926800850122845
Conditioned RQMC,0.85,5,0.005,0.018838372271957837
Conditioned RQMC,0.85,5,0.01,0.01816106253903005
Direct RQMC,0.95,5,0.001,-0.6569432293619392
Direct RQMC,0.95,5,0.0025,-0.18982780962024037
Direct RQMC,0.95,5,0.005,0.05775850934809412
Direct RQMC,0.95,5,0.01,0.005140756228184884
Conditioned RQMC,0.95,5,0.001,0.014434298021370747
Conditioned RQMC,0.95,5,0.0025,0.014375985359421861
Conditioned RQMC,0.95,5,0.005,0.014306791175059175
Conditioned RQMC,0.95,5,0.01,0.014434202448928346
Direct RQMC,0.7,6,0.001,0.021939340281384997
Direct RQMC,0.7,6,0.0025,0.020260663010674307
Direct RQMC,0.7,6,0.005,0.019936434169835593
Direct RQMC,0.7,6,0.01,0.019933375323722302
Conditioned RQMC,0.7,6,0.001,0.02176836671026194
Conditioned RQMC,0.7,6,0.0025,0.020168481696344998
Conditioned RQMC,0.7,6,0.005,0.019903570436611062
Conditioned RQMC,0.7,6,0.01,0.019887872678168605
Direct RQMC,0.85,6,0.001,-0.1253425099326577
Direct RQMC,0.85,6,0.0025,-0.043157257033698215
Direct RQMC,0.85,6,0.005,0.014965385547533572
Direct RQMC,0.85,6,0.01,0.010882906325657693
Conditioned RQMC,0.85,6,0.001,0.02112677973968857
Conditioned RQMC,0.85,6,0.0025,0.019412130795330995
Conditioned RQMC,0.85,6,0.005,0.018835480819312522
Conditioned RQMC,0.85,6,0.01,0.018142868439989357
Direct RQMC,0.95,6,0.001,1.5985643838237527
Direct RQMC,0.95,6,0.0025,-0.0055850153859040574
Direct RQMC,0.95,6,0.005,0.0021117079839108044
Direct RQMC,0.95,6,0.01,0.031106383989706998
Conditioned RQMC,0.95,6,0.001,0.014354458622189977
Conditioned RQMC,0.95,6,0.0025,0.014593323277821924
Conditioned RQMC,0.95,6,0.005,0.014622386609715932
Conditioned RQMC,0.95,6,0.01,0.014729824289524629
Direct RQMC,0.7,7,0.001,0.023470113264778544
Direct RQMC,0.7,7,0.0025,0.023360681213659973
Direct RQMC,0.7,7,0.005,0.02278652200072173
Direct RQMC,0.7,7,0.01,0.022466386248577663
Conditioned RQMC,0.7,7,0.001,0.023315562275882936
Conditioned RQMC,0.7,7,0.0025,0.02333599327297975
Conditioned RQMC,0.7,7,0.005,0.022747467012735
Conditioned RQMC,0.7,7,0.01,0.022444620126597314
Direct RQMC,0.85,7,0.001,0.18245424922245232
Direct RQMC,0.85,7,0.0025,0.009262132068244
Direct RQMC,0.85,7,0.005,0.026339983636120223
Direct RQMC,0.85,7,0.01,0.03121390646403377
Conditioned RQMC,0.85,7,0.001,0.02023946269140708
Conditioned RQMC,0.85,7,0.0025,0.019591389289530525
Conditioned RQMC,0.85,7,0.005,0.018728019105900273
Conditioned RQMC,0.85,7,0.01,0.017926063971319017
Direct RQMC,0.95,7,0.001,-0.11077802698586933
Direct RQMC,0.95,7,0.0025,0.07482736696337611
Direct RQMC,0.95,7,0.005,0.051573378256382085
Direct RQMC,0.95,7,0.01,0.06782557703861958
Conditioned RQMC,0.95,7,0.001,0.014846630769405064
Conditioned RQMC,0.95,7,0.0025,0.014567210358222837
Conditioned RQMC,0.95,7,0.005,0.01445368032858596
Conditioned RQMC,0.95,7,0.01,0.014482772107082376
Direct RQMC,0.7,8,0.001,0.026508894725907336
Direct RQMC,0.7,8,0.0025,0.023406186879981306
Direct RQMC,0.7,8,0.005,0.022744005435292536
Direct RQMC,0.7,8,0.01,0.02183097442772386
Conditioned RQMC,0.7,8,0.001,0.0260844456162701
Conditioned RQMC,0.7,8,0.0025,0.023169320847785002
Conditioned RQMC,0.7,8,0.005,0.0225772141554188
Conditioned RQMC,0.7,8,0.01,0.02172659110204478
Direct RQMC,0.85,8,0.001,0.23465545723535536
Direct RQMC,0.85,8,0.0025,0.13767202684675794
Direct RQMC,0.85,8,0.005,0.06911246437975649
Direct RQMC,0.85,8,0.01,0.03534485095285955
Conditioned RQMC,0.85,8,0.001,0.01915381364554491
Conditioned RQMC,0.85,8,0.0025,0.018734221037703946
Conditioned RQMC,0.85,8,0.005,0.019064671551660695
Conditioned RQMC,0.85,8,0.01,0.01880908009077409
Direct RQMC,0.95,8,0.001,0.5397820602178526
Direct RQMC,0.95,8,0.0025,0.15280086059254927
Direct RQMC,0.95,8,0.005,0.08765212048098903
Direct RQMC,0.95,8,0.01,0.04098076111890858
Conditioned RQMC,0.95,8,0.001,0.013994810440731694
Conditioned RQMC,0.95,8,0.0025,0.014123954599980948
Conditioned RQMC,0.95,8,0.005,0.014261785864118082
Conditioned RQMC,0.95,8,0.01,0.014433570981498
Direct RQMC,0.7,9,0.001,0.01984871934705978
Direct RQMC,0.7,9,0.0025,0.019332513603018242
Direct RQMC,0.7,9,0.005,0.01992301588647649
Direct RQMC,0.7,9,0.01,0.020068960828304228
Conditioned RQMC,0.7,9,0.001,0.0196172681171447
Conditioned RQMC,0.7,9,0.0025,0.01928794599754724
Conditioned RQMC,0.7,9,0.005,0.01995144958072359
Conditioned RQMC,0.7,9,0.01,0.020065079089487625
Direct RQMC,0.85,9,0.001,-0.1982025195436776
Direct RQMC,0.85,9,0.0025,-0.02716464129173346
Direct RQMC,0.85,9,0.005,-0.018278223518713332
Direct RQMC,0.85,9,0.01,0.012822087978237917
Conditioned RQMC,0.85,9,0.001,0.017660522711615553
Conditioned RQMC,0.85,9,0.0025,0.017103572542026768
Conditioned RQMC,0.85,9,0.005,0.016766049540265726
Conditioned RQMC,0.85,9,0.01,0.01693657040289942
Direct RQMC,0.95,9,0.001,-0.33952158526204806
Direct RQMC,0.95,9,0.0025,-0.17117980577742742
Direct RQMC,0.95,9,0.005,-0.04142194898244966
Direct RQMC,0.95,9,0.01,0.014217313490065386
Conditioned RQMC,0.95,9,0.001,0.013927874633434808
Conditioned RQMC,0.95,9,0.0025,0.014035297441893135
Conditioned RQMC,0.95,9,0.005,0.014053736581640663
Conditioned RQMC,0.95,9,0.01,0.014156015671526134
Direct RQMC,0.7,10,0.001,0.024789823054760515
Direct RQMC,0.7,10,0.0025,0.023864352159222335
Direct RQMC,0.7,10,0.005,0.022696427697589172
Direct RQMC,0.7,10,0.01,0.022358194118892172
Conditioned RQMC,0.7,10,0.001,0.02552195950791258
Conditioned RQMC,0.7,10,0.0025,0.02402124374660275
Conditioned RQMC,0.7,10,0.005,0.022814163199775805
Conditioned RQMC,0.7,10,0.01,0.02241273446445291
Direct RQMC,0.85,10,0.001,-0.03899135631932892
Direct RQMC,0.85,10,0.0025,0.09385249283528196
Direct RQMC,0.85,10,0.005,0.04701521698537903
Direct RQMC,0.85,10,0.01,0.0238957134356772
Conditioned RQMC,0.85,10,0.001,0.017839411331266316
Conditioned RQMC,0.85,10,0.0025,0.01808183010183484
Conditioned RQMC,0.85,10,0.005,0.018210374823070197
Conditioned RQMC,0.85,10,0.01,0.018144605189330143
Direct RQMC,0.95,10,0.001,-0.1662486991559575
Direct RQMC,0.95,10,0.0025,-0.46289889582294563
Direct RQMC,0.95,10,0.005,-0.010739787832044101
Direct RQMC,0.95,10,0.01,-0.0211817264916494
Conditioned RQMC,0.95,10,0.001,0.014521513123888493
Conditioned RQMC,0.95,10,0.0025,0.014491650576815118
Conditioned RQMC,0.95,10,0.005,0.01444856572954123
Conditioned RQMC,0.95,10,0.01,0.014623666928975432
Direct RQMC,0.7,11,0.001,0.020560218035292618
Direct RQMC,0.7,11,0.0025,0.02193070103953687
Direct RQMC,0.7,11,0.005,0.02293867029415253
Direct RQMC,0.7,11,0.01,0.022646803502855306
Conditioned RQMC,0.7,11,0.001,0.02075975276234487
Conditioned RQMC,0.7,11,0.0025,0.022105065090272547
Conditioned RQMC,0.7,11,0.005,0.0230447578210331
Conditioned RQMC,0.7,11,0.01,0.022658785526068925
Direct RQMC,0.85,11,0.001,-0.21980326810560052
Direct RQMC,0.85,11,0.0025,0.010709786873405847
Direct RQMC,0.85,11,0.005,0.024814676506913713
Direct RQMC,0.85,11,0.01,0.022140670597043943
Conditioned RQMC,0.85,11,0.001,0.019119136010026235
Conditioned RQMC,0.85,11,0.0025,0.017924291915761614
Conditioned RQMC,0.85,11,0.005,0.01805725354106613
Conditioned RQMC,0.85,11,0.01,0.01813077918944561
Direct RQMC,0.95,11,0.001,2.411547887294762
Direct RQMC,0.95,11,0.0025,0.3705799054471015
Direct RQMC,0.95,11,0.005,-0.0015199588142102982
Direct RQMC,0.95,11,0.01,0.007723465814649444
Conditioned RQMC,0.95,11,0.001,0.01449271711910782
Conditioned RQMC,0.95,11,0.0025,0.014471547601132784
Conditioned RQMC,0.95,11,0.005,0.01448590052948262
Conditioned RQMC,0.95,11,0.01,0.01460694868267165
Direct RQMC,0.7,12,0.001,0.02221658606043064
Direct RQMC,0.7,12,0.0025,0.021180296369749385
Direct RQMC,0.7,12,0.005,0.02066559476673291
Direct RQMC,0.7,12,0.01,0.020421128858476578
Conditioned RQMC,0.7,12,0.001,0.022026440003308775
Conditioned RQMC,0.7,12,0.0025,0.021083305987076528
Conditioned RQMC,0.7,12,0.005,0.020769315663002885
Conditioned RQMC,0.7,12,0.01,0.020472737968617594
Direct RQMC,0.85,12,0.001,-0.33526668243197827
Direct RQMC,0.85,12,0.0025,-0.06971591029753199
Direct RQMC,0.85,12,0.005,-0.015211561459381073
Direct RQMC,0.85,12,0.01,-0.001666709908716868
Conditioned RQMC,0.85,12,0.001,0.01712308454830946
Conditioned RQMC,0.85,12,0.0025,0.016279626068779862
Conditioned RQMC,0.85,12,0.005,0.016471769927711932
Conditioned RQMC,0.85,12,0.01,0.017140648821889926
Direct RQMC,0.95,12,0.001,1.0142616341270558
Direct RQMC,0.95,12,0.0025,0.3167660119968616
Direct RQMC,0.95,12,0.005,0.11245499749252374
Direct RQMC,0.95,12,0.01,0.02272448357868395
Conditioned RQMC,0.95,12,0.001,0.014213256397965775
Conditioned RQMC,0.95,12,0.0025,0.014222543983109404
Conditioned RQMC,0.95,12,0.005,0.014220662800759953
Conditioned RQMC,0.95,12,0.01,0.014397966733957546
Direct RQMC,0.7,13,0.001,0.021920260873997673
Direct RQMC,0.7,13,0.0025,0.021860869881010103
Direct RQMC,0.7,13,0.005,0.022452412760301854
Direct RQMC,0.7,13,0.01,0.02225651678220153
Conditioned RQMC,0.7,13,0.001,0.021657336426983417
Conditioned RQMC,0.7,13,0.0025,0.021749780986993983
Conditioned RQMC,0.7,13,0.005,0.022471959887504056
Conditioned RQMC,0.7,13,0.01,0.02226043242542808
Direct RQMC,0.85,13,0.001,0.2815615067454757
Direct RQMC,0.85,13,0.0025,0.1517398829894887
Direct RQMC,0.85,13,0.005,0.042415251329607884
Direct RQMC,0.85,13,0.01,0.03254530836451863
Conditioned RQMC,0.85,13,0.001,0.019986782661085552
Conditioned RQMC,0.85,13,0.0025,0.018005177556148055
Conditioned RQMC,0.85,13,0.005,0.017922696151515538
Conditioned RQMC,0.85,13,0.01,0.01792761687285438
Direct RQMC,0.95,13,0.001,1.112644258591011
Direct RQMC,0.95,13,0.0025,0.5406653483802444
Direct RQMC,0.95,13,0.005,0.1378928357327922
Direct RQMC,0.95,13,0.01,0.06522611550118906
Conditioned RQMC,0.95,13,0.001,0.015047820146651954
Conditioned RQMC,0.95,13,0.0025,0.014956445713181665
Conditioned RQMC,0.95,13,0.005,0.014938041507328137
Conditioned RQMC,0.95,13,0.01,0.014963921078798847
Direct RQMC,0.7,14,0.001,0.02084118045928562
Direct RQMC,0.7,14,0.0025,0.023294336535258253
Direct RQMC,0.7,14,0.005,0.022999211868423686
Direct RQMC,0.7,14,0.01,0.022018975018285758
Conditioned RQMC,0.7,14,0.001,0.021950482978816407
Conditioned RQMC,0.7,14,0.0025,0.02323384187843658
Conditioned RQMC,0.7,14,0.005,0.02300589723380142
Conditioned RQMC,0.7,14,0.01,0.02203956681479191
Direct RQMC,0.85,14,0.001,-0.6369156518182705
Direct RQMC,0.85,14,0.0025,-0.03900934221204011
Direct RQMC,0.85,14,0.005,0.0017114248815559563
Direct RQMC,0.85,14,0.01,0.02303237047637463
Conditioned RQMC,0.85,14,0.001,0.018140014354983688
Conditioned RQMC,0.85,14,0.0025,0.018640932202060867
Conditioned RQMC,0.85,14,0.005,0.018881754235771098
Conditioned RQMC,0.85,14,0.01,0.0185084750146709
Direct RQMC,0.95,14,0.001,1.1370165310772504
Direct RQMC,0.95,14,0.0025,0.364439402533975
Direct RQMC,0.95,14,0.005,0.02850081411306249
Direct RQMC,0.95,14,0.01,0.028841050395540968
Conditioned RQMC,0.95,14,0.001,0.014127892804616234
Conditioned RQMC,0.95,14,0.0025,0.014249224700023433
Conditioned RQMC,0.95,14,0.005,0.014344450397096864
Conditioned RQMC,0.95,14,0.01,0.014518590248060015
Direct RQMC,0.7,15,0.001,0.01960832638339127
Direct RQMC,0.7,15,0.0025,0.01897788865474581
Direct RQMC,0.7,15,0.005,0.019750439868666092
Direct RQMC,0.7,15,0.01,0.020377137375577448
Conditioned RQMC,0.7,15,0.001,0.0197431418305527
Conditioned RQMC,0.7,15,0.0025,0.019164623458721053
Conditioned RQMC,0.7,15,0.005,0.019827562259543186
Conditioned RQMC,0.7,15,0.01,0.02039707381862854
Direct RQMC,0.85,15,0.001,0.0448115338455679
Direct RQMC,0.85,15,0.0025,0.014687087827098821
Direct RQMC,0.85,15,0.005,-0.053276437225825646
Direct RQMC,0.85,15,0.01,-0.00047121296275687286
Conditioned RQMC,0.85,15,0.001,0.017529069984689723
Conditioned RQMC,0.85,15,0.0025,0.017853174359174773
Conditioned RQMC,0.85,15,0.005,0.018314741159130676
Conditioned RQMC,0.85,15,0.01,0.01833422401632312
Direct RQMC,0.95,15,0.001,1.1336362964919464
Direct RQMC,0.95,15,0.0025,0.031007269537781212
Direct RQMC,0.95,15,0.005,0.0028389319136792324
Direct RQMC,0.95,15,0.01,0.01312202427188236
Conditioned RQMC,0.95,15,0.001,0.014465085854009626
Conditioned RQMC,0.95,15,0.0025,0.01434215068810829
Conditioned RQMC,0.95,15,0.005,0.014282274928941519
Conditioned RQMC,0.95,15,0.01,0.014421319168436142
Direct RQMC,0.7,16,0.001,0.024329648462106942
Direct RQMC,0.7,16,0.0025,0.021955962082159886
Direct RQMC,0.7,16,0.005,0.02108205625795989
Direct RQMC,0.7,16,0.01,0.02203231995652466
Conditioned RQMC,0.7,16,0.001,0.024586295675455002
Conditioned RQMC,0.7,16,0.0025,0.022113365091826154
Conditioned RQMC,0.7,16,0.005,0.02163060112751225
Conditioned RQMC,0.7,16,0.01,0.022186771152936657
Direct RQMC,0.85,16,0.001,-0.3398949746976853
Direct RQMC,0.85,16,0.0025,-0.03851503842795978
Direct RQMC,0.85,16,0.005,0.00706437842120522
Direct RQMC,0.85,16,0.01,0.021336914723788958
Conditioned RQMC,0.85,16,0.001,0.01842203028186162
Conditioned RQMC,0.85,16,0.0025,0.018032866334266373
Conditioned RQMC,0.85,16,0.005,0.01773729058515272
Conditioned RQMC,0.85,16,0.01,0.018106671456381562
Direct RQMC,0.95,16,0.001,-1.531719303452039
Direct RQMC,0.95,16,0.0025,0.08403187341721718
Direct RQMC,0.95,16,0.005,0.0040918887982321905
Direct RQMC,0.95,16,0.01,0.01022323600698094
Conditioned RQMC,0.95,16,0.001,0.014811955651250482
Conditioned RQMC,0.95,16,0.0025,0.014704343862817382
Conditioned RQMC,0.95,16,0.005,0.014709023644197572
Conditioned RQMC,0.95,16,0.01,0.01480785452461486
Direct RQMC,0.7,17,0.001,0.019323759875611298
Direct RQMC,0.7,17,0.0025,0.021935937608304812
Direct RQMC,0.7,17,0.005,0.022086389587798294
Direct RQMC,0.7,17,0.01,0.02169911320782525
Conditioned RQMC,0.7,17,0.001,0.01911349272187834
Conditioned RQMC,0.7,17,0.0025,0.022022222227633392
Conditioned RQMC,0.7,17,0.005,0.022103644968254343
Conditioned RQMC,0.7,17,0.01,0.02168910473692165
Direct RQMC,0.85,17,0.001,-0.11100756613711124
Direct RQMC,0.85,17,0.0025,0.031096894227033545
Direct RQMC,0.85,17,0.005,0.025406129598515292
Direct RQMC,0.85,17,0.01,0.0211967942275475
Conditioned RQMC,0.85,17,0.001,0.014534351737438552
Conditioned RQMC,0.85,17,0.0025,0.017469190043442495
Conditioned RQMC,0.85,17,0.005,0.017934241225091796
Conditioned RQMC,0.85,17,0.01,0.018080823362803145
Direct RQMC,0.95,17,0.001,1.1527453815434183
Direct RQMC,0.95,17,0.0025,0.4494068244841145
Direct RQMC,0.95,17,0.005,0.15908569236516357
Direct RQMC,0.95,17,0.01,0.03093333261567821
Conditioned RQMC,0.95,17,0.001,0.014211951933518204
Conditioned RQMC,0.95,17,0.0025,0.014230193011840697
Conditioned RQMC,0.95,17,0.005,0.01436507910398177
Conditioned RQMC,0.95,17,0.01,0.014453768312662874
Direct RQMC,0.7,18,0.001,0.01685384974319248
Direct RQMC,0.7,18,0.0025,0.018825625923909683
Direct RQMC,0.7,18,0.005,0.019172977313594686
Direct RQMC,0.7,18,0.01,0.020286846904088662
Conditioned RQMC,0.7,18,0.001,0.017225858433000948
Conditioned RQMC,0.7,18,0.0025,0.01887663766234482
Conditioned RQMC,0.7,18,0.005,0.01916715067767427
Conditioned RQMC,0.7,18,0.01,0.020259677051315705
Direct RQMC,0.85,18,0.001,0.4054799847143186
Direct RQMC,0.85,18,0.0025,0.1250709009491402
Direct RQMC,0.85,18,0.005,0.06593501948325553
Direct RQMC,0.85,18,0.01,0.024787862375767133
