Sampling,Barrier ratio,Mean_difference,SD_of_paired_difference,SE_of_difference,Paired_z
MC,0.7,5.544998735359148e-06,0.0001613587864372997,3.2937224357175585e-05,0.1683505165835607
MC,0.85,0.001018641774708895,0.007789850621929569,0.0015900965996858034,0.6406162838850007
MC,0.95,-0.0024712348050667985,0.03900255841554036,0.007961363898430654,-0.31040344802652836
RQMC,0.7,-3.243218467045376e-06,0.00025301401317451695,5.164626917094894e-05,-0.06279676187858481
RQMC,0.85,-0.0024769927755973566,0.00850579269073902,0.0017362376625171133,-1.4266438455241965
RQMC,0.95,-0.006147851590906102,0.021431986520953288,0.004374785929211868,-1.4052919823699026
