Barrier ratio,RQMC gain — direct,RQMC gain — conditioned,RQMC-after-conditioning interaction,RQMC improves more after conditioning?
0.7,94.01681544139264,95.80064918056739,1.0189735605359527,Yes
0.85,59.69065851368172,148.81828650817323,2.4931587322673368,Yes
0.95,20.292382776381313,273.4414129037881,13.475076629347427,Yes
