Method,Barrier ratio,Replication,Vol bump,Vega per vol point
Direct RQMC,0.7,10,0.01,0.38034565699185663
Conditioned RQMC,0.7,10,0.0025,0.3801802834376993
Conditioned RQMC,0.7,10,0.005,0.3801285277687416
Conditioned RQMC,0.7,10,0.01,0.3800894525598339
Direct RQMC,0.85,10,0.0025,0.34509113626173615
Direct RQMC,0.85,10,0.005,0.33485969054817843
Direct RQMC,0.85,10,0.01,0.337016203298023
Conditioned RQMC,0.85,10,0.0025,0.3414502868327105
Conditioned RQMC,0.85,10,0.005,0.34144436621735963
Conditioned RQMC,0.85,10,0.01,0.34141801346776907
Direct RQMC,0.95,10,0.0025,0.17305796254009564
Direct RQMC,0.95,10,0.005,0.15796152368675642
Direct RQMC,0.95,10,0.01,0.15583051566355755
Conditioned RQMC,0.95,10,0.0025,0.17182633534920022
Conditioned RQMC,0.95,10,0.005,0.17183933824784337
Conditioned RQMC,0.95,10,0.01,0.1718880436135852
Direct RQMC,0.7,11,0.0025,0.3811382624476991
Direct RQMC,0.7,11,0.005,0.3811329351105446
Direct RQMC,0.7,11,0.01,0.3811309802455342
Conditioned RQMC,0.7,11,0.0025,0.3811555156427886
Conditioned RQMC,0.7,11,0.005,0.3811563986077964
Conditioned RQMC,0.7,11,0.01,0.38115456216179217
Direct RQMC,0.85,11,0.0025,0.34682518352969893
Direct RQMC,0.85,11,0.005,0.3423593316515525
Direct RQMC,0.85,11,0.01,0.3406192241187913
Conditioned RQMC,0.85,11,0.0025,0.3426262402222342
Conditioned RQMC,0.85,11,0.005,0.3426160396549438
Conditioned RQMC,0.85,11,0.01,0.3425488435289638
Direct RQMC,0.95,11,0.0025,0.15996996765387372
Direct RQMC,0.95,11,0.005,0.17195888308240725
Direct RQMC,0.95,11,0.01,0.1696326036593705
Conditioned RQMC,0.95,11,0.0025,0.17209525704739193
Conditioned RQMC,0.95,11,0.005,0.17210368856999647
Conditioned RQMC,0.95,11,0.01,0.17215073076318574
Direct RQMC,0.7,12,0.0025,0.3821285855766057
Direct RQMC,0.7,12,0.005,0.38215354937481294
Direct RQMC,0.7,12,0.01,0.38215725149332774
Conditioned RQMC,0.7,12,0.0025,0.3820912124227398
Conditioned RQMC,0.7,12,0.005,0.3821267123698693
Conditioned RQMC,0.7,12,0.01,0.3821349372052918
Direct RQMC,0.85,12,0.0025,0.3331976456037644
Direct RQMC,0.85,12,0.005,0.33607192508998374
Direct RQMC,0.85,12,0.01,0.3371166147835698
Conditioned RQMC,0.85,12,0.0025,0.340613429599923
Conditioned RQMC,0.85,12,0.005,0.34060712430653695
Conditioned RQMC,0.85,12,0.01,0.3405575666689566
Direct RQMC,0.95,12,0.0025,0.18012449237934902
Direct RQMC,0.95,12,0.005,0.17655739334599385
Direct RQMC,0.95,12,0.01,0.1689334895137362
Conditioned RQMC,0.95,12,0.0025,0.17201498524779524
Conditioned RQMC,0.95,12,0.005,0.17202720984842834
Conditioned RQMC,0.95,12,0.01,0.17207433549026785
Direct RQMC,0.7,13,0.0025,0.38192518878637927
Direct RQMC,0.7,13,0.005,0.3819250837637487
Direct RQMC,0.7,13,0.01,0.38189893947811804
Conditioned RQMC,0.7,13,0.0025,0.3818214144812373
Conditioned RQMC,0.7,13,0.005,0.3818237206470414
Conditioned RQMC,0.7,13,0.01,0.38179324175775425
Direct RQMC,0.85,13,0.0025,0.338052908255861
Direct RQMC,0.85,13,0.005,0.3377935792910467
Direct RQMC,0.85,13,0.01,0.34518256243822876
Conditioned RQMC,0.85,13,0.0025,0.34150585148966783
Conditioned RQMC,0.85,13,0.005,0.34156451962586765
Conditioned RQMC,0.85,13,0.01,0.3415584052381231
Direct RQMC,0.95,13,0.0025,0.17242289943139788
Direct RQMC,0.95,13,0.005,0.17927320027059412
Direct RQMC,0.95,13,0.01,0.16974793433569424
Conditioned RQMC,0.95,13,0.0025,0.1714023554772588
Conditioned RQMC,0.95,13,0.005,0.17142086253863908
Conditioned RQMC,0.95,13,0.01,0.17147986384633948
Direct RQMC,0.7,14,0.0025,0.3801920652142634
Direct RQMC,0.7,14,0.005,0.38017088330885507
Direct RQMC,0.7,14,0.01,0.38009599592701804
Conditioned RQMC,0.7,14,0.0025,0.38036857855098916
Conditioned RQMC,0.7,14,0.005,0.3803526788401719
Conditioned RQMC,0.7,14,0.01,0.3803835607930015
Direct RQMC,0.85,14,0.0025,0.32529427305226477
Direct RQMC,0.85,14,0.005,0.3291184864311383
Direct RQMC,0.85,14,0.01,0.3369562287760947
Conditioned RQMC,0.85,14,0.0025,0.34120123589098483
Conditioned RQMC,0.85,14,0.005,0.3412308053192188
Conditioned RQMC,0.85,14,0.01,0.341216953588046
Direct RQMC,0.95,14,0.0025,0.1778361256558334
Direct RQMC,0.95,14,0.005,0.18286048658138565
Direct RQMC,0.95,14,0.01,0.1831539495417522
Conditioned RQMC,0.95,14,0.0025,0.1718420675340635
Conditioned RQMC,0.95,14,0.005,0.17186017410341936
Conditioned RQMC,0.95,14,0.01,0.17191996684955502
Direct RQMC,0.7,15,0.0025,0.38228455516506443
Direct RQMC,0.7,15,0.005,0.38227539606679883
Direct RQMC,0.7,15,0.01,0.3822355249314961
Conditioned RQMC,0.7,15,0.0025,0.38220943041341826
Conditioned RQMC,0.7,15,0.005,0.38219533827938434
Conditioned RQMC,0.7,15,0.01,0.38216440689952513
Direct RQMC,0.85,15,0.0025,0.3525002676776907
Direct RQMC,0.85,15,0.005,0.33782514678207853
Direct RQMC,0.85,15,0.01,0.34079336838600843
Conditioned RQMC,0.85,15,0.0025,0.3415215117580068
Conditioned RQMC,0.85,15,0.005,0.34152410955488577
Conditioned RQMC,0.85,15,0.01,0.3414897071631984
Direct RQMC,0.95,15,0.0025,0.2099788385648278
Direct RQMC,0.95,15,0.005,0.1877408533366225
Direct RQMC,0.95,15,0.01,0.16675324438876735
Conditioned RQMC,0.95,15,0.0025,0.17208212479855156
Conditioned RQMC,0.95,15,0.005,0.1720975503036959
Conditioned RQMC,0.95,15,0.01,0.172151262447461
Direct RQMC,0.7,16,0.0025,0.3800183082577
Direct RQMC,0.7,16,0.005,0.3801597074696321
Direct RQMC,0.7,16,0.01,0.3802443716452197
Conditioned RQMC,0.7,16,0.0025,0.3802224377778707
Conditioned RQMC,0.7,16,0.005,0.3802212451617706
Conditioned RQMC,0.7,16,0.01,0.380226021190368
Direct RQMC,0.85,16,0.0025,0.3362736287605621
Direct RQMC,0.85,16,0.005,0.3369892694557368
Direct RQMC,0.85,16,0.01,0.33868640026338154
Conditioned RQMC,0.85,16,0.0025,0.34097458344363574
Conditioned RQMC,0.85,16,0.005,0.34098808250475443
Conditioned RQMC,0.85,16,0.01,0.340999066356904
Direct RQMC,0.95,16,0.0025,0.1819092603713841
Direct RQMC,0.95,16,0.005,0.16332106841021332
Direct RQMC,0.95,16,0.01,0.16614314173188702
Conditioned RQMC,0.95,16,0.0025,0.17180622599076045
Conditioned RQMC,0.95,16,0.005,0.17181455732216122
Conditioned RQMC,0.95,16,0.01,0.17186673847082143
Direct RQMC,0.7,17,0.0025,0.38170581247677404
Direct RQMC,0.7,17,0.005,0.38175275932681885
Direct RQMC,0.7,17,0.01,0.38180435031934307
Conditioned RQMC,0.7,17,0.0025,0.38164291317078636
Conditioned RQMC,0.7,17,0.005,0.38168430170267875
Conditioned RQMC,0.7,17,0.01,0.3817175430075492
Direct RQMC,0.85,17,0.0025,0.34741396015709824
Direct RQMC,0.85,17,0.005,0.34436449336314645
Direct RQMC,0.85,17,0.01,0.3438525519544271
Conditioned RQMC,0.85,17,0.0025,0.3419815534036523
Conditioned RQMC,0.85,17,0.005,0.34198826295751594
Conditioned RQMC,0.85,17,0.01,0.3419959447109271
Direct RQMC,0.95,17,0.0025,0.19767757108990835
Direct RQMC,0.95,17,0.005,0.20076155883220181
Direct RQMC,0.95,17,0.01,0.1786508895154899
Conditioned RQMC,0.95,17,0.0025,0.17233309757613569
Conditioned RQMC,0.95,17,0.005,0.1723441303109352
Conditioned RQMC,0.95,17,0.01,0.1723940931098209
Direct RQMC,0.7,18,0.0025,0.3818468256575329
Direct RQMC,0.7,18,0.005,0.38184970106049576
Direct RQMC,0.7,18,0.01,0.38184403190159605
Conditioned RQMC,0.7,18,0.0025,0.381716361319576
Conditioned RQMC,0.7,18,0.005,0.38171553718557405
Conditioned RQMC,0.7,18,0.01,0.38170359302183954
Direct RQMC,0.85,18,0.0025,0.33537283699061504
Direct RQMC,0.85,18,0.005,0.33901258050895855
Direct RQMC,0.85,18,0.01,0.3441445606889655
Conditioned RQMC,0.85,18,0.0025,0.3409959074966089
Conditioned RQMC,0.85,18,0.005,0.3410236968872322
Conditioned RQMC,0.85,18,0.01,0.34100281189043796
Direct RQMC,0.95,18,0.0025,0.1476404957524764
Direct RQMC,0.95,18,0.005,0.16713348234757408
Direct RQMC,0.95,18,0.01,0.16526831677296847
Conditioned RQMC,0.95,18,0.0025,0.17216971137100856
Conditioned RQMC,0.95,18,0.005,0.17218372149339256
Conditioned RQMC,0.95,18,0.01,0.17223965024374
Direct RQMC,0.7,19,0.0025,0.3833144697511379
Direct RQMC,0.7,19,0.005,0.3833110985816255
Direct RQMC,0.7,19,0.01,0.38328509207421213
Conditioned RQMC,0.7,19,0.0025,0.3833416233880129
Conditioned RQMC,0.7,19,0.005,0.3833351566808183
Conditioned RQMC,0.7,19,0.01,0.3832973183124011
Direct RQMC,0.85,19,0.0025,0.3427983789164948
Direct RQMC,0.85,19,0.005,0.3443281093543362
Direct RQMC,0.85,19,0.01,0.34619691139948294
Conditioned RQMC,0.85,19,0.0025,0.3440057643247343
Conditioned RQMC,0.85,19,0.005,0.3439703947696877
Conditioned RQMC,0.85,19,0.01,0.34384632119108977
Direct RQMC,0.95,19,0.0025,0.19309141827363696
Direct RQMC,0.95,19,0.005,0.18384631829291376
Direct RQMC,0.95,19,0.01,0.1770200336692471
Conditioned RQMC,0.95,19,0.0025,0.17228872835688414
Conditioned RQMC,0.95,19,0.005,0.1723005992440143
Conditioned RQMC,0.95,19,0.01,0.17234939287159576
Direct RQMC,0.7,20,0.0025,0.3809330590185098
Direct RQMC,0.7,20,0.005,0.3808852438027319
Direct RQMC,0.7,20,0.01,0.3808336224097797
Conditioned RQMC,0.7,20,0.0025,0.380783792220754
Conditioned RQMC,0.7,20,0.005,0.380731787055943
Conditioned RQMC,0.7,20,0.01,0.38065772115685353
Direct RQMC,0.85,20,0.0025,0.3337024559234507
Direct RQMC,0.85,20,0.005,0.3366851711234258
Direct RQMC,0.85,20,0.01,0.3373447026817118
Conditioned RQMC,0.85,20,0.0025,0.3406616600148631
Conditioned RQMC,0.85,20,0.005,0.3407192849983769
Conditioned RQMC,0.85,20,0.01,0.3407055755978154
Direct RQMC,0.95,20,0.0025,0.17445110496027283
Direct RQMC,0.95,20,0.005,0.16878225442877692
Direct RQMC,0.95,20,0.01,0.18017064816202755
Conditioned RQMC,0.95,20,0.0025,0.17180267441603014
Conditioned RQMC,0.95,20,0.005,0.171812538324966
Conditioned RQMC,0.95,20,0.01,0.1718664046979681
Direct RQMC,0.7,21,0.0025,0.38194850369124467
Direct RQMC,0.7,21,0.005,0.38193928920969533
Direct RQMC,0.7,21,0.01,0.3819304178333631
Conditioned RQMC,0.7,21,0.0025,0.3821186098010081
Conditioned RQMC,0.7,21,0.005,0.3821042690228449
Conditioned RQMC,0.7,21,0.01,0.38208392469312796
Direct RQMC,0.85,21,0.0025,0.34718151768303684
Direct RQMC,0.85,21,0.005,0.3463191077600154
Direct RQMC,0.85,21,0.01,0.34200589972786494
Conditioned RQMC,0.85,21,0.0025,0.3434410484567785
Conditioned RQMC,0.85,21,0.005,0.343431065945472
Conditioned RQMC,0.85,21,0.01,0.3433911891750911
Direct RQMC,0.95,21,0.0025,0.17696638751281313
Direct RQMC,0.95,21,0.005,0.1860744399894818
Direct RQMC,0.95,21,0.01,0.1828963822456009
Conditioned RQMC,0.95,21,0.0025,0.1729307751086253
Conditioned RQMC,0.95,21,0.005,0.17294331673285335
Conditioned RQMC,0.95,21,0.01,0.1729973414196588
Direct RQMC,0.7,22,0.0025,0.3824822575096398
Direct RQMC,0.7,22,0.005,0.3824746078099164
Direct RQMC,0.7,22,0.01,0.38244051414107444
Conditioned RQMC,0.7,22,0.0025,0.3823434774921246
Conditioned RQMC,0.7,22,0.005,0.3823292668140468
Conditioned RQMC,0.7,22,0.01,0.38227737071962764
Direct RQMC,0.85,22,0.0025,0.3443111623354298
Direct RQMC,0.85,22,0.005,0.3364723865353696
Direct RQMC,0.85,22,0.01,0.3429622166476695
Conditioned RQMC,0.85,22,0.0025,0.3432053630440457
Conditioned RQMC,0.85,22,0.005,0.3431769449579356
Conditioned RQMC,0.85,22,0.01,0.34308923338344405
Direct RQMC,0.95,22,0.0025,0.14411830629317635
Direct RQMC,0.95,22,0.005,0.13230577806928245
Direct RQMC,0.95,22,0.01,0.1512654804538136
Conditioned RQMC,0.95,22,0.0025,0.17238123940723682
Conditioned RQMC,0.95,22,0.005,0.17239783019141441
Conditioned RQMC,0.95,22,0.01,0.17245655325547957
Direct RQMC,0.7,23,0.0025,0.3823931361899966
Direct RQMC,0.7,23,0.005,0.382393043212236
Direct RQMC,0.7,23,0.01,0.38235009321546976
Conditioned RQMC,0.7,23,0.0025,0.38244277075908784
Conditioned RQMC,0.7,23,0.005,0.3824331557566154
Conditioned RQMC,0.7,23,0.01,0.3824166957898258
Direct RQMC,0.85,23,0.0025,0.3498546587790621
Direct RQMC,0.85,23,0.005,0.34598956447143436
Direct RQMC,0.85,23,0.01,0.3460230278292888
Conditioned RQMC,0.85,23,0.0025,0.341512481317082
Conditioned RQMC,0.85,23,0.005,0.3415206339996768
Conditioned RQMC,0.85,23,0.01,0.3414977580676845
Direct RQMC,0.95,23,0.0025,0.1778363954698019
Direct RQMC,0.95,23,0.005,0.16292260318666418
Direct RQMC,0.95,23,0.01,0.1681464272445203
Conditioned RQMC,0.95,23,0.0025,0.17198629195874382
Conditioned RQMC,0.95,23,0.005,0.1720027187415969
Conditioned RQMC,0.95,23,0.01,0.17206207745669477
