Method,Barrier ratio,Replication,Spot bump,Delta
Conditioned MC,0.95,21,0.0025,0.782012036867286
Conditioned MC,0.95,21,0.005,0.7818578171764372
Conditioned MC,0.95,21,0.01,0.781174599104657
Direct MC,0.7,22,0.001,0.5952286635788617
Direct MC,0.7,22,0.0025,0.5950510658550101
Direct MC,0.7,22,0.005,0.5952252296042886
Direct MC,0.7,22,0.01,0.5949571020825175
Conditioned MC,0.7,22,0.001,0.5953139096454851
Conditioned MC,0.7,22,0.0025,0.5951559095298116
Conditioned MC,0.7,22,0.005,0.5951367639370648
Conditioned MC,0.7,22,0.01,0.5949340987381184
Direct MC,0.85,22,0.001,0.6161003143334742
Direct MC,0.85,22,0.0025,0.6136674712571875
Direct MC,0.85,22,0.005,0.6127877588651867
Direct MC,0.85,22,0.01,0.6131824027247434
Conditioned MC,0.85,22,0.001,0.6153793241579208
Conditioned MC,0.85,22,0.0025,0.6152317824537619
Conditioned MC,0.85,22,0.005,0.6151971800385834
Conditioned MC,0.85,22,0.01,0.6149651472253637
Direct MC,0.95,22,0.001,0.8328537747624631
Direct MC,0.95,22,0.0025,0.8231511847717776
Direct MC,0.95,22,0.005,0.8021958211311677
Direct MC,0.95,22,0.01,0.7945134048118354
Conditioned MC,0.95,22,0.001,0.7928822851551676
Conditioned MC,0.95,22,0.0025,0.7928452100052183
Conditioned MC,0.95,22,0.005,0.7926809896991678
Conditioned MC,0.95,22,0.01,0.7919992316222042
Direct MC,0.7,23,0.001,0.6081852242615771
Direct MC,0.7,23,0.0025,0.6081036640369035
Direct MC,0.7,23,0.005,0.6081725636647715
Direct MC,0.7,23,0.01,0.6079390499268289
Conditioned MC,0.7,23,0.001,0.608222195897925
Conditioned MC,0.7,23,0.0025,0.6081000063474669
Conditioned MC,0.7,23,0.005,0.6081404097286374
Conditioned MC,0.7,23,0.01,0.6079269879940581
Direct MC,0.85,23,0.001,0.6264504939369875
Direct MC,0.85,23,0.0025,0.6312279973283026
Direct MC,0.85,23,0.005,0.6375450610800009
Direct MC,0.85,23,0.01,0.629416031132302
Conditioned MC,0.85,23,0.001,0.6282718782574293
Conditioned MC,0.85,23,0.0025,0.6281988694397782
Conditioned MC,0.85,23,0.005,0.6281167233471567
Conditioned MC,0.85,23,0.01,0.6281941188832239
Direct MC,0.95,23,0.001,0.8157637230151371
Direct MC,0.95,23,0.0025,0.8232598941430371
Direct MC,0.95,23,0.005,0.7989155914181012
Direct MC,0.95,23,0.01,0.8027981269532156
Conditioned MC,0.95,23,0.001,0.8184346499710449
Conditioned MC,0.95,23,0.0025,0.8183889792538235
Conditioned MC,0.95,23,0.005,0.8181950366602955
Conditioned MC,0.95,23,0.01,0.8174178024782854
Direct RQMC,0.7,0,0.001,0.5962032303576947
Direct RQMC,0.7,0,0.0025,0.5962037199712178
Direct RQMC,0.7,0,0.005,0.5960845191728374
Direct RQMC,0.7,0,0.01,0.5958812089696677
Conditioned RQMC,0.7,0,0.001,0.5961906547327711
Conditioned RQMC,0.7,0,0.0025,0.5961836493052033
Conditioned RQMC,0.7,0,0.005,0.5960535639698445
Conditioned RQMC,0.7,0,0.01,0.595853563344372
Direct RQMC,0.85,0,0.001,0.6287116413108329
Direct RQMC,0.85,0,0.0025,0.614645980740999
Direct RQMC,0.85,0,0.005,0.6170648472483027
Direct RQMC,0.85,0,0.01,0.6173072808923488
Conditioned RQMC,0.85,0,0.001,0.6150685849115689
Conditioned RQMC,0.85,0,0.0025,0.6151458053726628
Conditioned RQMC,0.85,0,0.005,0.6151874251534313
Conditioned RQMC,0.85,0,0.01,0.6150741276840384
Direct RQMC,0.95,0,0.001,0.8522475079492908
Direct RQMC,0.95,0,0.0025,0.8439337523045953
Direct RQMC,0.95,0,0.005,0.7954960281571424
Direct RQMC,0.95,0,0.01,0.7924097870043822
Conditioned RQMC,0.95,0,0.001,0.7935707033158845
Conditioned RQMC,0.95,0,0.0025,0.7935158147176526
Conditioned RQMC,0.95,0,0.005,0.7933367295817417
Conditioned RQMC,0.95,0,0.01,0.7926231604336706
Direct RQMC,0.7,1,0.001,0.5955505778760806
Direct RQMC,0.7,1,0.0025,0.5955126810737532
Direct RQMC,0.7,1,0.005,0.5956203564360028
Direct RQMC,0.7,1,0.01,0.5957915969322363
Conditioned RQMC,0.7,1,0.001,0.5955467076450116
Conditioned RQMC,0.7,1,0.0025,0.5955033190750925
Conditioned RQMC,0.7,1,0.005,0.5955976343555971
Conditioned RQMC,0.7,1,0.01,0.5958211121191423
Direct RQMC,0.85,1,0.001,0.6096610202642072
Direct RQMC,0.85,1,0.0025,0.6058680670017438
Direct RQMC,0.85,1,0.005,0.6158697698863094
Direct RQMC,0.85,1,0.01,0.611147461729443
Conditioned RQMC,0.85,1,0.001,0.6150731622022754
Conditioned RQMC,0.85,1,0.0025,0.6150137845774104
Conditioned RQMC,0.85,1,0.005,0.6152255318758737
Conditioned RQMC,0.85,1,0.01,0.6151623112100584
Direct RQMC,0.95,1,0.001,0.8463844631715567
Direct RQMC,0.95,1,0.0025,0.7788495691657005
Direct RQMC,0.95,1,0.005,0.7935377747785166
Direct RQMC,0.95,1,0.01,0.8146016203172581
Conditioned RQMC,0.95,1,0.001,0.7937971499570162
Conditioned RQMC,0.95,1,0.0025,0.7937480515065403
Conditioned RQMC,0.95,1,0.005,0.7935850260902866
Conditioned RQMC,0.95,1,0.01,0.7929007201241136
Direct RQMC,0.7,2,0.001,0.595790954573463
Direct RQMC,0.7,2,0.0025,0.5956104372235806
Direct RQMC,0.7,2,0.005,0.595711990868276
Direct RQMC,0.7,2,0.01,0.5961957645428768
Conditioned RQMC,0.7,2,0.001,0.5957931727919696
Conditioned RQMC,0.7,2,0.0025,0.5956059883022178
Conditioned RQMC,0.7,2,0.005,0.5957049546404196
Conditioned RQMC,0.7,2,0.01,0.5962001327800364
Direct RQMC,0.85,2,0.001,0.5962368098496196
Direct RQMC,0.85,2,0.0025,0.6076353826548946
Direct RQMC,0.85,2,0.005,0.6090240113217718
Direct RQMC,0.85,2,0.01,0.6142896818102752
Conditioned RQMC,0.85,2,0.001,0.6163248565369805
Conditioned RQMC,0.85,2,0.0025,0.616179334215829
Conditioned RQMC,0.85,2,0.005,0.6160997759267399
Conditioned RQMC,0.85,2,0.01,0.6162052940106184
Direct RQMC,0.95,2,0.001,0.8143999012682768
Direct RQMC,0.95,2,0.0025,0.7751179087600217
Direct RQMC,0.95,2,0.005,0.7579904711456384
Direct RQMC,0.95,2,0.01,0.7862691479987687
Conditioned RQMC,0.95,2,0.001,0.794814793311005
Conditioned RQMC,0.95,2,0.0025,0.794769519668888
Conditioned RQMC,0.95,2,0.005,0.7945959175987207
Conditioned RQMC,0.95,2,0.01,0.7938916154062206
Direct RQMC,0.7,3,0.001,0.5941302060649001
Direct RQMC,0.7,3,0.0025,0.594296314052972
Direct RQMC,0.7,3,0.005,0.5943267907493599
Direct RQMC,0.7,3,0.01,0.5943304065052075
Conditioned RQMC,0.7,3,0.001,0.5942612887657006
Conditioned RQMC,0.7,3,0.0025,0.5944358885948589
Conditioned RQMC,0.7,3,0.005,0.5944395933098807
Conditioned RQMC,0.7,3,0.01,0.5944185946845923
Direct RQMC,0.85,3,0.001,0.6108313939703791
Direct RQMC,0.85,3,0.0025,0.6060271076682717
Direct RQMC,0.85,3,0.005,0.6042230218300126
Direct RQMC,0.85,3,0.01,0.6066507874175526
Conditioned RQMC,0.85,3,0.001,0.6142787754306411
Conditioned RQMC,0.85,3,0.0025,0.6141508059609322
Conditioned RQMC,0.85,3,0.005,0.6140483596540811
Conditioned RQMC,0.85,3,0.01,0.6141034728828654
Direct RQMC,0.95,3,0.001,0.7699292035195615
Direct RQMC,0.95,3,0.0025,0.7689930652978223
Direct RQMC,0.95,3,0.005,0.7815501496469448
Direct RQMC,0.95,3,0.01,0.7800154670282029
Conditioned RQMC,0.95,3,0.001,0.7949748194329231
Conditioned RQMC,0.95,3,0.0025,0.7949333411615971
Conditioned RQMC,0.95,3,0.005,0.794765137403572
Conditioned RQMC,0.95,3,0.01,0.7940540960760787
Direct RQMC,0.7,4,0.001,0.5937740802408253
Direct RQMC,0.7,4,0.0025,0.5937868450830344
Direct RQMC,0.7,4,0.005,0.5938178415168327
Direct RQMC,0.7,4,0.01,0.5936596902183249
Conditioned RQMC,0.7,4,0.001,0.5938386143631558
Conditioned RQMC,0.7,4,0.0025,0.5938701660338737
Conditioned RQMC,0.7,4,0.005,0.5938942835042127
Conditioned RQMC,0.7,4,0.01,0.5936879230010694
Direct RQMC,0.85,4,0.001,0.5963240138863846
Direct RQMC,0.85,4,0.0025,0.6004964264359955
Direct RQMC,0.85,4,0.005,0.6061598746266661
Direct RQMC,0.85,4,0.01,0.6080547541094199
Conditioned RQMC,0.85,4,0.001,0.6132608145039775
Conditioned RQMC,0.85,4,0.0025,0.6135276522337634
Conditioned RQMC,0.85,4,0.005,0.6135680658661666
Conditioned RQMC,0.85,4,0.01,0.6136086049159264
Direct RQMC,0.95,4,0.001,0.7608760459977404
Direct RQMC,0.95,4,0.0025,0.8283303469690448
Direct RQMC,0.95,4,0.005,0.8067556408352399
Direct RQMC,0.95,4,0.01,0.7960953334588088
Conditioned RQMC,0.95,4,0.001,0.7948855011073608
Conditioned RQMC,0.95,4,0.0025,0.7948346915932714
Conditioned RQMC,0.95,4,0.005,0.7946568715784865
Conditioned RQMC,0.95,4,0.01,0.7939633701074094
Direct RQMC,0.7,5,0.001,0.5949584147076337
Direct RQMC,0.7,5,0.0025,0.5950930866002366
Direct RQMC,0.7,5,0.005,0.5951202380344522
Direct RQMC,0.7,5,0.01,0.5950864893237524
Conditioned RQMC,0.7,5,0.001,0.5949866940117943
Conditioned RQMC,0.7,5,0.0025,0.5951215281183551
Conditioned RQMC,0.7,5,0.005,0.5951685697455922
Conditioned RQMC,0.7,5,0.01,0.5951305588093607
Direct RQMC,0.85,5,0.001,0.6053353394653005
Direct RQMC,0.85,5,0.0025,0.6221803265286177
Direct RQMC,0.85,5,0.005,0.6187306050121464
Direct RQMC,0.85,5,0.01,0.6152583809905043
Conditioned RQMC,0.85,5,0.001,0.6154656549187631
Conditioned RQMC,0.85,5,0.0025,0.6154278786013094
Conditioned RQMC,0.85,5,0.005,0.615234446732039
Conditioned RQMC,0.85,5,0.01,0.6152094864088169
Direct RQMC,0.95,5,0.001,0.7408058338109713
Direct RQMC,0.95,5,0.0025,0.7749413190592325
Direct RQMC,0.95,5,0.005,0.7897551502411302
Direct RQMC,0.95,5,0.01,0.7875015776278556
Conditioned RQMC,0.95,5,0.001,0.7936349095617867
Conditioned RQMC,0.95,5,0.0025,0.7935819488684484
Conditioned RQMC,0.95,5,0.005,0.7934169966321392
Conditioned RQMC,0.95,5,0.01,0.7927363567078487
Direct RQMC,0.7,6,0.001,0.5941616663570937
Direct RQMC,0.7,6,0.0025,0.5940745647449717
Direct RQMC,0.7,6,0.005,0.5941251850465932
Direct RQMC,0.7,6,0.01,0.5938135816380941
Conditioned RQMC,0.7,6,0.001,0.5941815338002243
Conditioned RQMC,0.7,6,0.0025,0.5940888696176323
Conditioned RQMC,0.7,6,0.005,0.5941538828010948
Conditioned RQMC,0.7,6,0.01,0.5938466532324949
Direct RQMC,0.85,6,0.001,0.6224265149274988
Direct RQMC,0.85,6,0.0025,0.6166228055706888
Direct RQMC,0.85,6,0.005,0.6103266164770833
Direct RQMC,0.85,6,0.01,0.6149448991431474
Conditioned RQMC,0.85,6,0.001,0.6147849181570386
Conditioned RQMC,0.85,6,0.0025,0.6147417069351491
Conditioned RQMC,0.85,6,0.005,0.6147998984456269
Conditioned RQMC,0.85,6,0.01,0.6146345654963605
Direct RQMC,0.95,6,0.001,0.7875761433368611
Direct RQMC,0.95,6,0.0025,0.8235303456538379
Direct RQMC,0.95,6,0.005,0.8109603902038485
Direct RQMC,0.95,6,0.01,0.8076061672140211
Conditioned RQMC,0.95,6,0.001,0.7949310009983135
Conditioned RQMC,0.95,6,0.0025,0.7948640729450123
Conditioned RQMC,0.95,6,0.005,0.7946603395371596
Conditioned RQMC,0.95,6,0.01,0.793937393005999
Direct RQMC,0.7,7,0.001,0.5949984289410359
Direct RQMC,0.7,7,0.0025,0.5948511709830484
Direct RQMC,0.7,7,0.005,0.594589307515518
Direct RQMC,0.7,7,0.01,0.5941249925519791
Conditioned RQMC,0.7,7,0.001,0.5950506164116298
Conditioned RQMC,0.7,7,0.0025,0.5948840145983532
Conditioned RQMC,0.7,7,0.005,0.5946567022228813
Conditioned RQMC,0.7,7,0.01,0.5941933292963784
Direct RQMC,0.85,7,0.001,0.6037631158189871
Direct RQMC,0.85,7,0.0025,0.6073577420695706
Direct RQMC,0.85,7,0.005,0.6163388194536772
Direct RQMC,0.85,7,0.01,0.6116126476923673
Conditioned RQMC,0.85,7,0.001,0.6145655121254023
Conditioned RQMC,0.85,7,0.0025,0.6144811406237949
Conditioned RQMC,0.85,7,0.005,0.614335185410626
Conditioned RQMC,0.85,7,0.01,0.6141674212966888
Direct RQMC,0.95,7,0.001,0.7858845332094333
Direct RQMC,0.95,7,0.0025,0.7812024254632277
Direct RQMC,0.95,7,0.005,0.7809812123858029
Direct RQMC,0.95,7,0.01,0.7830745457483279
Conditioned RQMC,0.95,7,0.001,0.7936452467124067
Conditioned RQMC,0.95,7,0.0025,0.7935877668098463
Conditioned RQMC,0.95,7,0.005,0.7934040413385421
Conditioned RQMC,0.95,7,0.01,0.7927219623499782
Direct RQMC,0.7,8,0.001,0.5943966877210549
Direct RQMC,0.7,8,0.0025,0.5944566199114121
Direct RQMC,0.7,8,0.005,0.5943775367588007
Direct RQMC,0.7,8,0.01,0.5944538656723717
Conditioned RQMC,0.7,8,0.001,0.594472022968846
Conditioned RQMC,0.7,8,0.0025,0.5945099488299235
Conditioned RQMC,0.7,8,0.005,0.5944167232139783
Conditioned RQMC,0.7,8,0.01,0.5945277337832469
Direct RQMC,0.85,8,0.001,0.6225871218170642
Direct RQMC,0.85,8,0.0025,0.6115292951085678
Direct RQMC,0.85,8,0.005,0.6152185177236333
Direct RQMC,0.85,8,0.01,0.6192642590707611
Conditioned RQMC,0.85,8,0.001,0.6137195950486785
Conditioned RQMC,0.85,8,0.0025,0.6136810128960342
Conditioned RQMC,0.85,8,0.005,0.613631342986114
Conditioned RQMC,0.85,8,0.01,0.613593065875663
Direct RQMC,0.95,8,0.001,0.8474859028479109
Direct RQMC,0.95,8,0.0025,0.8179230157406074
Direct RQMC,0.95,8,0.005,0.8004615219407487
Direct RQMC,0.95,8,0.01,0.7963692046160893
Conditioned RQMC,0.95,8,0.001,0.7922617405725285
Conditioned RQMC,0.95,8,0.0025,0.7922251301555487
Conditioned RQMC,0.95,8,0.005,0.7920564047557432
Conditioned RQMC,0.95,8,0.01,0.7913819174305474
Direct RQMC,0.7,9,0.001,0.5923065700341557
Direct RQMC,0.7,9,0.0025,0.5920967956853325
Direct RQMC,0.7,9,0.005,0.5920951962845713
Direct RQMC,0.7,9,0.01,0.5920603416682031
Conditioned RQMC,0.7,9,0.001,0.5922335509486842
Conditioned RQMC,0.7,9,0.0025,0.5920341613907745
Conditioned RQMC,0.7,9,0.005,0.5920569901671673
Conditioned RQMC,0.7,9,0.01,0.592055291827382
Direct RQMC,0.85,9,0.001,0.5995337952907587
Direct RQMC,0.85,9,0.0025,0.6127570162594438
Direct RQMC,0.85,9,0.005,0.6126203419984595
Direct RQMC,0.85,9,0.01,0.6103219896061409
Conditioned RQMC,0.85,9,0.001,0.6120375184417259
Conditioned RQMC,0.85,9,0.0025,0.6121151115397048
Conditioned RQMC,0.85,9,0.005,0.6122200887584164
Conditioned RQMC,0.85,9,0.01,0.6123682563566879
Direct RQMC,0.95,9,0.001,0.7993977232566607
Direct RQMC,0.95,9,0.0025,0.8184335021779034
Direct RQMC,0.95,9,0.005,0.8138904561192506
Direct RQMC,0.95,9,0.01,0.8071805564930776
Conditioned RQMC,0.95,9,0.001,0.7938355005155495
Conditioned RQMC,0.95,9,0.0025,0.7937985565809633
Conditioned RQMC,0.95,9,0.005,0.7936333250145795
Conditioned RQMC,0.95,9,0.01,0.7929219309480064
Direct RQMC,0.7,10,0.001,0.596706635973181
Direct RQMC,0.7,10,0.0025,0.5968638109692996
Direct RQMC,0.7,10,0.005,0.5967934543287381
Direct RQMC,0.7,10,0.01,0.5963837085335149
Conditioned RQMC,0.7,10,0.001,0.5968453153655595
Conditioned RQMC,0.7,10,0.0025,0.5969899651018871
Conditioned RQMC,0.7,10,0.005,0.5968921624032237
Conditioned RQMC,0.7,10,0.01,0.5964661020079234
Direct RQMC,0.85,10,0.001,0.6025650092869839
Direct RQMC,0.85,10,0.0025,0.6090869573004731
Direct RQMC,0.85,10,0.005,0.6213748266251127
Direct RQMC,0.85,10,0.01,0.6192336429195966
Conditioned RQMC,0.85,10,0.001,0.615115206787884
Conditioned RQMC,0.85,10,0.0025,0.6150355198746098
Conditioned RQMC,0.85,10,0.005,0.6149196901458573
Conditioned RQMC,0.85,10,0.01,0.6146331418940147
Direct RQMC,0.95,10,0.001,0.7976016231247307
Direct RQMC,0.95,10,0.0025,0.8351967317377422
Direct RQMC,0.95,10,0.005,0.8122273867975345
Direct RQMC,0.95,10,0.01,0.7921929313971265
Conditioned RQMC,0.95,10,0.001,0.7942296323256315
Conditioned RQMC,0.95,10,0.0025,0.7941795315710607
Conditioned RQMC,0.95,10,0.005,0.7939941209435046
Conditioned RQMC,0.95,10,0.01,0.7932622430016774
Direct RQMC,0.7,11,0.001,0.5954227837483028
Direct RQMC,0.7,11,0.0025,0.595363781777543
Direct RQMC,0.7,11,0.005,0.5952955494462486
Direct RQMC,0.7,11,0.01,0.5950733636488792
Conditioned RQMC,0.7,11,0.001,0.5954039196357819
Conditioned RQMC,0.7,11,0.0025,0.5953458709045591
Conditioned RQMC,0.7,11,0.005,0.5952810966608642
Conditioned RQMC,0.7,11,0.01,0.5950588398465193
Direct RQMC,0.85,11,0.001,0.5936862310775037
Direct RQMC,0.85,11,0.0025,0.6110379447203655
Direct RQMC,0.85,11,0.005,0.6122656147307968
Direct RQMC,0.85,11,0.01,0.6155084867019052
Conditioned RQMC,0.85,11,0.001,0.6139050712660765
Conditioned RQMC,0.85,11,0.0025,0.6140192205034403
Conditioned RQMC,0.85,11,0.005,0.6140614656061683
Conditioned RQMC,0.85,11,0.01,0.6140705915277223
Direct RQMC,0.95,11,0.001,0.8191581257782099
Direct RQMC,0.95,11,0.0025,0.7897226096565646
Direct RQMC,0.95,11,0.005,0.8095419477620913
Direct RQMC,0.95,11,0.01,0.8046170606113323
Conditioned RQMC,0.95,11,0.001,0.7940991491074056
Conditioned RQMC,0.95,11,0.0025,0.7940382710196392
Conditioned RQMC,0.95,11,0.005,0.7938492667570349
Conditioned RQMC,0.95,11,0.01,0.7931565506763678
Direct RQMC,0.7,12,0.001,0.5944292001714846
Direct RQMC,0.7,12,0.0025,0.5943099862144727
Direct RQMC,0.7,12,0.005,0.5941884449789772
Direct RQMC,0.7,12,0.01,0.594412954663893
Conditioned RQMC,0.7,12,0.001,0.5943894651988213
Conditioned RQMC,0.7,12,0.0025,0.59426088064167
Conditioned RQMC,0.7,12,0.005,0.5941411483243293
Conditioned RQMC,0.7,12,0.01,0.5943743211985257
Direct RQMC,0.85,12,0.001,0.6128620223992343
Direct RQMC,0.85,12,0.0025,0.6222824861111889
Direct RQMC,0.85,12,0.005,0.621918991423474
Direct RQMC,0.85,12,0.01,0.6217981467254967
Conditioned RQMC,0.85,12,0.001,0.6153112128938165
Conditioned RQMC,0.85,12,0.0025,0.6153026333854577
Conditioned RQMC,0.85,12,0.005,0.6153506355984089
Conditioned RQMC,0.85,12,0.01,0.6154538887886023
Direct RQMC,0.95,12,0.001,0.7627161329220078
Direct RQMC,0.95,12,0.0025,0.7938461981798639
Direct RQMC,0.95,12,0.005,0.8035813089413937
Direct RQMC,0.95,12,0.01,0.7924151896290783
Conditioned RQMC,0.95,12,0.001,0.7927848913242119
Conditioned RQMC,0.95,12,0.0025,0.7927448626315705
Conditioned RQMC,0.95,12,0.005,0.7925716327196337
Conditioned RQMC,0.95,12,0.01,0.7918800348241088
Direct RQMC,0.7,13,0.001,0.5960022405002974
Direct RQMC,0.7,13,0.0025,0.5960567854032739
Direct RQMC,0.7,13,0.005,0.5961157672492448
Direct RQMC,0.7,13,0.01,0.596037516622121
Conditioned RQMC,0.7,13,0.001,0.5960162239423461
Conditioned RQMC,0.7,13,0.0025,0.5960880215572182
Conditioned RQMC,0.7,13,0.005,0.5961556015371077
Conditioned RQMC,0.7,13,0.01,0.5960611883224347
Direct RQMC,0.85,13,0.001,0.6212089228564999
Direct RQMC,0.85,13,0.0025,0.6182750578516831
Direct RQMC,0.85,13,0.005,0.6191955974192513
Direct RQMC,0.85,13,0.01,0.6120790152212283
Conditioned RQMC,0.85,13,0.001,0.6160088343243952
Conditioned RQMC,0.85,13,0.0025,0.6160311625604287
Conditioned RQMC,0.85,13,0.005,0.6161056645087939
Conditioned RQMC,0.85,13,0.01,0.6159789272022596
Direct RQMC,0.95,13,0.001,0.794086712665969
Direct RQMC,0.95,13,0.0025,0.7957395121696162
Direct RQMC,0.95,13,0.005,0.7910779787611606
Direct RQMC,0.95,13,0.01,0.7978374150998051
Conditioned RQMC,0.95,13,0.001,0.7947665622966449
Conditioned RQMC,0.95,13,0.0025,0.7947204183958618
Conditioned RQMC,0.95,13,0.005,0.79454755843269
Conditioned RQMC,0.95,13,0.01,0.7938595553978427
Direct RQMC,0.7,14,0.001,0.5966630607952972
Direct RQMC,0.7,14,0.0025,0.5965792275567345
Direct RQMC,0.7,14,0.005,0.5967050738669712
Direct RQMC,0.7,14,0.01,0.597069869562671
Conditioned RQMC,0.7,14,0.001,0.5967005443975015
Conditioned RQMC,0.7,14,0.0025,0.5965566768528561
Conditioned RQMC,0.7,14,0.005,0.5966457196988628
Conditioned RQMC,0.7,14,0.01,0.5969785420870464
Direct RQMC,0.85,14,0.001,0.6306715626033288
Direct RQMC,0.85,14,0.0025,0.6312631008873772
Direct RQMC,0.85,14,0.005,0.6278923182659835
Direct RQMC,0.85,14,0.01,0.618736182022602
Conditioned RQMC,0.85,14,0.001,0.6147004769847086
Conditioned RQMC,0.85,14,0.0025,0.6145522564876131
Conditioned RQMC,0.85,14,0.005,0.614583119267083
Conditioned RQMC,0.85,14,0.01,0.6148051739323619
Direct RQMC,0.95,14,0.001,0.7868846547765695
Direct RQMC,0.95,14,0.0025,0.7598498176027384
Direct RQMC,0.95,14,0.005,0.7875140325928482
Direct RQMC,0.95,14,0.01,0.7975293463067827
Conditioned RQMC,0.95,14,0.001,0.7941756969368718
Conditioned RQMC,0.95,14,0.0025,0.7941309724801009
Conditioned RQMC,0.95,14,0.005,0.7939619320836542
Conditioned RQMC,0.95,14,0.01,0.793259313563794
Direct RQMC,0.7,15,0.001,0.5934651371603827
Direct RQMC,0.7,15,0.0025,0.593587163297908
Direct RQMC,0.7,15,0.005,0.5938481042046231
Direct RQMC,0.7,15,0.01,0.5941242413295376
Conditioned RQMC,0.7,15,0.001,0.5935883695280442
Conditioned RQMC,0.7,15,0.0025,0.5937234098838147
Conditioned RQMC,0.7,15,0.005,0.5939590375391024
Conditioned RQMC,0.7,15,0.01,0.5942083784353045
Direct RQMC,0.85,15,0.001,0.6088952260398894
Direct RQMC,0.85,15,0.0025,0.6026560843937645
Direct RQMC,0.85,15,0.005,0.6155253679741346
Direct RQMC,0.85,15,0.01,0.6140249273552789
Conditioned RQMC,0.85,15,0.001,0.6131074759586674
Conditioned RQMC,0.85,15,0.0025,0.6131317557643712
Conditioned RQMC,0.85,15,0.005,0.613203628138173
Conditioned RQMC,0.85,15,0.01,0.6134599330460615
Direct RQMC,0.95,15,0.001,0.7053501016216801
Direct RQMC,0.95,15,0.0025,0.7825498368708992
Direct RQMC,0.95,15,0.005,0.8078960175367165
Direct RQMC,0.95,15,0.01,0.7941725770817603
Conditioned RQMC,0.95,15,0.001,0.7934507334986174
Conditioned RQMC,0.95,15,0.0025,0.7934094731600769
Conditioned RQMC,0.95,15,0.005,0.7932204364915529
Conditioned RQMC,0.95,15,0.01,0.7924841119809036
Direct RQMC,0.7,16,0.001,0.5981686790755436
Direct RQMC,0.7,16,0.0025,0.5980673547647122
Direct RQMC,0.7,16,0.005,0.5978931786532389
Direct RQMC,0.7,16,0.01,0.5971615807794537
Conditioned RQMC,0.7,16,0.001,0.5981854577690715
Conditioned RQMC,0.7,16,0.0025,0.598096081909059
Conditioned RQMC,0.7,16,0.005,0.5978044035913186
Conditioned RQMC,0.7,16,0.01,0.5971331266673419
Direct RQMC,0.85,16,0.001,0.6311033845294389
Direct RQMC,0.85,16,0.0025,0.6203714234679261
Direct RQMC,0.85,16,0.005,0.6191798366312504
Direct RQMC,0.85,16,0.01,0.6170402947535938
Conditioned RQMC,0.85,16,0.001,0.6162257108589042
Conditioned RQMC,0.85,16,0.0025,0.6161619244857199
Conditioned RQMC,0.85,16,0.005,0.6160195717079358
Conditioned RQMC,0.85,16,0.01,0.6155038025034303
Direct RQMC,0.95,16,0.001,0.7729762762062409
Direct RQMC,0.95,16,0.0025,0.8124862302089397
Direct RQMC,0.95,16,0.005,0.8085713447735499
Direct RQMC,0.95,16,0.01,0.7937309716432903
Conditioned RQMC,0.95,16,0.001,0.794472108921993
Conditioned RQMC,0.95,16,0.0025,0.794410861538493
Conditioned RQMC,0.95,16,0.005,0.7942324902735534
Conditioned RQMC,0.95,16,0.01,0.7935377903684944
Direct RQMC,0.7,17,0.001,0.5969383439661424
Direct RQMC,0.7,17,0.0025,0.5965851708515331
Direct RQMC,0.7,17,0.005,0.596406964878053
Direct RQMC,0.7,17,0.01,0.5962577118519272
Conditioned RQMC,0.7,17,0.001,0.5970859643873982
Conditioned RQMC,0.7,17,0.0025,0.5967305007272401
Conditioned RQMC,0.7,17,0.005,0.5965221429711249
Conditioned RQMC,0.7,17,0.01,0.5963499918324704
Direct RQMC,0.85,17,0.001,0.6003685802069381
Direct RQMC,0.85,17,0.0025,0.6098302541328344
Direct RQMC,0.85,17,0.005,0.6123561786572633
Direct RQMC,0.85,17,0.01,0.6135705584043452
Conditioned RQMC,0.85,17,0.001,0.6160204494456245
Conditioned RQMC,0.85,17,0.0025,0.6159792993003315
Conditioned RQMC,0.85,17,0.005,0.6158371734358496
Conditioned RQMC,0.85,17,0.01,0.6157578199199412
Direct RQMC,0.95,17,0.001,0.7254337014679191
Direct RQMC,0.95,17,0.0025,0.7711569240218257
Direct RQMC,0.95,17,0.005,0.771078216764594
Direct RQMC,0.95,17,0.01,0.785581054299695
Conditioned RQMC,0.95,17,0.001,0.794408935802382
Conditioned RQMC,0.95,17,0.0025,0.7943670887818381
Conditioned RQMC,0.95,17,0.005,0.7941880398819201
Conditioned RQMC,0.95,17,0.01,0.7934731877570815
Direct RQMC,0.7,18,0.001,0.5960977204571716
Direct RQMC,0.7,18,0.0025,0.5960546241179685
Direct RQMC,0.7,18,0.005,0.5958457203091942
Direct RQMC,0.7,18,0.01,0.5954146642478051
Conditioned RQMC,0.7,18,0.001,0.5961325681171115
Conditioned RQMC,0.7,18,0.0025,0.5960918453712836
Conditioned RQMC,0.7,18,0.005,0.595861882840655
Conditioned RQMC,0.7,18,0.01,0.5954346884386803
Direct RQMC,0.85,18,0.001,0.6216191338347876
Direct RQMC,0.85,18,0.0025,0.6228970920274151
Direct RQMC,0.85,18,0.005,0.617676035336471
Direct RQMC,0.85,18,0.01,0.6157787488716053
Conditioned RQMC,0.85,18,0.001,0.6154573396920249
Conditioned RQMC,0.85,18,0.0025,0.615504144702907
Conditioned RQMC,0.85,18,0.005,0.6153776656161938
Conditioned RQMC,0.85,18,0.01,0.6153280441703508
