Method,Min_mean_Gamma,Max_mean_Gamma,Mean_replication_SD,Max_replication_SD,Cross_bump_range
Conditioned MC,0.014314919896881642,0.014474754506661617,0.0007379634675914561,0.0007871635728372115,0.0001598346097799741
Conditioned RQMC,0.014371615914928373,0.014505239571869555,0.0002666371209731784,0.00033491328438503066,0.0001336236569411814
Direct MC,0.026633308733422473,0.37409459292826824,0.32600980718276135,0.8925687436577011,0.3474612841948458
Direct RQMC,0.020239720368642966,0.33273001977597666,0.36102004414446515,1.1126894747784748,0.3124902994073337
