monitoring_steps,mean_difference,sd_difference,se_difference,paired_z
12,-0.007634329336071222,0.014768258599726148,0.007384129299863074,-1.033883485248936
24,-0.012896870346393419,0.01274976518873614,0.00637488259436807,-2.0230757438242457
52,0.0030558703612311167,0.006726717428398971,0.0033633587141994855,0.9085769972527137
104,-0.003346340068572262,0.008353482097862725,0.004176741048931363,-0.8011844711867971
252,0.004962104279513602,0.010871403639547483,0.005435701819773741,0.9128727888389115
504,-0.00021919616132981545,0.005811818100140166,0.002905909050070083,-0.0754311843739669
