sampling,method,monitoring_steps,sample_size,estimate,runtime_seconds,replication,seed,error_vs_analytic
MC,Direct,12,1024,6.735012000889244,0.002427999977953732,0,20272804,1.8186024061571242
MC,Bernoulli bridge,12,1024,4.706862097251539,0.002427999977953732,0,20272804,-0.20954749748058
MC,Conditional weight,12,1024,4.915427269949653,0.002427999977953732,0,20272804,-0.0009823247824662928
MC,Direct,12,4096,6.819251838344764,0.00919619994238019,0,20272804,1.9028422436126444
MC,Bernoulli bridge,12,4096,4.959640190758588,0.00919619994238019,0,20272804,0.043230596026468504
MC,Conditional weight,12,4096,4.9661685432191724,0.00919619994238019,0,20272804,0.04975894848705309
MC,Direct,12,16384,6.69512062558938,0.03498829994350672,0,20272804,1.7787110308572602
MC,Bernoulli bridge,12,16384,4.934337880775443,0.03498829994350672,0,20272804,0.017928286043323638
MC,Conditional weight,12,16384,4.925304881169383,0.03498829994350672,0,20272804,0.008895286437264005
MC,Direct,12,65536,6.6434486379959035,0.14614349999465048,0,20272804,1.727039043263784
MC,Bernoulli bridge,12,65536,4.8918037913849135,0.14614349999465048,0,20272804,-0.024605803347205857
MC,Conditional weight,12,65536,4.908442695024405,0.14614349999465048,0,20272804,-0.007966899707714248
MC,Direct,12,1024,7.07144682995483,0.0021832999773323536,1,20272805,2.1550372352227107
MC,Bernoulli bridge,12,1024,5.363147405958863,0.0021832999773323536,1,20272805,0.4467378112267433
MC,Conditional weight,12,1024,5.2127752349598735,0.0021832999773323536,1,20272805,0.29636564022775413
MC,Direct,12,4096,6.874562844740582,0.008938500075601041,1,20272805,1.958153250008463
MC,Bernoulli bridge,12,4096,5.15189714803053,0.008938500075601041,1,20272805,0.23548755329841065
MC,Conditional weight,12,4096,5.091343943327973,0.008938500075601041,1,20272805,0.17493434859585388
MC,Direct,12,16384,6.778082328961301,0.034805400064215064,1,20272805,1.861672734229182
MC,Bernoulli bridge,12,16384,5.096020314566875,0.034805400064215064,1,20272805,0.17961071983475563
MC,Conditional weight,12,16384,5.0596430823992335,0.034805400064215064,1,20272805,0.1432334876671142
MC,Direct,12,65536,6.647994489767829,0.13715860003139824,1,20272805,1.7315848950357093
MC,Bernoulli bridge,12,65536,4.97793856639719,0.13715860003139824,1,20272805,0.06152897166507021
MC,Conditional weight,12,65536,4.963489878820358,0.13715860003139824,1,20272805,0.0470802840882385
MC,Direct,12,1024,6.207527351302399,0.002849100041203201,2,20272806,1.29111775657028
