replication,seed,monitoring_steps,sample_size,estimate,bias_vs_analytic,runtime_seconds
0,122276804,2016,16384,4.936558593275139,0.02014899854301966,1.4305131000000983
1,122276805,2016,16384,5.080912247329669,0.16450265259754993,1.4581208999734372
2,122276806,2016,16384,5.23009469030856,0.31368509557644053,1.4590477999299765
3,122276807,2016,16384,5.048988763144967,0.1325791684128479,1.4528696000343189
