sampling,method,monitoring_steps,sample_size,mean_price,replication_sd,mean_runtime_seconds,se_of_mean,bias_vs_analytic,rmse_vs_analytic
MC,Direct,12,65536,6.629507161092355,0.019158712893381523,0.1404497750045266,0.009579356446690761,1.7130975663602355,1.7131779137261722
MC,Direct,24,65536,6.158827561296343,0.015562946662174669,0.28528092498891056,0.007781473331087334,1.2424179665642239,1.2424910694339777
MC,Direct,52,65536,5.811247608470441,0.03424911274734329,0.5718965999840293,0.017124556373671645,0.8948380137383216,0.8953294489315818
MC,Direct,104,65536,5.600038995492205,0.04400289399125839,1.1974304000032134,0.022001446995629195,0.6836294007600854,0.6846906955650103
MC,Direct,252,65536,5.38074492041622,0.0365873356159765,2.86828987498302,0.01829366780798825,0.4643353256841003,0.4654151582445144
MC,Direct,504,65536,5.242307167644663,0.03448989045664476,5.791560849989764,0.01724494522832238,0.3258975729125435,0.32726349084196726
RQMC,Direct,12,65536,6.62864307027373,0.010150012517442315,0.22298837499693036,0.005075006258721157,1.7122334755416109,1.7122560386317465
RQMC,Direct,24,65536,6.189023011131154,0.013821684289112297,0.4049372499866877,0.006910842144556149,1.272613416399035,1.2726697084539507
RQMC,Direct,52,65536,5.827471893969441,0.021242340180748057,0.9195304750464857,0.010621170090374029,0.9110622992373214,0.9112480128120226
RQMC,Direct,104,65536,5.57825580692432,0.01665965532880259,1.7192055250052363,0.008329827664401296,0.6618462121922004,0.6620034491450318
RQMC,Direct,252,65536,5.34884603756768,0.021049876187624883,4.10600157501176,0.010524938093812441,0.43243644283556026,0.43282051714066
RQMC,Direct,504,65536,5.232265031950202,0.011269465053649499,8.179635249980493,0.0056347325268247496,0.31585543721808307,0.31600618324990526
