method,greek,min_mean,max_mean,max_abs_error,max_replication_sd,cross_bump_range
Bernoulli bridge,Delta,0.920851937693577,0.9506656065481421,0.03139062445117691,0.08025892650607055,0.029813668854565156
Bernoulli bridge,Gamma,-0.22902976536131048,-0.005994192506313889,0.21965807518896652,1.8097741970260735,0.2230355728549966
Bernoulli bridge,Vega per vol point,0.02120490666041963,0.02719514413162627,0.010131761750509005,0.025632604372146067,0.005990237471206639
Conditional weight,Delta,0.9435528226165157,0.9507013037904815,0.00868973952823815,0.021664607012108397,0.007148481173965715
Conditional weight,Gamma,-0.006075919328136989,0.0007755914196230229,0.010150277675433639,0.023497967070470725,0.006851510747760012
Conditional weight,Vega per vol point,0.020081165351571673,0.020126348498475388,0.0030613744134462273,0.008519937206532876,4.518314690371561e-05
Direct,Delta,0.8640973843108468,0.8986024676988531,0.08814517783390707,0.039607207526699204,0.034505083388006286
Direct,Gamma,-0.004016640375874014,0.3863143119086531,0.3956860020809971,1.023556780793951,0.39033095228452713
Direct,Vega per vol point,0.08800662660418951,0.10421083124464636,0.0871474488635291,0.020160750582029926,0.016204204640456854
