method,MC,RQMC,MC_to_RQMC_gain,conditioning_gain_MC,conditioning_gain_RQMC
Bernoulli bridge,0.00494661555019399,0.006369810450608697,0.776571860112618,1.4039431395974435,0.28221237120385406
Conditional weight,0.003816483741002638,0.006681102386073539,0.571235631556542,1.819676811749343,0.26906327840933403
Direct,0.006944766965920886,0.0017976393113853706,3.863270524813359,1.0,1.0
